=== OVS Snapshot: post_tcp @ 2026-04-19T22:54:29,641837174-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=133.594s, table=0, n_packets=143261, n_bytes=6577621434, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.60,nw_dst=10.0.1.58,tp_src=41304,tp_dst=5001 actions=set_field:00:00:00:00:01:38->eth_dst,output:14
 cookie=0x0, duration=133.594s, table=0, n_packets=61397, n_bytes=4061050, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.58,nw_dst=10.0.0.60,tp_src=5001,tp_dst=41304 actions=set_field:00:00:00:00:00:3c->eth_dst,output:4
 cookie=0x0, duration=133.594s, table=0, n_packets=154099, n_bytes=7060139670, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.61,nw_dst=10.0.1.59,tp_src=48882,tp_dst=5001 actions=set_field:00:00:00:00:01:39->eth_dst,output:15
 cookie=0x0, duration=133.594s, table=0, n_packets=86041, n_bytes=5679726, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.59,nw_dst=10.0.0.61,tp_src=5001,tp_dst=48882 actions=set_field:00:00:00:00:00:3d->eth_dst,output:4
 cookie=0x0, duration=133.554s, table=0, n_packets=163405, n_bytes=7496897018, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.62,nw_dst=10.0.1.60,tp_src=41410,tp_dst=5001 actions=set_field:00:00:00:00:01:3a->eth_dst,output:15
 cookie=0x0, duration=133.554s, table=0, n_packets=87832, n_bytes=5797184, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.60,nw_dst=10.0.0.62,tp_src=5001,tp_dst=41410 actions=set_field:00:00:00:00:00:3e->eth_dst,output:4
 cookie=0x0, duration=133.554s, table=0, n_packets=155778, n_bytes=7158671508, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.96,nw_dst=10.0.1.94,tp_src=57884,tp_dst=5001 actions=set_field:00:00:00:00:01:5c->eth_dst,output:16
 cookie=0x0, duration=133.554s, table=0, n_packets=86619, n_bytes=5720594, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.94,nw_dst=10.0.0.96,tp_src=5001,tp_dst=57884 actions=set_field:00:00:00:00:00:60->eth_dst,output:5
 cookie=0x0, duration=133.538s, table=0, n_packets=175805, n_bytes=7631364570, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.76,nw_dst=10.0.1.74,tp_src=41280,tp_dst=5001 actions=set_field:00:00:00:00:01:48->eth_dst,output:15
 cookie=0x0, duration=133.538s, table=0, n_packets=115420, n_bytes=7626108, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.74,nw_dst=10.0.0.76,tp_src=5001,tp_dst=41280 actions=set_field:00:00:00:00:00:4c->eth_dst,output:5
 cookie=0x0, duration=133.538s, table=0, n_packets=142337, n_bytes=6526440970, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.93,nw_dst=10.0.1.91,tp_src=35354,tp_dst=5001 actions=set_field:00:00:00:00:01:59->eth_dst,output:16
 cookie=0x0, duration=133.538s, table=0, n_packets=65929, n_bytes=4356506, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.91,nw_dst=10.0.0.93,tp_src=5001,tp_dst=35354 actions=set_field:00:00:00:00:00:5d->eth_dst,output:5
 cookie=0x0, duration=133.521s, table=0, n_packets=136319, n_bytes=6410918062, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.86,nw_dst=10.0.1.84,tp_src=47026,tp_dst=5001 actions=set_field:00:00:00:00:01:52->eth_dst,output:16
 cookie=0x0, duration=133.521s, table=0, n_packets=50341, n_bytes=3334202, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.84,nw_dst=10.0.0.86,tp_src=5001,tp_dst=47026 actions=set_field:00:00:00:00:00:56->eth_dst,output:5
 cookie=0x0, duration=133.520s, table=0, n_packets=166236, n_bytes=7560638984, idle_timeout=15, priority=100,tcp,in_port=6,nw_src=10.0.0.119,nw_dst=10.0.1.117,tp_src=37980,tp_dst=5001 actions=set_field:00:00:00:00:01:73->eth_dst,output:17
 cookie=0x0, duration=133.520s, table=0, n_packets=88123, n_bytes=5820458, idle_timeout=15, priority=100,tcp,in_port=17,nw_src=10.0.1.117,nw_dst=10.0.0.119,tp_src=5001,tp_dst=37980 actions=set_field:00:00:00:00:00:77->eth_dst,output:6
 cookie=0x0, duration=133.520s, table=0, n_packets=162225, n_bytes=7213850690, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.9,nw_dst=10.0.1.7,tp_src=44310,tp_dst=5001 actions=set_field:00:00:00:00:01:05->eth_dst,output:12
 cookie=0x0, duration=133.520s, table=0, n_packets=95087, n_bytes=6280706, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.7,nw_dst=10.0.0.9,tp_src=5001,tp_dst=44310 actions=set_field:00:00:00:00:00:09->eth_dst,output:2
 cookie=0x0, duration=133.483s, table=0, n_packets=150058, n_bytes=6956826492, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.18,nw_dst=10.0.1.16,tp_src=40552,tp_dst=5001 actions=set_field:00:00:00:00:01:0e->eth_dst,output:13
 cookie=0x0, duration=133.483s, table=0, n_packets=77804, n_bytes=5148640, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.16,nw_dst=10.0.0.18,tp_src=5001,tp_dst=40552 actions=set_field:00:00:00:00:00:12->eth_dst,output:2
 cookie=0x0, duration=133.472s, table=0, n_packets=173113, n_bytes=7552170850, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.21,nw_dst=10.0.1.19,tp_src=39046,tp_dst=5001 actions=set_field:00:00:00:00:01:11->eth_dst,output:13
 cookie=0x0, duration=133.472s, table=0, n_packets=104418, n_bytes=6930104, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.19,nw_dst=10.0.0.21,tp_src=5001,tp_dst=39046 actions=set_field:00:00:00:00:00:15->eth_dst,output:2
 cookie=0x0, duration=133.461s, table=0, n_packets=191236, n_bytes=8608392952, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.22,nw_dst=10.0.1.20,tp_src=54154,tp_dst=5001 actions=set_field:00:00:00:00:01:12->eth_dst,output:13
 cookie=0x0, duration=133.461s, table=0, n_packets=126250, n_bytes=8335240, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.20,nw_dst=10.0.0.22,tp_src=5001,tp_dst=54154 actions=set_field:00:00:00:00:00:16->eth_dst,output:2
 cookie=0x0, duration=133.451s, table=0, n_packets=167043, n_bytes=7373009350, idle_timeout=15, priority=100,tcp,in_port=6,nw_src=10.0.0.114,nw_dst=10.0.1.112,tp_src=40826,tp_dst=5001 actions=set_field:00:00:00:00:01:6e->eth_dst,output:17
 cookie=0x0, duration=133.451s, table=0, n_packets=101593, n_bytes=6724478, idle_timeout=15, priority=100,tcp,in_port=17,nw_src=10.0.1.112,nw_dst=10.0.0.114,tp_src=5001,tp_dst=40826 actions=set_field:00:00:00:00:00:72->eth_dst,output:6
 cookie=0x0, duration=133.416s, table=0, n_packets=149128, n_bytes=6795519880, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.31,nw_dst=10.0.1.29,tp_src=38488,tp_dst=5001 actions=set_field:00:00:00:00:01:1b->eth_dst,output:13
 cookie=0x0, duration=133.416s, table=0, n_packets=67290, n_bytes=4443812, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.29,nw_dst=10.0.0.31,tp_src=5001,tp_dst=38488 actions=set_field:00:00:00:00:00:1f->eth_dst,output:3
 cookie=0x0, duration=133.402s, table=0, n_packets=148054, n_bytes=6825970860, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.38,nw_dst=10.0.1.36,tp_src=55484,tp_dst=5001 actions=set_field:00:00:00:00:01:22->eth_dst,output:14
 cookie=0x0, duration=133.402s, table=0, n_packets=72488, n_bytes=4795384, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.36,nw_dst=10.0.0.38,tp_src=5001,tp_dst=55484 actions=set_field:00:00:00:00:00:26->eth_dst,output:3
 cookie=0x0, duration=133.402s, table=0, n_packets=148437, n_bytes=6598591786, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.37,nw_dst=10.0.1.35,tp_src=49604,tp_dst=5001 actions=set_field:00:00:00:00:01:21->eth_dst,output:14
 cookie=0x0, duration=133.402s, table=0, n_packets=65093, n_bytes=4327226, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.35,nw_dst=10.0.0.37,tp_src=5001,tp_dst=49604 actions=set_field:00:00:00:00:00:25->eth_dst,output:3
 cookie=0x0, duration=133.394s, table=0, n_packets=154799, n_bytes=7010977934, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.145,nw_dst=10.0.1.143,tp_src=40768,tp_dst=5001 actions=set_field:00:00:00:00:01:8d->eth_dst,output:18
 cookie=0x0, duration=133.394s, table=0, n_packets=83927, n_bytes=5550246, idle_timeout=15, priority=100,tcp,in_port=18,nw_src=10.0.1.143,nw_dst=10.0.0.145,tp_src=5001,tp_dst=40768 actions=set_field:00:00:00:00:00:91->eth_dst,output:8
 cookie=0x0, duration=133.394s, table=0, n_packets=142873, n_bytes=6568764938, idle_timeout=15, priority=100,tcp,in_port=7,nw_src=10.0.0.134,nw_dst=10.0.1.132,tp_src=43440,tp_dst=5001 actions=set_field:00:00:00:00:01:82->eth_dst,output:18
 cookie=0x0, duration=133.394s, table=0, n_packets=56696, n_bytes=3775396, idle_timeout=15, priority=100,tcp,in_port=18,nw_src=10.0.1.132,nw_dst=10.0.0.134,tp_src=5001,tp_dst=43440 actions=set_field:00:00:00:00:00:86->eth_dst,output:7
 cookie=0x0, duration=133.394s, table=0, n_packets=157555, n_bytes=7243295350, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.34,nw_dst=10.0.1.32,tp_src=51822,tp_dst=5001 actions=set_field:00:00:00:00:01:1e->eth_dst,output:13
 cookie=0x0, duration=133.394s, table=0, n_packets=85859, n_bytes=5669774, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.32,nw_dst=10.0.0.34,tp_src=5001,tp_dst=51822 actions=set_field:00:00:00:00:00:22->eth_dst,output:3
 cookie=0x0, duration=133.380s, table=0, n_packets=149720, n_bytes=6740076496, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.33,nw_dst=10.0.1.31,tp_src=58312,tp_dst=5001 actions=set_field:00:00:00:00:01:1d->eth_dst,output:13
 cookie=0x0, duration=133.380s, table=0, n_packets=82688, n_bytes=5462812, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.31,nw_dst=10.0.0.33,tp_src=5001,tp_dst=58312 actions=set_field:00:00:00:00:00:21->eth_dst,output:3
 cookie=0x0, duration=133.368s, table=0, n_packets=155595, n_bytes=7039026726, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.26,nw_dst=10.0.1.24,tp_src=40488,tp_dst=5001 actions=set_field:00:00:00:00:01:16->eth_dst,output:13
 cookie=0x0, duration=133.368s, table=0, n_packets=76526, n_bytes=5055260, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.24,nw_dst=10.0.0.26,tp_src=5001,tp_dst=40488 actions=set_field:00:00:00:00:00:1a->eth_dst,output:3
 cookie=0x0, duration=133.351s, table=0, n_packets=160728, n_bytes=7217411392, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.46,nw_dst=10.0.1.44,tp_src=53130,tp_dst=5001 actions=set_field:00:00:00:00:01:2a->eth_dst,output:14
 cookie=0x0, duration=133.351s, table=0, n_packets=94752, n_bytes=6265440, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.44,nw_dst=10.0.0.46,tp_src=5001,tp_dst=53130 actions=set_field:00:00:00:00:00:2e->eth_dst,output:3
 cookie=0x0, duration=133.351s, table=0, n_packets=160648, n_bytes=7162755000, idle_timeout=15, priority=100,tcp,in_port=7,nw_src=10.0.0.132,nw_dst=10.0.1.130,tp_src=48118,tp_dst=5001 actions=set_field:00:00:00:00:01:80->eth_dst,output:17
 cookie=0x0, duration=133.337s, table=0, n_packets=91014, n_bytes=6052084, idle_timeout=15, priority=100,tcp,in_port=17,nw_src=10.0.1.130,nw_dst=10.0.0.132,tp_src=5001,tp_dst=48118 actions=set_field:00:00:00:00:00:84->eth_dst,output:7
 cookie=0x0, duration=133.337s, table=0, n_packets=144280, n_bytes=6440778288, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.47,nw_dst=10.0.1.45,tp_src=36498,tp_dst=5001 actions=set_field:00:00:00:00:01:2b->eth_dst,output:14
 cookie=0x0, duration=133.337s, table=0, n_packets=68237, n_bytes=4546370, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.45,nw_dst=10.0.0.47,tp_src=5001,tp_dst=36498 actions=set_field:00:00:00:00:00:2f->eth_dst,output:3
 cookie=0x0, duration=133.319s, table=0, n_packets=163962, n_bytes=7414824956, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.43,nw_dst=10.0.1.41,tp_src=38328,tp_dst=5001 actions=set_field:00:00:00:00:01:27->eth_dst,output:14
 cookie=0x0, duration=133.319s, table=0, n_packets=87241, n_bytes=5797234, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.41,nw_dst=10.0.0.43,tp_src=5001,tp_dst=38328 actions=set_field:00:00:00:00:00:2b->eth_dst,output:3
 cookie=0x0, duration=133.318s, table=0, n_packets=176691, n_bytes=7879921070, idle_timeout=15, priority=100,tcp,in_port=10,nw_src=10.0.0.211,nw_dst=10.0.1.209,tp_src=38270,tp_dst=5001 actions=set_field:00:00:00:00:01:cf->eth_dst,output:21
 cookie=0x0, duration=133.318s, table=0, n_packets=113614, n_bytes=7544392, idle_timeout=15, priority=100,tcp,in_port=21,nw_src=10.0.1.209,nw_dst=10.0.0.211,tp_src=5001,tp_dst=38270 actions=set_field:00:00:00:00:00:d3->eth_dst,output:10
 cookie=0x0, duration=133.298s, table=0, n_packets=160734, n_bytes=7272458940, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.44,nw_dst=10.0.1.42,tp_src=49750,tp_dst=5001 actions=set_field:00:00:00:00:01:28->eth_dst,output:14
 cookie=0x0, duration=133.298s, table=0, n_packets=90686, n_bytes=5986928, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.42,nw_dst=10.0.0.44,tp_src=5001,tp_dst=49750 actions=set_field:00:00:00:00:00:2c->eth_dst,output:3
 cookie=0x0, duration=133.282s, table=0, n_packets=153840, n_bytes=6741799600, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.41,nw_dst=10.0.1.39,tp_src=54442,tp_dst=5001 actions=set_field:00:00:00:00:01:25->eth_dst,output:14
 cookie=0x0, duration=133.282s, table=0, n_packets=84150, n_bytes=5564860, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.39,nw_dst=10.0.0.41,tp_src=5001,tp_dst=54442 actions=set_field:00:00:00:00:00:29->eth_dst,output:3
 cookie=0x0, duration=133.281s, table=0, n_packets=142943, n_bytes=6654247206, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.23,nw_dst=10.0.1.21,tp_src=55702,tp_dst=5001 actions=set_field:00:00:00:00:01:13->eth_dst,output:13
 cookie=0x0, duration=133.281s, table=0, n_packets=66916, n_bytes=4443060, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.21,nw_dst=10.0.0.23,tp_src=5001,tp_dst=55702 actions=set_field:00:00:00:00:00:17->eth_dst,output:2
 cookie=0x0, duration=133.269s, table=0, n_packets=156140, n_bytes=7217274032, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.42,nw_dst=10.0.1.40,tp_src=35780,tp_dst=5001 actions=set_field:00:00:00:00:01:26->eth_dst,output:14
 cookie=0x0, duration=133.269s, table=0, n_packets=87915, n_bytes=5803754, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.40,nw_dst=10.0.0.42,tp_src=5001,tp_dst=35780 actions=set_field:00:00:00:00:00:2a->eth_dst,output:3
 cookie=0x0, duration=133.253s, table=0, n_packets=154758, n_bytes=7013445580, idle_timeout=15, priority=100,tcp,in_port=9,nw_src=10.0.0.182,nw_dst=10.0.1.180,tp_src=54930,tp_dst=5001 actions=set_field:00:00:00:00:01:b2->eth_dst,output:20
 cookie=0x0, duration=133.253s, table=0, n_packets=92010, n_bytes=6074312, idle_timeout=15, priority=100,tcp,in_port=20,nw_src=10.0.1.180,nw_dst=10.0.0.182,tp_src=5001,tp_dst=54930 actions=set_field:00:00:00:00:00:b6->eth_dst,output:9
 cookie=0x0, duration=133.253s, table=0, n_packets=164417, n_bytes=7453647018, idle_timeout=15, priority=100,tcp,in_port=8,nw_src=10.0.0.154,nw_dst=10.0.1.152,tp_src=60450,tp_dst=5001 actions=set_field:00:00:00:00:01:96->eth_dst,output:18
 cookie=0x0, duration=133.253s, table=0, n_packets=92484, n_bytes=6107816, idle_timeout=15, priority=100,tcp,in_port=18,nw_src=10.0.1.152,nw_dst=10.0.0.154,tp_src=5001,tp_dst=60450 actions=set_field:00:00:00:00:00:9a->eth_dst,output:8
 cookie=0x0, duration=133.253s, table=0, n_packets=154600, n_bytes=6903338584, idle_timeout=15, priority=100,tcp,in_port=7,nw_src=10.0.0.140,nw_dst=10.0.1.138,tp_src=33060,tp_dst=5001 actions=set_field:00:00:00:00:01:88->eth_dst,output:18
 cookie=0x0, duration=133.253s, table=0, n_packets=79371, n_bytes=5249878, idle_timeout=15, priority=100,tcp,in_port=18,nw_src=10.0.1.138,nw_dst=10.0.0.140,tp_src=5001,tp_dst=33060 actions=set_field:00:00:00:00:00:8c->eth_dst,output:7
 cookie=0x0, duration=133.253s, table=0, n_packets=146845, n_bytes=6738824786, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.36,nw_dst=10.0.1.34,tp_src=57630,tp_dst=5001 actions=set_field:00:00:00:00:01:20->eth_dst,output:13
 cookie=0x0, duration=133.253s, table=0, n_packets=70614, n_bytes=4744564, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.34,nw_dst=10.0.0.36,tp_src=5001,tp_dst=57630 actions=set_field:00:00:00:00:00:24->eth_dst,output:3
 cookie=0x0, duration=133.216s, table=0, n_packets=153470, n_bytes=7031077964, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.35,nw_dst=10.0.1.33,tp_src=35342,tp_dst=5001 actions=set_field:00:00:00:00:01:1f->eth_dst,output:13
