=== UDP Jitter + Packet Loss Summary ===
Topology           : Large (~500+ hosts, 48-port switches)
Pairs available    : 252
Pairs tested       : 252
Rate per pair      : 100K
Aggregate offered  : see per-pair rate
Duration           : 120s

Pair                           Jitter(ms)   Loss(lost/total)   Delivery Status         
------------------------------ ----------   ------------------ ------------------------
h1->h253                       18.852       56/1045            SERVER_SUMMARY_OK+ACK_MISSED
h2->h254                       16.016       58/1045            SERVER_SUMMARY_OK+ACK_MISSED
h3->h255                       12.714       58/1045            SERVER_SUMMARY_OK+ACK_MISSED
h4->h256                       13.194       59/1045            SERVER_SUMMARY_OK+ACK_MISSED
h5->h257                       76.103       59/1045            SERVER_SUMMARY_OK+ACK_MISSED
h6->h258                       76.652       60/1045            SERVER_SUMMARY_OK+ACK_MISSED
h7->h259                       77.131       61/1045            SERVER_SUMMARY_OK+ACK_MISSED
h8->h260                       78.484       62/1045            SERVER_SUMMARY_OK+ACK_MISSED
h9->h261                       77.991       61/1045            SERVER_SUMMARY_OK+ACK_MISSED
h10->h262                      75.131       59/1045            SERVER_SUMMARY_OK+ACK_MISSED
h11->h263                      78.222       57/1045            SERVER_SUMMARY_OK+ACK_MISSED
h12->h264                      80.352       58/1045            SERVER_SUMMARY_OK+ACK_MISSED
h13->h265                      75.694       58/1045            SERVER_SUMMARY_OK+ACK_MISSED
h14->h266                      74.987       59/1045            SERVER_SUMMARY_OK+ACK_MISSED
h15->h267                      15.584       59/1045            SERVER_SUMMARY_OK+ACK_MISSED
h16->h268                      17.693       60/1045            SERVER_SUMMARY_OK+ACK_MISSED
h17->h269                      15.694       62/1045            SERVER_SUMMARY_OK+ACK_MISSED
h18->h270                      15.254       62/1045            SERVER_SUMMARY_OK+ACK_MISSED
h19->h271                      17.268       62/1045            SERVER_SUMMARY_OK+ACK_MISSED
h20->h272                      15.153       58/1045            SERVER_SUMMARY_OK+ACK_MISSED
h21->h273                      20.059       58/1045            SERVER_SUMMARY_OK+ACK_MISSED
h22->h274                      17.396       58/1045            SERVER_SUMMARY_OK+ACK_MISSED
h23->h275                      12.209       59/1045            SERVER_SUMMARY_OK+ACK_MISSED
h24->h276                      16.934       59/1045            SERVER_SUMMARY_OK+ACK_MISSED
h25->h277                      14.711       61/1045            SERVER_SUMMARY_OK+ACK_MISSED
h26->h278                      17.175       61/1045            SERVER_SUMMARY_OK+ACK_MISSED
h27->h279                      17.982       62/1045            SERVER_SUMMARY_OK+ACK_MISSED
h28->h280                      14.648       61/1045            SERVER_SUMMARY_OK+ACK_MISSED
h29->h281                      16.192       61/1045            SERVER_SUMMARY_OK+ACK_MISSED
h30->h282                      15.891       57/1045            SERVER_SUMMARY_OK+ACK_MISSED
h31->h283                      17.447       58/1045            SERVER_SUMMARY_OK+ACK_MISSED
h32->h284                      15.564       58/1045            SERVER_SUMMARY_OK+ACK_MISSED
h33->h285                      15.046       59/1045            SERVER_SUMMARY_OK+ACK_MISSED
h34->h286                      16.585       59/1045            SERVER_SUMMARY_OK+ACK_MISSED
h35->h287                      14.743       60/1045            SERVER_SUMMARY_OK+ACK_MISSED
h36->h288                      16.440       61/1045            SERVER_SUMMARY_OK+ACK_MISSED
h37->h289                      16.631       61/1045            SERVER_SUMMARY_OK+ACK_MISSED
h38->h290                      16.328       61/1045            SERVER_SUMMARY_OK+ACK_MISSED
h39->h291                      17.253       58/1045            SERVER_SUMMARY_OK+ACK_MISSED
h40->h292                      17.520       56/1045            SERVER_SUMMARY_OK+ACK_MISSED
h41->h293                      14.715       58/1045            SERVER_SUMMARY_OK+ACK_MISSED
h42->h294                      13.263       59/1045            SERVER_SUMMARY_OK+ACK_MISSED
h43->h295                      16.959       59/1045            SERVER_SUMMARY_OK+ACK_MISSED
h44->h296                      16.188       59/1045            SERVER_SUMMARY_OK+ACK_MISSED
h45->h297                      15.457       61/1045            SERVER_SUMMARY_OK+ACK_MISSED
h46->h298                      16.977       61/1045            SERVER_SUMMARY_OK+ACK_MISSED
h47->h299                      16.542       61/1045            SERVER_SUMMARY_OK+ACK_MISSED
h48->h300                      14.273       61/1045            SERVER_SUMMARY_OK+ACK_MISSED
h49->h301                      17.200       58/1045            SERVER_SUMMARY_OK+ACK_MISSED
h50->h302                      17.762       56/1045            SERVER_SUMMARY_OK+ACK_MISSED
h51->h303                      15.513       57/1045            SERVER_SUMMARY_OK+ACK_MISSED
h52->h304                      15.193       58/1045            SERVER_SUMMARY_OK+ACK_MISSED
h53->h305                      17.038       59/1045            SERVER_SUMMARY_OK+ACK_MISSED
h54->h306                      16.958       59/1045            SERVER_SUMMARY_OK+ACK_MISSED
h55->h307                      14.607       60/1045            SERVER_SUMMARY_OK+ACK_MISSED
h56->h308                      17.385       62/1045            SERVER_SUMMARY_OK+ACK_MISSED
h57->h309                      16.443       62/1045            SERVER_SUMMARY_OK+ACK_MISSED
h58->h310                      17.746       62/1045            SERVER_SUMMARY_OK+ACK_MISSED
h59->h311                      19.427       57/1045            SERVER_SUMMARY_OK+ACK_MISSED
h60->h312                      16.996       57/1045            SERVER_SUMMARY_OK+ACK_MISSED
h61->h313                      16.994       58/1045            SERVER_SUMMARY_OK+ACK_MISSED
h62->h314                      14.145       59/1045            SERVER_SUMMARY_OK+ACK_MISSED
h63->h315                      15.497       59/1045            SERVER_SUMMARY_OK+ACK_MISSED
h64->h316                      15.316       59/1045            SERVER_SUMMARY_OK+ACK_MISSED
h65->h317                      19.703       61/1045            SERVER_SUMMARY_OK+ACK_MISSED
h66->h318                      17.867       62/1045            SERVER_SUMMARY_OK+ACK_MISSED
h67->h319                      17.836       60/1045            SERVER_SUMMARY_OK+ACK_MISSED
h68->h320                      16.609       62/1045            SERVER_SUMMARY_OK+ACK_MISSED
h69->h321                      17.258       57/1045            SERVER_SUMMARY_OK+ACK_MISSED
h70->h322                      20.649       58/1045            SERVER_SUMMARY_OK+ACK_MISSED
h71->h323                      17.452       58/1045            SERVER_SUMMARY_OK+ACK_MISSED
h72->h324                      13.778       59/1045            SERVER_SUMMARY_OK+ACK_MISSED
h73->h325                      16.723       59/1045            SERVER_SUMMARY_OK+ACK_MISSED
h74->h326                      15.644       60/1045            SERVER_SUMMARY_OK+ACK_MISSED
h75->h327                      16.835       61/1045            SERVER_SUMMARY_OK+ACK_MISSED
h76->h328                      18.641       62/1045            SERVER_SUMMARY_OK+ACK_MISSED
h77->h329                      18.887       61/1045            SERVER_SUMMARY_OK+ACK_MISSED
h78->h330                      15.712       60/1045            SERVER_SUMMARY_OK+ACK_MISSED
h79->h331                      16.673       57/1045            SERVER_SUMMARY_OK+ACK_MISSED
