=== OVS Snapshot: post_churn @ 2026-04-19T00:17:09,968337453-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=4198.731s, table=0, n_packets=4791585, n_bytes=6331141378, send_flow_rem priority=0 actions=CONTROLLER:65535
agg1 flow_count=1
--- core1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=4198.734s, table=0, n_packets=132595, n_bytes=8789057, send_flow_rem priority=0 actions=CONTROLLER:65535
core1 flow_count=1
--- edge1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0xa00000000a0003ee, duration=27.616s, table=0, n_packets=41, n_bytes=83794, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=12,nw_src=10.0.0.11,nw_dst=10.0.21.189,tp_src=43092,tp_dst=5001 actions=set_field:10.0.3.238->ip_src,set_field:10.0.1.9->ip_dst,set_field:02:a0:55:03:ee:ed->eth_src,set_field:00:00:00:00:01:07->eth_dst,output:1
 cookie=0xa00000000a00046c, duration=27.616s, table=0, n_packets=37, n_bytes=84978, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=20,nw_src=10.0.0.19,nw_dst=10.0.5.172,tp_src=50894,tp_dst=5001 actions=set_field:10.0.4.108->ip_src,set_field:10.0.1.17->ip_dst,set_field:02:a0:55:04:6c:68->eth_src,set_field:00:00:00:00:01:0f->eth_dst,output:1
 cookie=0xa00000000a00053b, duration=27.597s, table=0, n_packets=36, n_bytes=83464, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=10,nw_src=10.0.0.9,nw_dst=10.0.21.67,tp_src=43004,tp_dst=5001 actions=set_field:10.0.5.59->ip_src,set_field:10.0.1.7->ip_dst,set_field:02:a0:55:05:3b:3e->eth_src,set_field:00:00:00:00:01:05->eth_dst,output:1
 cookie=0xa00000000a0004a2, duration=27.581s, table=0, n_packets=41, n_bytes=83794, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=23,nw_src=10.0.0.22,nw_dst=10.0.5.213,tp_src=37038,tp_dst=5001 actions=set_field:10.0.4.162->ip_src,set_field:10.0.1.20->ip_dst,set_field:02:a0:55:04:a2:a6->eth_src,set_field:00:00:00:00:01:12->eth_dst,output:1
 cookie=0xa00000000a0004ae, duration=27.524s, table=0, n_packets=37, n_bytes=82082, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=24,nw_src=10.0.0.23,nw_dst=10.0.5.228,tp_src=56896,tp_dst=5001 actions=set_field:10.0.4.174->ip_src,set_field:10.0.1.21->ip_dst,set_field:02:a0:55:04:ae:aa->eth_src,set_field:00:00:00:00:01:13->eth_dst,output:1
 cookie=0xa00000000a000414, duration=27.524s, table=0, n_packets=35, n_bytes=84846, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=15,nw_src=10.0.0.14,nw_dst=10.0.5.107,tp_src=38714,tp_dst=5001 actions=set_field:10.0.4.20->ip_src,set_field:10.0.1.12->ip_dst,set_field:02:a0:55:04:14:10->eth_src,set_field:00:00:00:00:01:0a->eth_dst,output:1
 cookie=0xa00000000a00045d, duration=27.516s, table=0, n_packets=35, n_bytes=84846, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=19,nw_src=10.0.0.18,nw_dst=10.0.5.155,tp_src=52558,tp_dst=5001 actions=set_field:10.0.4.93->ip_src,set_field:10.0.1.16->ip_dst,set_field:02:a0:55:04:5d:59->eth_src,set_field:00:00:00:00:01:0e->eth_dst,output:1
 cookie=0xa00000000a0004f9, duration=27.439s, table=0, n_packets=35, n_bytes=83398, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=5,nw_src=10.0.0.4,nw_dst=10.0.5.211,tp_src=52636,tp_dst=5001 actions=set_field:10.0.4.249->ip_src,set_field:10.0.1.2->ip_dst,set_field:02:a0:55:04:f9:fd->eth_src,set_field:00:00:00:00:01:00->eth_dst,output:1
 cookie=0xa00000000a000e0e, duration=27.439s, table=0, n_packets=38, n_bytes=83596, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=11,nw_src=10.0.0.10,nw_dst=10.0.21.93,tp_src=58082,tp_dst=5001 actions=set_field:10.0.14.14->ip_src,set_field:10.0.1.8->ip_dst,set_field:02:a0:55:0e:0e:00->eth_src,set_field:00:00:00:00:01:06->eth_dst,output:1
 cookie=0xa00000000a0003ee, duration=25.258s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=12,nw_src=10.0.0.11,nw_dst=10.0.21.189,tp_src=56102,tp_dst=5001 actions=set_field:10.0.3.238->ip_src,set_field:10.0.1.9->ip_dst,set_field:02:a0:55:03:ee:ed->eth_src,set_field:00:00:00:00:01:07->eth_dst,output:1
