=== OVS Snapshot: post_tcp @ 2026-04-19T23:34:17,187376005-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=133.644s, table=0, n_packets=153785, n_bytes=7063118778, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.37,nw_dst=10.0.1.35,tp_src=55840,tp_dst=5001 actions=set_field:00:00:00:00:01:21->eth_dst,output:14
 cookie=0x0, duration=133.644s, table=0, n_packets=75098, n_bytes=4966880, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.35,nw_dst=10.0.0.37,tp_src=5001,tp_dst=55840 actions=set_field:00:00:00:00:00:25->eth_dst,output:3
 cookie=0x0, duration=133.623s, table=0, n_packets=156308, n_bytes=7100407376, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.32,nw_dst=10.0.1.30,tp_src=38132,tp_dst=5001 actions=set_field:00:00:00:00:01:1c->eth_dst,output:13
 cookie=0x0, duration=133.623s, table=0, n_packets=90181, n_bytes=5952426, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.30,nw_dst=10.0.0.32,tp_src=5001,tp_dst=38132 actions=set_field:00:00:00:00:00:20->eth_dst,output:3
 cookie=0x0, duration=133.610s, table=0, n_packets=144961, n_bytes=6379615578, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.14,nw_dst=10.0.1.12,tp_src=55760,tp_dst=5001 actions=set_field:00:00:00:00:01:0a->eth_dst,output:13
 cookie=0x0, duration=133.610s, table=0, n_packets=73061, n_bytes=4834978, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.12,nw_dst=10.0.0.14,tp_src=5001,tp_dst=55760 actions=set_field:00:00:00:00:00:0e->eth_dst,output:2
 cookie=0x0, duration=133.585s, table=0, n_packets=136533, n_bytes=5850085658, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.57,nw_dst=10.0.1.55,tp_src=43686,tp_dst=5001 actions=set_field:00:00:00:00:01:35->eth_dst,output:14
 cookie=0x0, duration=133.585s, table=0, n_packets=60288, n_bytes=4017036, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.55,nw_dst=10.0.0.57,tp_src=5001,tp_dst=43686 actions=set_field:00:00:00:00:00:39->eth_dst,output:4
 cookie=0x0, duration=133.585s, table=0, n_packets=138968, n_bytes=6155894808, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.63,nw_dst=10.0.1.61,tp_src=50264,tp_dst=5001 actions=set_field:00:00:00:00:01:3b->eth_dst,output:15
 cookie=0x0, duration=133.585s, table=0, n_packets=54041, n_bytes=3632826, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.61,nw_dst=10.0.0.63,tp_src=5001,tp_dst=50264 actions=set_field:00:00:00:00:00:3f->eth_dst,output:4
 cookie=0x0, duration=133.585s, table=0, n_packets=157400, n_bytes=6929308856, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.56,nw_dst=10.0.1.54,tp_src=33538,tp_dst=5001 actions=set_field:00:00:00:00:01:34->eth_dst,output:14
 cookie=0x0, duration=133.585s, table=0, n_packets=94243, n_bytes=6257190, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.54,nw_dst=10.0.0.56,tp_src=5001,tp_dst=33538 actions=set_field:00:00:00:00:00:38->eth_dst,output:4
 cookie=0x0, duration=133.553s, table=0, n_packets=150809, n_bytes=6789244946, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.88,nw_dst=10.0.1.86,tp_src=46022,tp_dst=5001 actions=set_field:00:00:00:00:01:54->eth_dst,output:16
 cookie=0x0, duration=133.553s, table=0, n_packets=84097, n_bytes=5563290, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.86,nw_dst=10.0.0.88,tp_src=5001,tp_dst=46022 actions=set_field:00:00:00:00:00:58->eth_dst,output:5
 cookie=0x0, duration=133.553s, table=0, n_packets=152138, n_bytes=6692156436, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.85,nw_dst=10.0.1.83,tp_src=40964,tp_dst=5001 actions=set_field:00:00:00:00:01:51->eth_dst,output:16
 cookie=0x0, duration=133.553s, table=0, n_packets=74262, n_bytes=4932212, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.83,nw_dst=10.0.0.85,tp_src=5001,tp_dst=40964 actions=set_field:00:00:00:00:00:55->eth_dst,output:5
 cookie=0x0, duration=133.553s, table=0, n_packets=165174, n_bytes=7418928876, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.86,nw_dst=10.0.1.84,tp_src=45856,tp_dst=5001 actions=set_field:00:00:00:00:01:52->eth_dst,output:16
 cookie=0x0, duration=133.553s, table=0, n_packets=90480, n_bytes=6022128, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.84,nw_dst=10.0.0.86,tp_src=5001,tp_dst=45856 actions=set_field:00:00:00:00:00:56->eth_dst,output:5
 cookie=0x0, duration=133.553s, table=0, n_packets=155554, n_bytes=6752709852, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.84,nw_dst=10.0.1.82,tp_src=47666,tp_dst=5001 actions=set_field:00:00:00:00:01:50->eth_dst,output:15
 cookie=0x0, duration=133.553s, table=0, n_packets=87228, n_bytes=5777920, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.82,nw_dst=10.0.0.84,tp_src=5001,tp_dst=47666 actions=set_field:00:00:00:00:00:54->eth_dst,output:5
 cookie=0x0, duration=133.538s, table=0, n_packets=165428, n_bytes=7134027472, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.38,nw_dst=10.0.1.36,tp_src=58394,tp_dst=5001 actions=set_field:00:00:00:00:01:22->eth_dst,output:14
 cookie=0x0, duration=133.538s, table=0, n_packets=87006, n_bytes=5793900, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.36,nw_dst=10.0.0.38,tp_src=5001,tp_dst=58394 actions=set_field:00:00:00:00:00:26->eth_dst,output:3
 cookie=0x0, duration=133.519s, table=0, n_packets=129234, n_bytes=5729857244, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.8,nw_dst=10.0.1.6,tp_src=36378,tp_dst=5001 actions=set_field:00:00:00:00:01:04->eth_dst,output:12
 cookie=0x0, duration=133.519s, table=0, n_packets=54606, n_bytes=3679456, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.6,nw_dst=10.0.0.8,tp_src=5001,tp_dst=36378 actions=set_field:00:00:00:00:00:08->eth_dst,output:2
 cookie=0x0, duration=133.519s, table=0, n_packets=156202, n_bytes=6902104332, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.3,nw_dst=10.0.1.1,tp_src=59770,tp_dst=5001 actions=set_field:00:00:00:00:00:ff->eth_dst,output:12
 cookie=0x0, duration=133.519s, table=0, n_packets=88295, n_bytes=5866078, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.1,nw_dst=10.0.0.3,tp_src=5001,tp_dst=59770 actions=set_field:00:00:00:00:00:03->eth_dst,output:2
 cookie=0x0, duration=133.519s, table=0, n_packets=140208, n_bytes=6214121288, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.12,nw_dst=10.0.1.10,tp_src=39012,tp_dst=5001 actions=set_field:00:00:00:00:01:08->eth_dst,output:12
 cookie=0x0, duration=133.519s, table=0, n_packets=65837, n_bytes=4355866, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.10,nw_dst=10.0.0.12,tp_src=5001,tp_dst=39012 actions=set_field:00:00:00:00:00:0c->eth_dst,output:2
 cookie=0x0, duration=133.519s, table=0, n_packets=148956, n_bytes=6495972760, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.28,nw_dst=10.0.1.26,tp_src=54816,tp_dst=5001 actions=set_field:00:00:00:00:01:18->eth_dst,output:13
 cookie=0x0, duration=133.519s, table=0, n_packets=74477, n_bytes=4983814, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.26,nw_dst=10.0.0.28,tp_src=5001,tp_dst=54816 actions=set_field:00:00:00:00:00:1c->eth_dst,output:3
 cookie=0x0, duration=133.518s, table=0, n_packets=140076, n_bytes=6407342496, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.30,nw_dst=10.0.1.28,tp_src=54812,tp_dst=5001 actions=set_field:00:00:00:00:01:1a->eth_dst,output:13
 cookie=0x0, duration=133.518s, table=0, n_packets=68374, n_bytes=4523320, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.28,nw_dst=10.0.0.30,tp_src=5001,tp_dst=54812 actions=set_field:00:00:00:00:00:1e->eth_dst,output:3
 cookie=0x0, duration=133.518s, table=0, n_packets=134799, n_bytes=6100265134, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.26,nw_dst=10.0.1.24,tp_src=48000,tp_dst=5001 actions=set_field:00:00:00:00:01:16->eth_dst,output:13
 cookie=0x0, duration=133.518s, table=0, n_packets=61338, n_bytes=4060352, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.24,nw_dst=10.0.0.26,tp_src=5001,tp_dst=48000 actions=set_field:00:00:00:00:00:1a->eth_dst,output:3
 cookie=0x0, duration=133.502s, table=0, n_packets=126091, n_bytes=5810002774, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.31,nw_dst=10.0.1.29,tp_src=56764,tp_dst=5001 actions=set_field:00:00:00:00:01:1b->eth_dst,output:13
 cookie=0x0, duration=133.502s, table=0, n_packets=40536, n_bytes=2712620, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.29,nw_dst=10.0.0.31,tp_src=5001,tp_dst=56764 actions=set_field:00:00:00:00:00:1f->eth_dst,output:3
 cookie=0x0, duration=133.502s, table=0, n_packets=137194, n_bytes=6170168196, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.87,nw_dst=10.0.1.85,tp_src=46740,tp_dst=5001 actions=set_field:00:00:00:00:01:53->eth_dst,output:16
 cookie=0x0, duration=133.502s, table=0, n_packets=62254, n_bytes=4113836, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.85,nw_dst=10.0.0.87,tp_src=5001,tp_dst=46740 actions=set_field:00:00:00:00:00:57->eth_dst,output:5
 cookie=0x0, duration=133.464s, table=0, n_packets=132316, n_bytes=6056499536, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.82,nw_dst=10.0.1.80,tp_src=54108,tp_dst=5001 actions=set_field:00:00:00:00:01:4e->eth_dst,output:15
 cookie=0x0, duration=133.464s, table=0, n_packets=56609, n_bytes=3747386, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.80,nw_dst=10.0.0.82,tp_src=5001,tp_dst=54108 actions=set_field:00:00:00:00:00:52->eth_dst,output:5
 cookie=0x0, duration=133.455s, table=0, n_packets=143481, n_bytes=6427111594, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.89,nw_dst=10.0.1.87,tp_src=58196,tp_dst=5001 actions=set_field:00:00:00:00:01:55->eth_dst,output:16
 cookie=0x0, duration=133.455s, table=0, n_packets=74576, n_bytes=4923740, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.87,nw_dst=10.0.0.89,tp_src=5001,tp_dst=58196 actions=set_field:00:00:00:00:00:59->eth_dst,output:5
 cookie=0x0, duration=133.454s, table=0, n_packets=136147, n_bytes=6150578326, idle_timeout=15, priority=100,tcp,in_port=6,nw_src=10.0.0.114,nw_dst=10.0.1.112,tp_src=41164,tp_dst=5001 actions=set_field:00:00:00:00:01:6e->eth_dst,output:17
 cookie=0x0, duration=133.454s, table=0, n_packets=71022, n_bytes=4700676, idle_timeout=15, priority=100,tcp,in_port=17,nw_src=10.0.1.112,nw_dst=10.0.0.114,tp_src=5001,tp_dst=41164 actions=set_field:00:00:00:00:00:72->eth_dst,output:6
 cookie=0x0, duration=133.351s, table=0, n_packets=163517, n_bytes=7157494202, idle_timeout=15, priority=100,tcp,in_port=7,nw_src=10.0.0.129,nw_dst=10.0.1.127,tp_src=44116,tp_dst=5001 actions=set_field:00:00:00:00:01:7d->eth_dst,output:17
 cookie=0x0, duration=133.351s, table=0, n_packets=97534, n_bytes=6446256, idle_timeout=15, priority=100,tcp,in_port=17,nw_src=10.0.1.127,nw_dst=10.0.0.129,tp_src=5001,tp_dst=44116 actions=set_field:00:00:00:00:00:81->eth_dst,output:7
