=== OVS Snapshot: mid_tcp @ 2026-04-19T23:33:03,699608467-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=60.944s, table=0, n_packets=78792, n_bytes=3610108376, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.37,nw_dst=10.0.1.35,tp_src=55840,tp_dst=5001 actions=set_field:00:00:00:00:01:21->eth_dst,output:14
 cookie=0x0, duration=60.944s, table=0, n_packets=37163, n_bytes=2462270, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.35,nw_dst=10.0.0.37,tp_src=5001,tp_dst=55840 actions=set_field:00:00:00:00:00:25->eth_dst,output:3
 cookie=0x0, duration=60.923s, table=0, n_packets=72438, n_bytes=3347981684, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.32,nw_dst=10.0.1.30,tp_src=38132,tp_dst=5001 actions=set_field:00:00:00:00:01:1c->eth_dst,output:13
 cookie=0x0, duration=60.923s, table=0, n_packets=33682, n_bytes=2223480, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.30,nw_dst=10.0.0.32,tp_src=5001,tp_dst=38132 actions=set_field:00:00:00:00:00:20->eth_dst,output:3
 cookie=0x0, duration=60.910s, table=0, n_packets=61212, n_bytes=2653074360, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.14,nw_dst=10.0.1.12,tp_src=55760,tp_dst=5001 actions=set_field:00:00:00:00:01:0a->eth_dst,output:13
 cookie=0x0, duration=60.910s, table=0, n_packets=23278, n_bytes=1548712, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.12,nw_dst=10.0.0.14,tp_src=5001,tp_dst=55760 actions=set_field:00:00:00:00:00:0e->eth_dst,output:2
 cookie=0x0, duration=60.885s, table=0, n_packets=61374, n_bytes=2566651372, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.57,nw_dst=10.0.1.55,tp_src=43686,tp_dst=5001 actions=set_field:00:00:00:00:01:35->eth_dst,output:14
 cookie=0x0, duration=60.885s, table=0, n_packets=24156, n_bytes=1610752, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.55,nw_dst=10.0.0.57,tp_src=5001,tp_dst=43686 actions=set_field:00:00:00:00:00:39->eth_dst,output:4
 cookie=0x0, duration=60.885s, table=0, n_packets=69391, n_bytes=2995480350, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.63,nw_dst=10.0.1.61,tp_src=50264,tp_dst=5001 actions=set_field:00:00:00:00:01:3b->eth_dst,output:15
 cookie=0x0, duration=60.885s, table=0, n_packets=26223, n_bytes=1783778, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.61,nw_dst=10.0.0.63,tp_src=5001,tp_dst=50264 actions=set_field:00:00:00:00:00:3f->eth_dst,output:4
