=== OVS Snapshot: pre_tcp @ 2026-04-19T21:52:24,876893178-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=130.137s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=12,nw_src=10.0.0.248,nw_dst=10.0.1.246,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:f4->eth_dst,output:22
 cookie=0x0, duration=130.137s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=22,nw_src=10.0.1.246,nw_dst=10.0.0.248,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:f8->eth_dst,output:12
 cookie=0x0, duration=130.137s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.63,nw_dst=10.0.1.61,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:3b->eth_dst,output:15
 cookie=0x0, duration=130.137s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=15,nw_src=10.0.1.61,nw_dst=10.0.0.63,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:3f->eth_dst,output:4
 cookie=0x0, duration=130.118s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.67,nw_dst=10.0.1.65,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:3f->eth_dst,output:15
 cookie=0x0, duration=130.118s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=15,nw_src=10.0.1.65,nw_dst=10.0.0.67,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:43->eth_dst,output:4
 cookie=0x0, duration=130.118s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=3,nw_src=10.0.0.35,nw_dst=10.0.1.33,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:1f->eth_dst,output:13
 cookie=0x0, duration=130.118s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=13,nw_src=10.0.1.33,nw_dst=10.0.0.35,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:23->eth_dst,output:3
 cookie=0x0, duration=130.118s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.54,nw_dst=10.0.1.52,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:32->eth_dst,output:14
 cookie=0x0, duration=130.118s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=14,nw_src=10.0.1.52,nw_dst=10.0.0.54,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:36->eth_dst,output:4
 cookie=0x0, duration=130.118s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=3,nw_src=10.0.0.29,nw_dst=10.0.1.27,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:19->eth_dst,output:13
 cookie=0x0, duration=130.118s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=13,nw_src=10.0.1.27,nw_dst=10.0.0.29,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:1d->eth_dst,output:3
 cookie=0x0, duration=130.102s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.58,nw_dst=10.0.1.56,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:36->eth_dst,output:14
 cookie=0x0, duration=130.102s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=14,nw_src=10.0.1.56,nw_dst=10.0.0.58,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:3a->eth_dst,output:4
