=== ICMP Latency Summary (RFC 8456 §5.1.2) ===
Topology : Small (~16 hosts, 4-port switches)   Pairs: 252

Pair                           Min(ms)    Avg(ms)    Max(ms)    Loss(%)   
h129->h381                      0.023     336.881    8587.029   0%        
h130->h382                      0.022     336.263    8569.536   0%        
h131->h383                      0.024     363.295    8584.979   0%        
h132->h384                      0.026     337.046    8589.005   0%        
h133->h385                      0.024     303.700    8515.542   0%        
h134->h386                      0.024     367.985    8587.134   0%        
h135->h387                      0.028     390.322    8592.913   0%        
h136->h388                      0.026     336.161    8561.755   0%        
h137->h389                      0.030     344.016    8561.681   0%        
h138->h390                      0.026     303.741    8515.453   0%        
h139->h391                      0.026     304.675    8512.235   0%        
h140->h392                      0.029     369.779    8593.583   0%        
h141->h393                      0.026     389.584    8593.616   0%        
h142->h394                      0.025     337.301    8597.477   0%        
h143->h395                      0.035     396.440    8594.494   0%        
h144->h396                      0.024     383.635    8587.155   0%        
h145->h397                      0.023     343.480    8540.126   0%        
h146->h398                      0.028     343.923    8551.348   0%        
h147->h399                      0.027     256.625    8214.085   0%        
h148->h400                      0.023     271.037    8166.529   0%        
h149->h401                      0.021     256.794    8214.070   0%        
h150->h402                      0.022     383.856    8567.101   0%        
h151->h403                      0.023     303.906    8437.582   0%        
h152->h404                      0.030     385.185    8576.111   0%        
h153->h405                      0.027     373.543    8577.099   0%        
h154->h406                      0.030     336.863    8553.416   0%        
h155->h407                      0.026     318.862    8429.745   0%        
h156->h408                      0.021     304.103    8437.683   0%        
h157->h409                      0.024     311.019    8433.762   0%        
h158->h410                      0.026     390.838    8590.896   0%        
h159->h411                      0.028     319.607    8503.086   0%        
h160->h412                      0.022     390.349    8577.130   0%        
h161->h413                      0.021     372.457    8567.712   0%        
h162->h414                      0.024     344.349    8594.916   0%        
h163->h415                      0.025     311.518    8437.540   0%        
h164->h416                      0.031     373.561    8576.132   0%        
h165->h417                      0.024     337.386    8572.074   0%        
h166->h418                      0.022     372.425    8567.757   0%        
h167->h419                      0.028     290.243    8433.790   0%        
h168->h420                      0.025     343.687    8550.471   0%        
h169->h421                      0.022     303.853    8292.191   0%        
h170->h422                      0.026     303.500    8276.692   0%        
h171->h423                      0.032     304.004    8292.173   0%        
h172->h424                      0.025     367.972    8479.096   0%        
h173->h425                      0.023     311.583    8292.177   0%        
h174->h426                      0.023     400.243    8539.045   0%        
h175->h427                      0.027     367.373    8485.517   0%        
h176->h428                      0.026     343.658    8489.005   0%        
h177->h429                      0.026     325.279    8352.018   0%        
h178->h430                      0.024     325.539    8350.436   0%        
h179->h431                      0.020     336.053    8450.225   0%        
h180->h432                      0.023     355.111    8451.055   0%        
h181->h433                      0.027     373.177    8540.953   0%        
h182->h434                      0.026     400.001    8538.638   0%        
h183->h435                      0.023     383.416    8536.461   0%        
h184->h436                      0.022     369.177    8508.781   0%        
h185->h437                      0.027     342.695    8454.336   0%        
h186->h438                      0.028     377.650    8530.406   0%        
h187->h439                      0.021     383.092    8526.149   0%        
h188->h440                      0.031     394.589    8542.736   0%        
h189->h441                      0.021     384.806    8546.641   0%        
h190->h442                      0.025     382.884    8529.959   0%        
h191->h443                      0.024     342.791    8451.123   0%        
h192->h444                      0.028     355.178    8450.224   0%        
h193->h445                      0.026     333.263    8402.627   0%        
h194->h446                      0.031     286.502    8334.480   0%        
h195->h447                      0.023     344.878    8467.402   0%        
h196->h448                      0.033     356.226    8430.443   0%        
h197->h449                      0.034     384.200    8492.399   0%        
h198->h450                      0.027     237.199    8170.766   0%        
h199->h451                      0.028     305.526    8402.619   0%        
h200->h452                      0.032     278.868    8169.783   0%        
h201->h453                      0.025     362.851    8430.536   0%        
h202->h454                      0.025     368.670    8467.432   0%        
h203->h455                      0.022     384.215    8484.655   0%        
h204->h456                      0.025     237.820    8213.183   0%        
h205->h457                      0.020     304.553    8306.608   0%        
h206->h458                      0.023     320.083    8405.692   0%        
h207->h459                      0.032     383.766    8489.216   0%        
h208->h460                      0.025     319.683    8334.451   0%        
h209->h461                      0.025     383.748    8497.960   0%        
h210->h462                      0.030     344.851    8467.366   0%        
h211->h463                      0.022     356.515    8475.163   0%        
h212->h464                      0.036     304.199    8276.377   0%        
h213->h465                      0.029     304.582    8306.550   0%        
h214->h466                      0.030     333.146    8405.522   0%        
h215->h467                      0.027     246.487    8216.965   0%        
h216->h468                      0.023     319.845    8302.766   0%        
h217->h469                      0.025     259.488    8137.025   0%        
h218->h470                      0.031     236.853    7752.363   0%        
h219->h471                      0.029     235.799    7759.946   0%        
h220->h472                      0.027     237.093    7773.842   0%        
h221->h473                      0.026     357.205    8346.810   0%        
h222->h474                      0.031     343.967    8346.809   0%        
h223->h475                      0.023     305.632    8321.067   0%        
h224->h476                      0.024     236.375    7757.040   0%        
h225->h477                      0.029     332.832    8285.640   0%        
h226->h478                      0.026     235.083    7759.943   0%        
h227->h479                      0.031     253.347    8129.239   0%        
h228->h480                      0.026     228.658    7756.964   0%        
h229->h481                      0.035     228.005    7773.741   0%        
h230->h482                      0.021     252.276    8082.027   0%        
h231->h483                      0.027     350.140    8373.962   0%        
h232->h484                      0.030     305.842    8252.190   0%        
h233->h485                      0.030     305.680    8321.068   0%        
h234->h486                      0.023     252.045    8137.038   0%        
h235->h487                      0.022     305.127    8252.636   0%        
h236->h488                      0.027     272.781    8152.888   0%        
h237->h489                      0.031     337.496    8373.762   0%        
h238->h490                      0.022     305.704    8252.627   0%        
h239->h491                      0.025     337.775    8365.891   0%        
h240->h492                      0.024     336.912    8358.732   0%        
h241->h493                      0.031     236.898    7746.446   0%        
h242->h494                      0.023     257.542    7749.556   0%        
h243->h495                      0.022     238.072    7805.171   0%        
h244->h496                      0.028     271.054    7804.869   0%        
h245->h497                      0.022     251.668    7830.515   0%        
h246->h498                      0.025     278.251    7805.209   0%        
h247->h499                      0.033     271.729    7801.480   0%        
h248->h500                      0.022     237.525    7801.486   0%        
h249->h501                      0.034     310.844    7825.471   0%        
h250->h502                      0.022     250.594    7746.452   0%        
h251->h503                      0.025     304.077    7838.245   0%        
h252->h504                      0.021     310.522    7838.202   0%        

Topology mean RTT : 318.329 ms  (across 252 pairs)
