------------------------------------------------------------
Client connecting to 10.0.14.231, TCP port 5001
TCP window size:  110 KByte (default)
------------------------------------------------------------
[  5] local 10.0.0.1 port 33878 connected with 10.0.14.231 port 5001
[ ID] Interval       Transfer     Bandwidth
[  5] 83.0-84.0 sec   954 KBytes  7.82 Mbits/sec
[  5] 84.0-85.0 sec  2.92 MBytes  24.5 Mbits/sec
[  5] 85.0-86.0 sec  2.17 MBytes  18.2 Mbits/sec
[  5] 86.0-87.0 sec  1.74 MBytes  14.6 Mbits/sec
[  5] 87.0-88.0 sec  3.04 MBytes  25.5 Mbits/sec
[  5] 88.0-89.0 sec  3.48 MBytes  29.2 Mbits/sec
[  5] 89.0-90.0 sec  2.05 MBytes  17.2 Mbits/sec
[  5] 90.0-91.0 sec  2.86 MBytes  24.0 Mbits/sec
[  5] 91.0-92.0 sec  3.29 MBytes  27.6 Mbits/sec
[  5] 92.0-93.0 sec   891 KBytes  7.30 Mbits/sec
[  5] 93.0-94.0 sec  2.42 MBytes  20.3 Mbits/sec
[  5] 94.0-95.0 sec  4.16 MBytes  34.9 Mbits/sec
[  5] 95.0-96.0 sec   445 KBytes  3.65 Mbits/sec
[  5] 96.0-97.0 sec  1.93 MBytes  16.2 Mbits/sec
[  5] 97.0-98.0 sec  1018 KBytes  8.34 Mbits/sec
[  5] 98.0-99.0 sec  0.00 Bytes  0.00 bits/sec
[  5] 99.0-100.0 sec  1.49 MBytes  12.5 Mbits/sec
[  5] 100.0-101.0 sec  3.54 MBytes  29.7 Mbits/sec
[  5] 101.0-102.0 sec  2.30 MBytes  19.3 Mbits/sec
[  5] 102.0-103.0 sec  3.60 MBytes  30.2 Mbits/sec
[  5] 103.0-104.0 sec  2.67 MBytes  22.4 Mbits/sec
[  5] 104.0-105.0 sec  2.17 MBytes  18.2 Mbits/sec
[  5] 105.0-106.0 sec  3.60 MBytes  30.2 Mbits/sec
[  5] 106.0-107.0 sec  2.42 MBytes  20.3 Mbits/sec
[  5] 107.0-108.0 sec  2.05 MBytes  17.2 Mbits/sec
[  5] 108.0-109.0 sec  3.73 MBytes  31.3 Mbits/sec
[  5] 109.0-110.0 sec  2.36 MBytes  19.8 Mbits/sec
[  5] 110.0-111.0 sec  2.42 MBytes  20.3 Mbits/sec
[  5] 111.0-112.0 sec  1.62 MBytes  13.6 Mbits/sec
[  5] 112.0-113.0 sec  0.00 Bytes  0.00 bits/sec
[  5] 113.0-114.0 sec   700 KBytes  5.73 Mbits/sec
[  5] 114.0-115.0 sec  2.98 MBytes  25.0 Mbits/sec
[  5] 115.0-116.0 sec  2.55 MBytes  21.4 Mbits/sec
[  5] 116.0-117.0 sec  4.23 MBytes  35.4 Mbits/sec
[  5] 117.0-118.0 sec  2.42 MBytes  20.3 Mbits/sec
[  5] 118.0-119.0 sec  3.91 MBytes  32.8 Mbits/sec
[  5] 119.0-120.0 sec  2.86 MBytes  24.0 Mbits/sec
[  5] 120.0-121.0 sec  2.55 MBytes  21.4 Mbits/sec
[  5] 121.0-122.0 sec  4.23 MBytes  35.4 Mbits/sec
[  5] 122.0-123.0 sec  2.42 MBytes  20.3 Mbits/sec
[  5] 123.0-124.0 sec  3.67 MBytes  30.8 Mbits/sec
[  5] 124.0-125.0 sec  3.11 MBytes  26.1 Mbits/sec
[  5] 125.0-126.0 sec  2.11 MBytes  17.7 Mbits/sec
[  5] 126.0-127.0 sec  1.93 MBytes  16.2 Mbits/sec
[  5] 127.0-128.0 sec  0.00 Bytes  0.00 bits/sec
[  5] 128.0-129.0 sec  1.86 MBytes  15.6 Mbits/sec
[  5] 129.0-130.0 sec  2.67 MBytes  22.4 Mbits/sec
[  5] 130.0-131.0 sec  3.42 MBytes  28.7 Mbits/sec
[  5] 131.0-132.0 sec  3.73 MBytes  31.3 Mbits/sec
[  5] 132.0-133.0 sec  2.36 MBytes  19.8 Mbits/sec
[  5] 133.0-134.0 sec  3.91 MBytes  32.8 Mbits/sec
[  5] 134.0-135.0 sec  2.61 MBytes  21.9 Mbits/sec
[  5] 135.0-136.0 sec  1.43 MBytes  12.0 Mbits/sec
[  5] 136.0-137.0 sec  3.98 MBytes  33.4 Mbits/sec
[  5] 137.0-138.0 sec  2.67 MBytes  22.4 Mbits/sec
[  5] 138.0-139.0 sec  3.36 MBytes  28.1 Mbits/sec
[  5] 139.0-140.0 sec  3.67 MBytes  30.8 Mbits/sec
[  5] 140.0-141.0 sec  1.74 MBytes  14.6 Mbits/sec
[  5] 141.0-142.0 sec  2.36 MBytes  19.8 Mbits/sec
[  5] 142.0-143.0 sec  0.00 Bytes  0.00 bits/sec
[  5] 143.0-144.0 sec  1.12 MBytes  9.38 Mbits/sec
[  5] 144.0-145.0 sec  3.11 MBytes  26.1 Mbits/sec
[  5] 145.0-146.0 sec  2.55 MBytes  21.4 Mbits/sec
[  5] 146.0-147.0 sec  4.35 MBytes  36.5 Mbits/sec
[  5] 147.0-148.0 sec  2.49 MBytes  20.9 Mbits/sec
[  5] 148.0-149.0 sec  3.98 MBytes  33.4 Mbits/sec
[  5] 149.0-150.0 sec  2.86 MBytes  24.0 Mbits/sec
[  5] 150.0-151.0 sec  2.92 MBytes  24.5 Mbits/sec
[  5] 151.0-152.0 sec  4.10 MBytes  34.4 Mbits/sec
[  5] 152.0-153.0 sec  2.49 MBytes  20.9 Mbits/sec
[  5] 153.0-154.0 sec  3.73 MBytes  31.3 Mbits/sec
[  5] 154.0-155.0 sec  2.55 MBytes  21.4 Mbits/sec
[  5] 155.0-156.0 sec   509 KBytes  4.17 Mbits/sec
[  5] 156.0-157.0 sec  1.43 MBytes  12.0 Mbits/sec
[  5] 157.0-158.0 sec  1.93 MBytes  16.2 Mbits/sec
[  5] 158.0-159.0 sec  0.00 Bytes  0.00 bits/sec
[  5] 159.0-160.0 sec  1.62 MBytes  13.6 Mbits/sec
[  5] 160.0-161.0 sec  2.86 MBytes  24.0 Mbits/sec
[  5] 161.0-162.0 sec  3.11 MBytes  26.1 Mbits/sec
[  5] 162.0-163.0 sec  4.10 MBytes  34.4 Mbits/sec
[  5] 163.0-164.0 sec  2.24 MBytes  18.8 Mbits/sec
[  5] 164.0-165.0 sec  3.73 MBytes  31.3 Mbits/sec
[  5] 165.0-166.0 sec  2.86 MBytes  24.0 Mbits/sec
[  5] 166.0-167.0 sec  3.04 MBytes  25.5 Mbits/sec
[  5] 167.0-168.0 sec  4.04 MBytes  33.9 Mbits/sec
[  5] 168.0-169.0 sec  2.36 MBytes  19.8 Mbits/sec
[  5] 169.0-170.0 sec  3.91 MBytes  32.8 Mbits/sec
[  5] 170.0-171.0 sec  2.67 MBytes  22.4 Mbits/sec
[  5] 171.0-172.0 sec  3.17 MBytes  26.6 Mbits/sec
[  5] 172.0-173.0 sec  3.91 MBytes  32.8 Mbits/sec
[  5] 173.0-174.0 sec  2.30 MBytes  19.3 Mbits/sec
[  5] 174.0-175.0 sec  3.85 MBytes  32.3 Mbits/sec
[  5] 175.0-176.0 sec  2.80 MBytes  23.5 Mbits/sec
[  5] 176.0-177.0 sec  3.17 MBytes  26.6 Mbits/sec
[  5] 177.0-178.0 sec  2.11 MBytes  17.7 Mbits/sec
[  5] 178.0-179.0 sec  2.80 MBytes  23.5 Mbits/sec
[  5] 179.0-180.0 sec  3.23 MBytes  27.1 Mbits/sec
[  5]  0.0-180.0 sec   462 MBytes  21.5 Mbits/sec
