=== OVS Snapshot: mid_tcp @ 2026-04-19T23:13:08,460375725-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=6428.784s, table=0, n_packets=4702, n_bytes=282120, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=62.814s, table=0, n_packets=73807, n_bytes=2945376598, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.2,nw_dst=10.0.0.254,tp_src=37346,tp_dst=5001 actions=set_field:00:00:00:00:00:fe->eth_dst,output:12
 cookie=0x0, duration=62.814s, table=0, n_packets=34450, n_bytes=2319028, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.254,nw_dst=10.0.0.2,tp_src=5001,tp_dst=37346 actions=set_field:00:00:00:00:00:02->eth_dst,output:2
 cookie=0x0, duration=62.767s, table=0, n_packets=84820, n_bytes=3661942312, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.4,nw_dst=10.0.1.2,tp_src=59480,tp_dst=5001 actions=set_field:00:00:00:00:01:00->eth_dst,output:12
 cookie=0x0, duration=62.767s, table=0, n_packets=51740, n_bytes=3440820, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.2,nw_dst=10.0.0.4,tp_src=5001,tp_dst=59480 actions=set_field:00:00:00:00:00:04->eth_dst,output:2
 cookie=0x0, duration=62.767s, table=0, n_packets=85436, n_bytes=3884349800, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.0.253,tp_src=50736,tp_dst=5001 actions=set_field:00:00:00:00:00:fd->eth_dst,output:12
 cookie=0x0, duration=62.767s, table=0, n_packets=48997, n_bytes=3236030, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.253,nw_dst=10.0.0.1,tp_src=5001,tp_dst=50736 actions=set_field:00:00:00:00:00:01->eth_dst,output:2
 cookie=0x0, duration=62.757s, table=0, n_packets=89403, n_bytes=3600842526, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.3,nw_dst=10.0.1.1,tp_src=57540,tp_dst=5001 actions=set_field:00:00:00:00:00:ff->eth_dst,output:12
 cookie=0x0, duration=62.756s, table=0, n_packets=50444, n_bytes=3382068, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.1,nw_dst=10.0.0.3,tp_src=5001,tp_dst=57540 actions=set_field:00:00:00:00:00:03->eth_dst,output:2
 cookie=0x0, duration=62.756s, table=0, n_packets=70751, n_bytes=2920316646, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.17,nw_dst=10.0.1.15,tp_src=49004,tp_dst=5001 actions=set_field:00:00:00:00:01:0d->eth_dst,output:13
 cookie=0x0, duration=62.756s, table=0, n_packets=32336, n_bytes=2166408, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.15,nw_dst=10.0.0.17,tp_src=5001,tp_dst=49004 actions=set_field:00:00:00:00:00:11->eth_dst,output:2
 cookie=0x0, duration=62.756s, table=0, n_packets=68081, n_bytes=2947651802, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.22,nw_dst=10.0.1.20,tp_src=54524,tp_dst=5001 actions=set_field:00:00:00:00:01:12->eth_dst,output:13
 cookie=0x0, duration=62.756s, table=0, n_packets=33841, n_bytes=2240386, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.20,nw_dst=10.0.0.22,tp_src=5001,tp_dst=54524 actions=set_field:00:00:00:00:00:16->eth_dst,output:2
 cookie=0x0, duration=62.756s, table=0, n_packets=82159, n_bytes=3544998910, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.20,nw_dst=10.0.1.18,tp_src=46644,tp_dst=5001 actions=set_field:00:00:00:00:01:10->eth_dst,output:13
 cookie=0x0, duration=62.756s, table=0, n_packets=46712, n_bytes=3094356, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.18,nw_dst=10.0.0.20,tp_src=5001,tp_dst=46644 actions=set_field:00:00:00:00:00:14->eth_dst,output:2
 cookie=0x0, duration=62.756s, table=0, n_packets=76388, n_bytes=3320331248, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.16,nw_dst=10.0.1.14,tp_src=43786,tp_dst=5001 actions=set_field:00:00:00:00:01:0c->eth_dst,output:13
