=== OVS Snapshot: post_tcp @ 2026-04-19T22:34:28,468237777-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=4107.565s, table=0, n_packets=3012, n_bytes=180720, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=133.448s, table=0, n_packets=190102, n_bytes=8571288756, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.7,nw_dst=10.0.1.5,tp_src=41832,tp_dst=5001 actions=set_field:00:00:00:00:01:03->eth_dst,output:12
 cookie=0x0, duration=133.439s, table=0, n_packets=114737, n_bytes=7574462, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.5,nw_dst=10.0.0.7,tp_src=5001,tp_dst=41832 actions=set_field:00:00:00:00:00:07->eth_dst,output:2
 cookie=0x0, duration=133.439s, table=0, n_packets=165334, n_bytes=7333002980, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.15,nw_dst=10.0.1.13,tp_src=48296,tp_dst=5001 actions=set_field:00:00:00:00:01:0b->eth_dst,output:13
 cookie=0x0, duration=133.439s, table=0, n_packets=106936, n_bytes=7061404, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.13,nw_dst=10.0.0.15,tp_src=5001,tp_dst=48296 actions=set_field:00:00:00:00:00:0f->eth_dst,output:2
 cookie=0x0, duration=133.439s, table=0, n_packets=142820, n_bytes=6393552072, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.12,nw_dst=10.0.1.10,tp_src=43948,tp_dst=5001 actions=set_field:00:00:00:00:01:08->eth_dst,output:12
 cookie=0x0, duration=133.439s, table=0, n_packets=80628, n_bytes=5352268, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.10,nw_dst=10.0.0.12,tp_src=5001,tp_dst=43948 actions=set_field:00:00:00:00:00:0c->eth_dst,output:2
 cookie=0x0, duration=133.439s, table=0, n_packets=132698, n_bytes=6160926996, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.18,nw_dst=10.0.1.16,tp_src=33694,tp_dst=5001 actions=set_field:00:00:00:00:01:0e->eth_dst,output:13
 cookie=0x0, duration=133.439s, table=0, n_packets=54456, n_bytes=3604968, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.16,nw_dst=10.0.0.18,tp_src=5001,tp_dst=33694 actions=set_field:00:00:00:00:00:12->eth_dst,output:2
 cookie=0x0, duration=133.403s, table=0, n_packets=165048, n_bytes=7576675808, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.11,nw_dst=10.0.1.9,tp_src=40502,tp_dst=5001 actions=set_field:00:00:00:00:01:07->eth_dst,output:12
 cookie=0x0, duration=133.376s, table=0, n_packets=84611, n_bytes=5585402, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.9,nw_dst=10.0.0.11,tp_src=5001,tp_dst=40502 actions=set_field:00:00:00:00:00:0b->eth_dst,output:2
 cookie=0x0, duration=133.376s, table=0, n_packets=142407, n_bytes=6460306150, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.43,nw_dst=10.0.1.41,tp_src=37326,tp_dst=5001 actions=set_field:00:00:00:00:01:27->eth_dst,output:14
 cookie=0x0, duration=133.376s, table=0, n_packets=69769, n_bytes=4627802, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.41,nw_dst=10.0.0.43,tp_src=5001,tp_dst=37326 actions=set_field:00:00:00:00:00:2b->eth_dst,output:3
 cookie=0x0, duration=133.376s, table=0, n_packets=145537, n_bytes=6817681874, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.16,nw_dst=10.0.1.14,tp_src=49600,tp_dst=5001 actions=set_field:00:00:00:00:01:0c->eth_dst,output:13
 cookie=0x0, duration=133.376s, table=0, n_packets=67750, n_bytes=4472792, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.14,nw_dst=10.0.0.16,tp_src=5001,tp_dst=49600 actions=set_field:00:00:00:00:00:10->eth_dst,output:2
 cookie=0x0, duration=133.376s, table=0, n_packets=133548, n_bytes=5982882736, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.19,nw_dst=10.0.1.17,tp_src=34790,tp_dst=5001 actions=set_field:00:00:00:00:01:0f->eth_dst,output:13
 cookie=0x0, duration=133.376s, table=0, n_packets=59135, n_bytes=3956282, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.17,nw_dst=10.0.0.19,tp_src=5001,tp_dst=34790 actions=set_field:00:00:00:00:00:13->eth_dst,output:2
 cookie=0x0, duration=133.376s, table=0, n_packets=132733, n_bytes=6193107602, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.22,nw_dst=10.0.1.20,tp_src=43604,tp_dst=5001 actions=set_field:00:00:00:00:01:12->eth_dst,output:13
 cookie=0x0, duration=133.376s, table=0, n_packets=66009, n_bytes=4365170, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.20,nw_dst=10.0.0.22,tp_src=5001,tp_dst=43604 actions=set_field:00:00:00:00:00:16->eth_dst,output:2
 cookie=0x0, duration=133.375s, table=0, n_packets=148133, n_bytes=6624324866, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.9,nw_dst=10.0.1.7,tp_src=50316,tp_dst=5001 actions=set_field:00:00:00:00:01:05->eth_dst,output:12
 cookie=0x0, duration=133.375s, table=0, n_packets=75727, n_bytes=5011094, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.7,nw_dst=10.0.0.9,tp_src=5001,tp_dst=50316 actions=set_field:00:00:00:00:00:09->eth_dst,output:2
 cookie=0x0, duration=133.316s, table=0, n_packets=155957, n_bytes=7283263778, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.17,nw_dst=10.0.1.15,tp_src=34508,tp_dst=5001 actions=set_field:00:00:00:00:01:0d->eth_dst,output:13
 cookie=0x0, duration=133.316s, table=0, n_packets=76776, n_bytes=5071488, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.15,nw_dst=10.0.0.17,tp_src=5001,tp_dst=34508 actions=set_field:00:00:00:00:00:11->eth_dst,output:2
 cookie=0x0, duration=133.275s, table=0, n_packets=139578, n_bytes=6204929268, idle_timeout=15, priority=100,tcp,in_port=10,nw_src=10.0.0.208,nw_dst=10.0.1.206,tp_src=42720,tp_dst=5001 actions=set_field:00:00:00:00:01:cc->eth_dst,output:21
