=== OVS Snapshot: mid_udp @ 2026-04-19T22:28:46,658485623-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=61.242s, table=0, n_packets=543, n_bytes=821016, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.49,nw_dst=10.0.1.47,tp_src=36848,tp_dst=5001 actions=set_field:00:00:00:00:01:2d->eth_dst,output:14
 cookie=0x0, duration=61.161s, table=0, n_packets=543, n_bytes=821016, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.51,nw_dst=10.0.1.49,tp_src=33762,tp_dst=5001 actions=set_field:00:00:00:00:01:2f->eth_dst,output:14
 cookie=0x0, duration=61.144s, table=0, n_packets=542, n_bytes=819504, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.52,nw_dst=10.0.1.50,tp_src=37632,tp_dst=5001 actions=set_field:00:00:00:00:01:30->eth_dst,output:14
 cookie=0x0, duration=61.081s, table=0, n_packets=544, n_bytes=822528, idle_timeout=15, priority=100,udp,in_port=3,nw_src=10.0.0.40,nw_dst=10.0.1.38,tp_src=59695,tp_dst=5001 actions=set_field:00:00:00:00:01:24->eth_dst,output:14
 cookie=0x0, duration=61.037s, table=0, n_packets=540, n_bytes=816480, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.73,nw_dst=10.0.1.71,tp_src=52887,tp_dst=5001 actions=set_field:00:00:00:00:01:45->eth_dst,output:15
 cookie=0x0, duration=61.037s, table=0, n_packets=544, n_bytes=822528, idle_timeout=15, priority=100,udp,in_port=3,nw_src=10.0.0.41,nw_dst=10.0.1.39,tp_src=55074,tp_dst=5001 actions=set_field:00:00:00:00:01:25->eth_dst,output:14
 cookie=0x0, duration=61.021s, table=0, n_packets=540, n_bytes=816480, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.74,nw_dst=10.0.1.72,tp_src=39454,tp_dst=5001 actions=set_field:00:00:00:00:01:46->eth_dst,output:15
 cookie=0x0, duration=60.983s, table=0, n_packets=543, n_bytes=821016, idle_timeout=15, priority=100,udp,in_port=3,nw_src=10.0.0.45,nw_dst=10.0.1.43,tp_src=51358,tp_dst=5001 actions=set_field:00:00:00:00:01:29->eth_dst,output:14
 cookie=0x0, duration=60.946s, table=0, n_packets=540, n_bytes=816480, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.75,nw_dst=10.0.1.73,tp_src=36118,tp_dst=5001 actions=set_field:00:00:00:00:01:47->eth_dst,output:15
 cookie=0x0, duration=60.928s, table=0, n_packets=540, n_bytes=816480, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.76,nw_dst=10.0.1.74,tp_src=40102,tp_dst=5001 actions=set_field:00:00:00:00:01:48->eth_dst,output:15
 cookie=0x0, duration=60.928s, table=0, n_packets=543, n_bytes=821016, idle_timeout=15, priority=100,udp,in_port=3,nw_src=10.0.0.46,nw_dst=10.0.1.44,tp_src=41142,tp_dst=5001 actions=set_field:00:00:00:00:01:2a->eth_dst,output:14
 cookie=0x0, duration=60.928s, table=0, n_packets=543, n_bytes=821016, idle_timeout=15, priority=100,udp,in_port=3,nw_src=10.0.0.47,nw_dst=10.0.1.45,tp_src=38149,tp_dst=5001 actions=set_field:00:00:00:00:01:2b->eth_dst,output:14
