=== OVS Snapshot: mid_churn @ 2026-04-18T23:34:21,630446325-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=1630.509s, table=0, n_packets=1575833, n_bytes=2118220722, send_flow_rem priority=0 actions=CONTROLLER:65535
agg1 flow_count=1
--- core1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=1630.544s, table=0, n_packets=48805, n_bytes=3101073, send_flow_rem priority=0 actions=CONTROLLER:65535
core1 flow_count=1
--- edge1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0xa00000000a0009e3, duration=10.548s, table=0, n_packets=31, n_bytes=81686, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=4,nw_src=10.0.0.3,nw_dst=10.0.10.90,tp_src=38628,tp_dst=5001 actions=set_field:10.0.9.227->ip_src,set_field:10.0.1.1->ip_dst,set_field:02:a0:55:09:e3:ea->eth_src,set_field:00:00:00:00:00:ff->eth_dst,FLOOD
 cookie=0xa00000000a000926, duration=10.482s, table=0, n_packets=37, n_bytes=82082, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=17,nw_src=10.0.0.16,nw_dst=10.0.10.156,tp_src=49030,tp_dst=5001 actions=set_field:10.0.9.38->ip_src,set_field:10.0.1.14->ip_dst,set_field:02:a0:55:09:26:2f->eth_src,set_field:00:00:00:00:01:0c->eth_dst,output:1
 cookie=0xa00000000a000a02, duration=10.414s, table=0, n_packets=31, n_bytes=81686, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=6,nw_src=10.0.0.5,nw_dst=10.0.7.203,tp_src=59250,tp_dst=5001 actions=set_field:10.0.10.2->ip_src,set_field:10.0.1.3->ip_dst,set_field:02:a0:55:0a:02:08->eth_src,set_field:00:00:00:00:01:01->eth_dst,output:1
 cookie=0xa00000000a00094f, duration=10.388s, table=0, n_packets=32, n_bytes=81752, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=19,nw_src=10.0.0.18,nw_dst=10.0.10.190,tp_src=57662,tp_dst=5001 actions=set_field:10.0.9.79->ip_src,set_field:10.0.1.16->ip_dst,set_field:02:a0:55:09:4f:46->eth_src,set_field:00:00:00:00:01:0e->eth_dst,output:1
 cookie=0xa00000000a0009ca, duration=10.329s, table=0, n_packets=33, n_bytes=81818, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=25,nw_src=10.0.0.24,nw_dst=10.0.11.25,tp_src=44242,tp_dst=5001 actions=set_field:10.0.9.202->ip_src,set_field:10.0.1.22->ip_dst,set_field:02:a0:55:09:ca:c3->eth_src,set_field:00:00:00:00:01:14->eth_dst,FLOOD
 cookie=0xa00000000a00097c, duration=10.312s, table=0, n_packets=32, n_bytes=81752, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=21,nw_src=10.0.0.20,nw_dst=10.0.10.223,tp_src=33058,tp_dst=5001 actions=set_field:10.0.9.124->ip_src,set_field:10.0.1.18->ip_dst,set_field:02:a0:55:09:7c:75->eth_src,set_field:00:00:00:00:01:10->eth_dst,FLOOD
 cookie=0xa00000000a0008bf, duration=10.271s, table=0, n_packets=40, n_bytes=83728, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=15,nw_src=10.0.0.14,nw_dst=10.0.10.120,tp_src=52030,tp_dst=5001 actions=set_field:10.0.8.191->ip_src,set_field:10.0.1.12->ip_dst,set_field:02:a0:55:08:bf:b7->eth_src,set_field:00:00:00:00:01:0a->eth_dst,output:1
 cookie=0xa00000000a000845, duration=10.261s, table=0, n_packets=33, n_bytes=81818, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=12,nw_src=10.0.0.11,nw_dst=10.0.8.170,tp_src=40402,tp_dst=5001 actions=set_field:10.0.8.69->ip_src,set_field:10.0.1.9->ip_dst,set_field:02:a0:55:08:45:4d->eth_src,set_field:00:00:00:00:01:07->eth_dst,FLOOD
 cookie=0xa00000000a00093f, duration=10.204s, table=0, n_packets=31, n_bytes=78790, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=18,nw_src=10.0.0.17,nw_dst=10.0.10.174,tp_src=48358,tp_dst=5001 actions=set_field:10.0.9.63->ip_src,set_field:10.0.1.15->ip_dst,set_field:02:a0:55:09:3f:36->eth_src,set_field:00:00:00:00:01:0d->eth_dst,FLOOD
 cookie=0xa00000000a000894, duration=10.119s, table=0, n_packets=4, n_bytes=236, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=14,nw_src=10.0.0.13,nw_dst=10.0.10.109,tp_src=37530,tp_dst=5001 actions=set_field:10.0.8.148->ip_src,set_field:10.0.1.11->ip_dst,set_field:02:a0:55:08:94:9c->eth_src,set_field:00:00:00:00:01:09->eth_dst,output:1
