=== UDP Jitter + Packet Loss Summary ===
Topology           : Large (~500+ hosts, 48-port switches)
Pairs available    : 252
Pairs tested       : 252
Rate per pair      : 100K
Aggregate offered  : see per-pair rate
Duration           : 120s

Pair                           Jitter(ms)   Loss(lost/total)   Delivery Status         
------------------------------ ----------   ------------------ ------------------------
h1->h253                       3.188        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h2->h254                       3.415        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h3->h255                       2.495        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h4->h256                       2.423        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h5->h257                       2.134        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h6->h258                       2.185        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h7->h259                       2.753        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h8->h260                       2.443        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h9->h261                       2.209        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h10->h262                      2.900        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h11->h263                      3.463        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h12->h264                      2.971        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h13->h265                      65.045       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h14->h266                      64.582       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h15->h267                      64.441       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h16->h268                      64.027       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h17->h269                      65.020       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h18->h270                      64.668       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h19->h271                      64.620       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h20->h272                      64.200       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h21->h273                      65.420       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h22->h274                      65.285       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h23->h275                      2.525        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h24->h276                      2.463        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h25->h277                      2.637        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h26->h278                      1.829        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h27->h279                      2.980        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h28->h280                      2.607        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h29->h281                      2.113        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h30->h282                      1.610        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h31->h283                      3.045        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h32->h284                      2.775        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h33->h285                      2.462        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h34->h286                      2.160        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h35->h287                      2.380        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h36->h288                      1.686        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h37->h289                      2.204        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h38->h290                      2.384        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h39->h291                      2.199        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h40->h292                      2.161        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h41->h293                      3.062        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h42->h294                      2.556        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h43->h295                      2.028        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h44->h296                      2.094        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h45->h297                      2.483        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h46->h298                      1.774        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h47->h299                      2.585        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h48->h300                      2.084        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h49->h301                      1.932        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h50->h302                      2.300        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h51->h303                      2.896        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h52->h304                      2.742        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
