=== OVS Snapshot: post_churn @ 2026-04-19T01:37:37,273358868-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=9026.039s, table=0, n_packets=9666965, n_bytes=12642972728, send_flow_rem priority=0 actions=CONTROLLER:65535
agg1 flow_count=1
--- core1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=9026.044s, table=0, n_packets=335532, n_bytes=36163800, send_flow_rem priority=0 actions=CONTROLLER:65535
core1 flow_count=1
--- edge1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0xa00000000a00048a, duration=7.506s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=20,nw_src=10.0.0.19,nw_dst=10.0.18.64,tp_src=43580,tp_dst=5001 actions=set_field:10.0.4.138->ip_src,set_field:10.0.1.17->ip_dst,set_field:02:a0:55:04:8a:8e->eth_src,set_field:00:00:00:00:01:0f->eth_dst,output:1
 cookie=0xa00000000a000c09, duration=7.453s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=25,nw_src=10.0.0.24,nw_dst=10.0.13.30,tp_src=49736,tp_dst=5001 actions=set_field:10.0.12.9->ip_src,set_field:10.0.1.22->ip_dst,set_field:02:a0:55:0c:09:05->eth_src,set_field:00:00:00:00:01:14->eth_dst,output:1
 cookie=0xa00000000a000880, duration=7.385s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=14,nw_src=10.0.0.13,nw_dst=10.0.14.239,tp_src=44980,tp_dst=5001 actions=set_field:10.0.8.128->ip_src,set_field:10.0.1.11->ip_dst,set_field:02:a0:55:08:80:88->eth_src,set_field:00:00:00:00:01:09->eth_dst,output:1
 cookie=0xa00000000a000415, duration=7.385s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=17,nw_src=10.0.0.16,nw_dst=10.0.22.243,tp_src=59460,tp_dst=5001 actions=set_field:10.0.4.21->ip_src,set_field:10.0.1.14->ip_dst,set_field:02:a0:55:04:15:11->eth_src,set_field:00:00:00:00:01:0c->eth_dst,output:1
 cookie=0xa00000000a0007e2, duration=7.385s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=9,nw_src=10.0.0.8,nw_dst=10.0.10.26,tp_src=42862,tp_dst=5001 actions=set_field:10.0.7.226->ip_src,set_field:10.0.1.6->ip_dst,set_field:02:a0:55:07:e2:e5->eth_src,set_field:00:00:00:00:01:04->eth_dst,output:1
 cookie=0xa00000000a000ee3, duration=7.384s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=16,nw_src=10.0.0.15,nw_dst=10.0.12.91,tp_src=56606,tp_dst=5001 actions=set_field:10.0.14.227->ip_src,set_field:10.0.1.13->ip_dst,set_field:02:a0:55:0e:e3:ed->eth_src,set_field:00:00:00:00:01:0b->eth_dst,output:1
 cookie=0xa00000000a000d97, duration=7.347s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=3,nw_src=10.0.0.2,nw_dst=10.0.8.184,tp_src=55688,tp_dst=5001 actions=set_field:10.0.13.151->ip_src,set_field:10.0.0.254->ip_dst,set_field:02:a0:55:0d:97:9a->eth_src,set_field:00:00:00:00:00:fe->eth_dst,output:1
 cookie=0xa00000000a0007c2, duration=7.347s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=23,nw_src=10.0.0.22,nw_dst=10.0.13.91,tp_src=49494,tp_dst=5001 actions=set_field:10.0.7.194->ip_src,set_field:10.0.1.20->ip_dst,set_field:02:a0:55:07:c2:c5->eth_src,set_field:00:00:00:00:01:12->eth_dst,output:1
 cookie=0xa00000000a00152d, duration=7.347s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=4,nw_src=10.0.0.3,nw_dst=10.0.9.76,tp_src=59710,tp_dst=5001 actions=set_field:10.0.21.45->ip_src,set_field:10.0.1.1->ip_dst,set_field:02:a0:55:15:2d:38->eth_src,set_field:00:00:00:00:00:ff->eth_dst,output:1
 cookie=0xa00000000a00086c, duration=7.299s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=21,nw_src=10.0.0.20,nw_dst=10.0.17.61,tp_src=58310,tp_dst=5001 actions=set_field:10.0.8.108->ip_src,set_field:10.0.1.18->ip_dst,set_field:02:a0:55:08:6c:64->eth_src,set_field:00:00:00:00:01:10->eth_dst,output:1
 cookie=0xa00000000a0008de, duration=7.299s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.17.64,tp_src=35450,tp_dst=5001 actions=set_field:10.0.8.222->ip_src,set_field:10.0.0.253->ip_dst,set_field:02:a0:55:08:de:d6->eth_src,set_field:00:00:00:00:00:fd->eth_dst,output:1
 cookie=0xa00000000a000675, duration=7.299s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=18,nw_src=10.0.0.17,nw_dst=10.0.23.5,tp_src=59984,tp_dst=5001 actions=set_field:10.0.6.117->ip_src,set_field:10.0.1.15->ip_dst,set_field:02:a0:55:06:75:73->eth_src,set_field:00:00:00:00:01:0d->eth_dst,output:1
 cookie=0xa00000000a000ad0, duration=7.249s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=15,nw_src=10.0.0.14,nw_dst=10.0.10.67,tp_src=43522,tp_dst=5001 actions=set_field:10.0.10.208->ip_src,set_field:10.0.1.12->ip_dst,set_field:02:a0:55:0a:d0:da->eth_src,set_field:00:00:00:00:01:0a->eth_dst,output:1
 cookie=0xa00000000a001572, duration=7.249s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=22,nw_src=10.0.0.21,nw_dst=10.0.13.54,tp_src=36970,tp_dst=5001 actions=set_field:10.0.21.114->ip_src,set_field:10.0.1.19->ip_dst,set_field:02:a0:55:15:72:67->eth_src,set_field:00:00:00:00:01:11->eth_dst,output:1
 cookie=0xa00000000a000783, duration=7.249s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=7,nw_src=10.0.0.6,nw_dst=10.0.10.220,tp_src=35072,tp_dst=5001 actions=set_field:10.0.7.131->ip_src,set_field:10.0.1.4->ip_dst,set_field:02:a0:55:07:83:84->eth_src,set_field:00:00:00:00:01:02->eth_dst,output:1
 cookie=0xa00000000a000724, duration=7.217s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=19,nw_src=10.0.0.18,nw_dst=10.0.8.107,tp_src=33826,tp_dst=5001 actions=set_field:10.0.7.36->ip_src,set_field:10.0.1.16->ip_dst,set_field:02:a0:55:07:24:23->eth_src,set_field:00:00:00:00:01:0e->eth_dst,output:1
