=== OVS Snapshot: post_tcp @ 2026-04-19T22:14:32,144972502-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=2911.242s, table=0, n_packets=2147, n_bytes=128820, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=133.759s, table=0, n_packets=207186, n_bytes=9257688324, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.36,nw_dst=10.0.1.34,tp_src=58478,tp_dst=5001 actions=set_field:00:00:00:00:01:20->eth_dst,output:13
 cookie=0x0, duration=133.759s, table=0, n_packets=120094, n_bytes=7927736, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.34,nw_dst=10.0.0.36,tp_src=5001,tp_dst=58478 actions=set_field:00:00:00:00:00:24->eth_dst,output:3
 cookie=0x0, duration=133.737s, table=0, n_packets=197970, n_bytes=8836568340, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.17,nw_dst=10.0.1.15,tp_src=54158,tp_dst=5001 actions=set_field:00:00:00:00:01:0d->eth_dst,output:13
 cookie=0x0, duration=133.737s, table=0, n_packets=115835, n_bytes=7647350, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.15,nw_dst=10.0.0.17,tp_src=5001,tp_dst=54158 actions=set_field:00:00:00:00:00:11->eth_dst,output:2
 cookie=0x0, duration=133.737s, table=0, n_packets=191609, n_bytes=8221395738, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.15,nw_dst=10.0.1.13,tp_src=33584,tp_dst=5001 actions=set_field:00:00:00:00:01:0b->eth_dst,output:13
 cookie=0x0, duration=133.737s, table=0, n_packets=117865, n_bytes=7785394, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.13,nw_dst=10.0.0.15,tp_src=5001,tp_dst=33584 actions=set_field:00:00:00:00:00:0f->eth_dst,output:2
 cookie=0x0, duration=133.737s, table=0, n_packets=161117, n_bytes=7352795618, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.21,nw_dst=10.0.1.19,tp_src=55628,tp_dst=5001 actions=set_field:00:00:00:00:01:11->eth_dst,output:13
 cookie=0x0, duration=133.737s, table=0, n_packets=71923, n_bytes=4750130, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.19,nw_dst=10.0.0.21,tp_src=5001,tp_dst=55628 actions=set_field:00:00:00:00:00:15->eth_dst,output:2
 cookie=0x0, duration=133.737s, table=0, n_packets=182490, n_bytes=8012438692, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.23,nw_dst=10.0.1.21,tp_src=33480,tp_dst=5001 actions=set_field:00:00:00:00:01:13->eth_dst,output:13
 cookie=0x0, duration=133.737s, table=0, n_packets=112934, n_bytes=7527288, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.21,nw_dst=10.0.0.23,tp_src=5001,tp_dst=33480 actions=set_field:00:00:00:00:00:17->eth_dst,output:2
 cookie=0x0, duration=133.737s, table=0, n_packets=179044, n_bytes=7730344400, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.11,nw_dst=10.0.1.9,tp_src=54282,tp_dst=5001 actions=set_field:00:00:00:00:01:07->eth_dst,output:12
 cookie=0x0, duration=133.737s, table=0, n_packets=85912, n_bytes=5702136, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.9,nw_dst=10.0.0.11,tp_src=5001,tp_dst=54282 actions=set_field:00:00:00:00:00:0b->eth_dst,output:2
 cookie=0x0, duration=133.726s, table=0, n_packets=184410, n_bytes=8018038860, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.2,nw_dst=10.0.0.254,tp_src=40382,tp_dst=5001 actions=set_field:00:00:00:00:00:fe->eth_dst,output:12
 cookie=0x0, duration=133.726s, table=0, n_packets=110091, n_bytes=7291766, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.254,nw_dst=10.0.0.2,tp_src=5001,tp_dst=40382 actions=set_field:00:00:00:00:00:02->eth_dst,output:2
 cookie=0x0, duration=133.726s, table=0, n_packets=175621, n_bytes=7885090090, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.5,nw_dst=10.0.1.3,tp_src=55176,tp_dst=5001 actions=set_field:00:00:00:00:01:01->eth_dst,output:12
 cookie=0x0, duration=133.726s, table=0, n_packets=96442, n_bytes=6368112, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.3,nw_dst=10.0.0.5,tp_src=5001,tp_dst=55176 actions=set_field:00:00:00:00:00:05->eth_dst,output:2
 cookie=0x0, duration=133.726s, table=0, n_packets=161985, n_bytes=7294561314, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.4,nw_dst=10.0.1.2,tp_src=35510,tp_dst=5001 actions=set_field:00:00:00:00:01:00->eth_dst,output:12
 cookie=0x0, duration=133.726s, table=0, n_packets=69203, n_bytes=4607626, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.2,nw_dst=10.0.0.4,tp_src=5001,tp_dst=35510 actions=set_field:00:00:00:00:00:04->eth_dst,output:2
 cookie=0x0, duration=133.725s, table=0, n_packets=178714, n_bytes=8110401804, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.16,nw_dst=10.0.1.14,tp_src=39396,tp_dst=5001 actions=set_field:00:00:00:00:01:0c->eth_dst,output:13
 cookie=0x0, duration=133.725s, table=0, n_packets=95819, n_bytes=6325082, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.14,nw_dst=10.0.0.16,tp_src=5001,tp_dst=39396 actions=set_field:00:00:00:00:00:10->eth_dst,output:2
 cookie=0x0, duration=133.719s, table=0, n_packets=173153, n_bytes=7501148186, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.3,nw_dst=10.0.1.1,tp_src=34348,tp_dst=5001 actions=set_field:00:00:00:00:00:ff->eth_dst,output:12
 cookie=0x0, duration=133.719s, table=0, n_packets=101547, n_bytes=6797106, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.1,nw_dst=10.0.0.3,tp_src=5001,tp_dst=34348 actions=set_field:00:00:00:00:00:03->eth_dst,output:2
 cookie=0x0, duration=133.719s, table=0, n_packets=156236, n_bytes=6902010936, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.0.253,tp_src=48004,tp_dst=5001 actions=set_field:00:00:00:00:00:fd->eth_dst,output:12
 cookie=0x0, duration=133.719s, table=0, n_packets=72895, n_bytes=4825662, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.253,nw_dst=10.0.0.1,tp_src=5001,tp_dst=48004 actions=set_field:00:00:00:00:00:01->eth_dst,output:2
 cookie=0x0, duration=133.718s, table=0, n_packets=180586, n_bytes=8154224356, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.14,nw_dst=10.0.1.12,tp_src=46194,tp_dst=5001 actions=set_field:00:00:00:00:01:0a->eth_dst,output:13
 cookie=0x0, duration=133.718s, table=0, n_packets=97526, n_bytes=6442796, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.12,nw_dst=10.0.0.14,tp_src=5001,tp_dst=46194 actions=set_field:00:00:00:00:00:0e->eth_dst,output:2
 cookie=0x0, duration=133.718s, table=0, n_packets=176227, n_bytes=8009546358, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.22,nw_dst=10.0.1.20,tp_src=37888,tp_dst=5001 actions=set_field:00:00:00:00:01:12->eth_dst,output:13
 cookie=0x0, duration=133.718s, table=0, n_packets=80258, n_bytes=5325100, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.20,nw_dst=10.0.0.22,tp_src=5001,tp_dst=37888 actions=set_field:00:00:00:00:00:16->eth_dst,output:2
 cookie=0x0, duration=133.718s, table=0, n_packets=155357, n_bytes=7255984722, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.13,nw_dst=10.0.1.11,tp_src=47170,tp_dst=5001 actions=set_field:00:00:00:00:01:09->eth_dst,output:13
 cookie=0x0, duration=133.718s, table=0, n_packets=69287, n_bytes=4592622, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.11,nw_dst=10.0.0.13,tp_src=5001,tp_dst=47170 actions=set_field:00:00:00:00:00:0d->eth_dst,output:2
 cookie=0x0, duration=133.718s, table=0, n_packets=184045, n_bytes=8208102266, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.12,nw_dst=10.0.1.10,tp_src=40980,tp_dst=5001 actions=set_field:00:00:00:00:01:08->eth_dst,output:12
