=== OVS Snapshot: during_ping @ 2026-04-19T23:49:32,178696010-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=14.858s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.88,nw_dst=10.0.0.90,tp_src=5001,tp_dst=55252 actions=set_field:00:00:00:00:00:5a->eth_dst,output:5
 cookie=0x0, duration=14.858s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.90,nw_dst=10.0.1.88,tp_src=55252,tp_dst=5001 actions=set_field:00:00:00:00:01:56->eth_dst,output:16
 cookie=0x0, duration=14.853s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.89,nw_dst=10.0.0.91,tp_src=5001,tp_dst=34313 actions=set_field:00:00:00:00:00:5b->eth_dst,output:5
 cookie=0x0, duration=14.853s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.91,nw_dst=10.0.1.89,tp_src=34313,tp_dst=5001 actions=set_field:00:00:00:00:01:57->eth_dst,output:16
 cookie=0x0, duration=14.849s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.90,nw_dst=10.0.0.92,tp_src=5001,tp_dst=37663 actions=set_field:00:00:00:00:00:5c->eth_dst,output:5
 cookie=0x0, duration=14.849s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.92,nw_dst=10.0.1.90,tp_src=37663,tp_dst=5001 actions=set_field:00:00:00:00:01:58->eth_dst,output:16
 cookie=0x0, duration=14.825s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.91,nw_dst=10.0.0.93,tp_src=5001,tp_dst=60082 actions=set_field:00:00:00:00:00:5d->eth_dst,output:5
 cookie=0x0, duration=14.825s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.93,nw_dst=10.0.1.91,tp_src=60082,tp_dst=5001 actions=set_field:00:00:00:00:01:59->eth_dst,output:16
 cookie=0x0, duration=14.816s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.93,nw_dst=10.0.0.95,tp_src=5001,tp_dst=36120 actions=set_field:00:00:00:00:00:5f->eth_dst,output:5
 cookie=0x0, duration=14.816s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.95,nw_dst=10.0.1.93,tp_src=36120,tp_dst=5001 actions=set_field:00:00:00:00:01:5b->eth_dst,output:16
 cookie=0x0, duration=14.815s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.92,nw_dst=10.0.0.94,tp_src=5001,tp_dst=53221 actions=set_field:00:00:00:00:00:5e->eth_dst,output:5
 cookie=0x0, duration=14.815s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.94,nw_dst=10.0.1.92,tp_src=53221,tp_dst=5001 actions=set_field:00:00:00:00:01:5a->eth_dst,output:16
 cookie=0x0, duration=14.802s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.94,nw_dst=10.0.0.96,tp_src=5001,tp_dst=52642 actions=set_field:00:00:00:00:00:60->eth_dst,output:5
 cookie=0x0, duration=14.802s, table=0, n_packets=1046, n_bytes=1581552, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.96,nw_dst=10.0.1.94,tp_src=52642,tp_dst=5001 actions=set_field:00:00:00:00:01:5c->eth_dst,output:16
 cookie=0x0, duration=14.775s, table=0, n_packets=0, n_bytes=0, idle_timeout=15, priority=100,udp,in_port=16,nw_src=10.0.1.95,nw_dst=10.0.0.97,tp_src=5001,tp_dst=38151 actions=set_field:00:00:00:00:00:61->eth_dst,output:6
