=== UDP Jitter + Packet Loss Summary ===
Topology           : Large (~500+ hosts, 48-port switches)
Pairs available    : 252
Pairs tested       : 252
Rate per pair      : 100K
Aggregate offered  : see per-pair rate
Duration           : 120s

Pair                           Jitter(ms)   Loss(lost/total)   Delivery Status         
------------------------------ ----------   ------------------ ------------------------
h1->h253                       19.930       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h2->h254                       20.434       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h3->h255                       79.892       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h4->h256                       84.648       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h5->h257                       84.580       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h6->h258                       84.307       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h7->h259                       83.894       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h8->h260                       81.699       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h9->h261                       79.033       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h10->h262                      81.211       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h11->h263                      84.067       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h12->h264                      84.592       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h13->h265                      23.116       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h14->h266                      22.878       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h15->h267                      22.387       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h16->h268                      20.579       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h17->h269                      22.610       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h18->h270                      22.978       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h19->h271                      23.990       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h20->h272                      23.987       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h21->h273                      20.107       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h22->h274                      22.907       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h23->h275                      23.762       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h24->h276                      25.604       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h25->h277                      20.171       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h26->h278                      19.366       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h27->h279                      23.482       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h28->h280                      21.832       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h29->h281                      25.257       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h30->h282                      23.493       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h31->h283                      20.233       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h32->h284                      23.179       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h33->h285                      22.823       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h34->h286                      23.891       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h35->h287                      21.660       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h36->h288                      19.158       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h37->h289                      22.636       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h38->h290                      25.937       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h39->h291                      25.094       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h40->h292                      23.824       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h41->h293                      18.387       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h42->h294                      22.173       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h43->h295                      21.560       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h44->h296                      24.559       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h45->h297                      23.633       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h46->h298                      21.258       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h47->h299                      22.876       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h48->h300                      24.773       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h49->h301                      23.247       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h50->h302                      24.891       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h51->h303                      21.654       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h52->h304                      19.495       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h53->h305                      19.503       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h54->h306                      21.595       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h55->h307                      24.651       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h56->h308                      23.750       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h57->h309                      22.362       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h58->h310                      21.952       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
