=== ICMP Latency Summary (RFC 8456 §5.1.2) ===
Topology : Large (~500+ hosts, 48-port switches)   Pairs: 252

Pair                           Min(ms)    Avg(ms)    Max(ms)    Loss(%)   
h170->h422                      0.015     37.380     2624.556   0%        
h171->h423                      0.015     34.313     2412.859   0%        
h172->h424                      0.013     32.031     2375.002   0%        
h173->h425                      0.015     32.415     2373.575   0%        
h174->h426                      0.014     35.194     2514.913   0%        
h175->h427                      0.014     39.096     2724.757   0%        
h176->h428                      0.015     37.426     2644.331   0%        
h177->h429                      0.015     34.725     2482.553   0%        
h178->h430                      0.012     35.074     2493.980   0%        
h179->h431                      0.013     32.228     2371.268   0%        
h180->h432                      0.014     32.616     2441.080   0%        
h181->h433                      0.013     35.310     2528.636   0%        
h182->h434                      0.014     35.077     2481.993   0%        
h183->h435                      0.014     35.316     2527.935   0%        
h184->h436                      0.013     37.011     2578.226   0%        
h185->h437                      0.013     37.203     2598.541   0%        
h186->h438                      0.013     37.117     2602.773   0%        
h187->h439                      0.014     39.210     2731.572   0%        
h188->h440                      0.014     37.358     2611.688   0%        
h189->h441                      0.015     43.446     2975.787   0%        
h190->h442                      0.014     32.057     2377.095   0%        
h191->h443                      0.014     39.112     2729.739   0%        
h192->h444                      0.014     34.356     2437.182   0%        
h193->h445                      0.014     34.256     2399.378   0%        
h194->h446                      0.014     34.669     2430.868   0%        
h195->h447                      0.014     42.228     2875.032   0%        
h196->h448                      0.014     34.282     2397.261   0%        
h197->h449                      0.013     37.347     2625.727   0%        
h198->h450                      0.015     35.181     2512.311   0%        
h199->h451                      0.014     37.420     2631.050   0%        
h200->h452                      0.015     35.449     2537.753   0%        
h201->h453                      0.014     34.542     2439.454   0%        
h202->h454                      0.012     40.529     2780.502   0%        
h203->h455                      0.015     42.261     2879.039   0%        
h204->h456                      0.014     37.430     2657.188   0%        
h205->h457                      0.015     35.110     2488.321   0%        
h206->h458                      0.015     40.441     2766.648   0%        
h207->h459                      0.016     40.432     2764.841   0%        
h208->h460                      0.013     37.363     2612.936   0%        
h209->h461                      0.012     37.087     2577.361   0%        
h210->h462                      0.014     45.106     3082.226   0%        
h211->h463                      0.014     34.973     2537.744   0%        
h212->h464                      0.013     40.430     2771.305   0%        
h213->h465                      0.013     42.258     2880.640   0%        
h214->h466                      0.014     34.404     2435.619   0%        
h215->h467                      0.014     40.139     2734.606   0%        
h216->h468                      0.014     35.260     2577.347   0%        
h217->h469                      0.014     34.689     2426.940   0%        
h218->h470                      0.016     37.271     2627.066   0%        
h219->h471                      0.014     34.346     2402.284   0%        
h220->h472                      0.012     37.540     2629.167   0%        
h221->h473                      0.014     40.547     2768.905   0%        
h222->h474                      0.015     42.277     2891.514   0%        
h223->h475                      0.014     35.436     2517.531   0%        
h224->h476                      0.013     35.142     2510.149   0%        
h225->h477                      0.015     37.394     2627.228   0%        
h226->h478                      0.014     35.347     2527.511   0%        
h227->h479                      0.014     40.510     2770.905   0%        
h228->h480                      0.014     40.566     2781.243   0%        
h229->h481                      0.015     35.048     2489.600   0%        
h230->h482                      0.015     37.273     2598.906   0%        
h231->h483                      0.014     35.018     2472.837   0%        
h232->h484                      0.014     34.596     2413.744   0%        
h233->h485                      0.015     42.261     2890.747   0%        
h234->h486                      0.014     34.165     2399.465   0%        
h235->h487                      0.014     42.301     2895.091   0%        
h236->h488                      0.015     42.270     2875.452   0%        
h237->h489                      0.015     45.043     3083.247   0%        
h238->h490                      0.013     37.607     2597.713   0%        
h239->h491                      0.015     40.863     2796.290   0%        
h240->h492                      0.014     40.761     2795.702   0%        
h241->h493                      0.015     40.228     2739.804   0%        
h242->h494                      0.013     37.347     2584.011   0%        
h243->h495                      0.015     40.212     2743.125   0%        
h244->h496                      0.014     37.029     2556.607   0%        
h245->h497                      0.015     34.792     2448.343   0%        
h246->h498                      0.014     40.260     2739.323   0%        
h247->h499                      0.015     34.831     2442.130   0%        
h248->h500                      0.015     34.751     2419.395   0%        
h249->h501                      0.015     35.486     2524.378   0%        
h250->h502                      0.015     40.378     2755.825   0%        
h251->h503                      0.013     40.292     2740.480   0%        
h252->h504                      0.015     37.130     2556.271   0%        

Topology mean RTT : 28.865 ms  (across 252 pairs)
