=== ICMP Latency Summary (RFC 8456 §5.1.2) ===
Topology : Large (~500+ hosts, 48-port switches)   Pairs: 252

Pair                           Min(ms)    Avg(ms)    Max(ms)    Loss(%)   
------------------------------ --------   --------   --------   --------  
h1->h253                        0.015     11.048     1214.899   0%        
h2->h254                        0.016     8.211      1081.444   0%        
h3->h255                        0.015     1.142      390.515    0%        
h4->h256                        0.014     1.148      390.486    0%        
h5->h257                        0.014     14.190     1495.951   0%        
h6->h258                        0.015     19.449     1718.937   0%        
h7->h259                        0.015     14.081     1494.330   0%        
h8->h260                        0.014     17.078     1689.906   0%        
h9->h261                        0.016     19.459     1717.469   0%        
h10->h262                       0.013     19.410     1714.640   0%        
h11->h263                       0.014     19.336     1716.332   0%        
h12->h264                       0.017     14.034     1500.482   0%        
h13->h265                       0.015     19.433     1705.394   0%        
h14->h266                       0.013     23.718     2000.170   0%        
h15->h267                       0.014     17.523     1717.897   0%        
h16->h268                       0.013     19.652     1735.446   0%        
h17->h269                       0.013     23.575     1992.128   0%        
h18->h270                       0.015     16.189     1512.108   0%        
h19->h271                       0.015     17.397     1707.413   0%        
h20->h272                       0.014     17.459     1703.894   0%        
h21->h273                       0.015     17.551     1719.745   0%        
h22->h274                       0.014     11.029     1208.780   0%        
h23->h275                       0.012     19.896     1735.423   0%        
h24->h276                       0.013     24.015     2024.424   0%        
h25->h277                       0.014     11.053     1200.806   0%        
h26->h278                       0.013     14.204     1505.996   0%        
h27->h279                       0.014     20.306     1827.325   0%        
h28->h280                       0.012     23.150     1932.432   0%        
h29->h281                       0.013     20.540     1852.329   0%        
h30->h282                       0.015     20.249     1826.356   0%        
h31->h283                       0.013     20.103     1815.424   0%        
h32->h284                       0.014     21.043     1919.044   0%        
h33->h285                       0.014     20.829     1901.809   0%        
h34->h286                       0.014     20.044     1802.080   0%        
h35->h287                       0.016     19.882     1751.614   0%        
h36->h288                       0.014     20.158     1826.677   0%        
h37->h289                       0.015     17.435     1697.979   0%        
h38->h290                       0.015     17.339     1687.953   0%        
h39->h291                       0.013     17.273     1683.149   0%        
h40->h292                       0.014     24.027     2044.739   0%        
h41->h293                       0.014     17.414     1702.005   0%        
h42->h294                       0.014     16.928     1676.330   0%        
h43->h295                       0.013     17.301     1689.194   0%        
h44->h296                       0.014     23.632     2002.620   0%        
h45->h297                       0.011     23.900     2022.421   0%        
h46->h298                       0.014     17.385     1698.797   0%        
h47->h299                       0.013     19.845     1717.172   0%        
h48->h300                       0.015     16.914     1658.495   0%        
h49->h301                       0.014     16.828     1656.645   0%        
h50->h302                       0.016     19.939     1791.092   0%        
h51->h303                       0.013     20.148     1823.310   0%        
h52->h304                       0.014     20.070     1813.104   0%        
h53->h305                       0.014     20.202     1834.645   0%        
h54->h306                       0.014     23.484     1984.168   0%        
h55->h307                       0.016     27.074     2134.196   0%        
h56->h308                       0.015     23.746     2008.560   0%        
h57->h309                       0.015     23.478     1977.162   0%        
h58->h310                       0.015     20.060     1812.145   0%        
h59->h311                       0.016     20.404     1837.905   0%        
h60->h312                       0.013     23.362     1981.263   0%        
h61->h313                       0.012     16.945     1673.678   0%        
h62->h314                       0.013     29.340     2312.001   0%        
h63->h315                       0.016     23.092     1923.300   0%        
h64->h316                       0.014     25.368     2113.495   0%        
h65->h317                       0.014     17.135     1677.578   0%        
h66->h318                       0.013     24.342     2028.748   0%        
h67->h319                       0.015     20.922     1892.647   0%        
h68->h320                       0.014     20.082     1782.373   0%        
h69->h321                       0.015     17.646     1683.625   0%        
h70->h322                       0.013     25.036     2071.422   0%        
h71->h323                       0.015     17.607     1671.367   0%        
h72->h324                       0.014     29.392     2325.767   0%        
h73->h325                       0.013     20.257     1849.929   0%        
h74->h326                       0.014     19.986     1796.275   0%        
h75->h327                       0.015     20.017     1803.901   0%        
h76->h328                       0.013     25.083     2135.319   0%        
h77->h329                       0.015     24.342     2027.546   0%        
h78->h330                       0.015     29.501     2297.576   0%        
h79->h331                       0.014     20.810     1903.615   0%        
h80->h332                       0.014     20.042     1803.702   0%        
h81->h333                       0.014     29.531     2311.973   0%        
h82->h334                       0.015     27.432     2134.696   0%        
h83->h335                       0.014     23.131     1923.255   0%        
h84->h336                       0.013     20.416     1850.213   0%        
h85->h337                       0.014     21.417     2022.002   0%        
h86->h338                       0.014     19.437     1710.413   0%        
h87->h339                       0.013     24.147     1989.859   0%        
h88->h340                       0.014     31.314     2387.926   0%        
h89->h341                       0.013     29.041     2289.229   0%        
h90->h342                       0.012     29.573     2298.579   0%        
h91->h343                       0.015     28.868     2298.584   0%        
h92->h344                       0.013     31.265     2384.594   0%        
h93->h345                       0.013     23.911     1963.154   0%        
h94->h346                       0.014     29.010     2302.826   0%        
h95->h347                       0.014     28.549     2287.151   0%        
h96->h348                       0.015     20.025     1799.842   0%        
h97->h349                       0.014     21.207     1862.763   0%        
h98->h350                       0.015     24.720     2089.773   0%        
h99->h351                       0.014     23.720     1958.298   0%        
h100->h352                      0.013     16.709     1637.976   0%        
h101->h353                      0.014     28.768     2310.253   0%        
h102->h354                      0.015     21.288     1885.825   0%        
h103->h355                      0.015     33.697     2374.428   0%        
h104->h356                      0.015     29.642     2327.256   0%        
h105->h357                      0.014     23.708     1943.934   0%        
h106->h358                      0.013     28.764     2312.018   0%        
h107->h359                      0.014     28.741     2298.578   0%        
h108->h360                      0.014     28.758     2310.264   0%        
h109->h361                      0.013     26.807     2311.965   0%        
h110->h362                      0.013     29.654     2325.170   0%        
h111->h363                      0.016     24.583     2089.718   0%        
h112->h364                      0.014     33.724     2377.495   0%        
h113->h365                      0.013     29.521     2302.121   0%        
h114->h366                      0.016     24.343     2071.439   0%        
h115->h367                      0.013     34.011     2371.178   0%        
h116->h368                      0.014     29.664     2348.569   0%        
h117->h369                      0.014     31.675     2379.983   0%        
h118->h370                      0.015     24.684     2108.383   0%        
h119->h371                      0.017     29.586     2323.543   0%        
h120->h372                      0.015     31.866     2377.631   0%        
h121->h373                      0.015     21.327     1860.186   0%        
h122->h374                      0.014     31.649     2378.907   0%        
h123->h375                      0.013     31.604     2376.713   0%        
h124->h376                      0.015     31.724     2377.426   0%        
h125->h377                      0.014     29.054     2311.963   0%        
h126->h378                      0.015     21.196     1854.418   0%        
h127->h379                      0.015     24.787     2125.702   0%        
h128->h380                      0.014     24.806     2068.202   0%        
h129->h381                      0.013     31.225     2376.553   0%        
h130->h382                      0.013     33.916     2438.618   0%        
h131->h383                      0.015     29.042     2297.091   0%        
h132->h384                      0.014     31.213     2384.591   0%        
h133->h385                      0.015     29.142     2307.156   0%        
h134->h386                      0.013     29.251     2325.750   0%        
h135->h387                      0.012     31.868     2376.398   0%        
h136->h388                      0.013     31.331     2376.528   0%        
h137->h389                      0.016     34.558     2479.249   0%        
h138->h390                      0.014     33.796     2386.179   0%        
h139->h391                      0.015     34.563     2461.791   0%        
h140->h392                      0.013     29.079     2301.981   0%        
h141->h393                      0.015     34.630     2486.705   0%        
h142->h394                      0.013     34.590     2465.327   0%        
h143->h395                      0.015     31.373     2383.816   0%        
h144->h396                      0.014     31.274     2384.566   0%        
h145->h397                      0.015     32.094     2370.827   0%        
h146->h398                      0.014     31.383     2374.419   0%        
h147->h399                      0.014     37.039     2584.816   0%        
h148->h400                      0.013     34.003     2404.252   0%        
h149->h401                      0.015     34.413     2447.675   0%        
h150->h402                      0.013     30.269     2371.220   0%        
h151->h403                      0.015     31.617     2375.484   0%        
h152->h404                      0.012     29.894     2367.759   0%        
h153->h405                      0.016     36.990     2603.761   0%        
h154->h406                      0.013     34.115     2412.882   0%        
h155->h407                      0.013     32.160     2378.231   0%        
h156->h408                      0.014     34.081     2402.425   0%        
h157->h409                      0.013     31.650     2375.478   0%        
h158->h410                      0.013     32.490     2377.141   0%        
h159->h411                      0.016     29.442     2365.095   0%        
h160->h412                      0.013     31.632     2374.462   0%        
h161->h413                      0.015     29.438     2367.764   0%        
h162->h414                      0.013     29.118     2348.395   0%        
h163->h415                      0.014     29.398     2365.088   0%        
h164->h416                      0.012     36.835     2587.605   0%        
h165->h417                      0.014     32.065     2370.723   0%        
h166->h418                      0.014     32.101     2371.921   0%        
h167->h419                      0.014     31.714     2368.644   0%        
h168->h420                      0.013     36.779     2591.927   0%        
h169->h421                      0.014     32.016     2375.108   0%        
