=== OVS Snapshot: post_churn @ 2026-04-19T00:33:22,092412164-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=5170.854s, table=0, n_packets=5661599, n_bytes=7539658280, send_flow_rem priority=0 actions=CONTROLLER:65535
agg1 flow_count=1
--- core1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=5170.857s, table=0, n_packets=163228, n_bytes=10724849, send_flow_rem priority=0 actions=CONTROLLER:65535
core1 flow_count=1
--- edge1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0xa00000000a000d5c, duration=23.742s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=23,nw_src=10.0.0.22,nw_dst=10.0.9.181,tp_src=42568,tp_dst=5001 actions=set_field:10.0.13.92->ip_src,set_field:10.0.1.20->ip_dst,set_field:02:a0:55:0d:5c:51->eth_src,set_field:00:00:00:00:01:12->eth_dst,output:1
 cookie=0xa00000000a000708, duration=23.652s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=18,nw_src=10.0.0.17,nw_dst=10.0.9.195,tp_src=53620,tp_dst=5001 actions=set_field:10.0.7.8->ip_src,set_field:10.0.1.15->ip_dst,set_field:02:a0:55:07:08:0f->eth_src,set_field:00:00:00:00:01:0d->eth_dst,output:1
 cookie=0xa00000000a001539, duration=23.604s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=5,nw_src=10.0.0.4,nw_dst=10.0.9.163,tp_src=60928,tp_dst=5001 actions=set_field:10.0.21.57->ip_src,set_field:10.0.1.2->ip_dst,set_field:02:a0:55:15:39:2c->eth_src,set_field:00:00:00:00:01:00->eth_dst,output:1
 cookie=0xa00000000a000728, duration=23.187s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=22,nw_src=10.0.0.21,nw_dst=10.0.4.23,tp_src=41774,tp_dst=5001 actions=set_field:10.0.7.40->ip_src,set_field:10.0.1.19->ip_dst,set_field:02:a0:55:07:28:2f->eth_src,set_field:00:00:00:00:01:11->eth_dst,output:1
 cookie=0xa00000000a00086c, duration=22.944s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=16,nw_src=10.0.0.15,nw_dst=10.0.5.52,tp_src=34180,tp_dst=5001 actions=set_field:10.0.8.108->ip_src,set_field:10.0.1.13->ip_dst,set_field:02:a0:55:08:6c:64->eth_src,set_field:00:00:00:00:01:0b->eth_dst,output:1
 cookie=0xa00000000a0005d4, duration=22.931s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=8,nw_src=10.0.0.7,nw_dst=10.0.14.120,tp_src=56290,tp_dst=5001 actions=set_field:10.0.5.212->ip_src,set_field:10.0.1.5->ip_dst,set_field:02:a0:55:05:d4:d1->eth_src,set_field:00:00:00:00:01:03->eth_dst,output:1
 cookie=0xa00000000a00059f, duration=22.844s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=4,nw_src=10.0.0.3,nw_dst=10.0.10.183,tp_src=56918,tp_dst=5001 actions=set_field:10.0.5.159->ip_src,set_field:10.0.1.1->ip_dst,set_field:02:a0:55:05:9f:9a->eth_src,set_field:00:00:00:00:00:ff->eth_dst,output:1
 cookie=0xa00000000a0008b5, duration=22.683s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=19,nw_src=10.0.0.18,nw_dst=10.0.23.210,tp_src=35020,tp_dst=5001 actions=set_field:10.0.8.181->ip_src,set_field:10.0.1.16->ip_dst,set_field:02:a0:55:08:b5:bd->eth_src,set_field:00:00:00:00:01:0e->eth_dst,output:1
 cookie=0xa00000000a0015e5, duration=22.683s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=6,nw_src=10.0.0.5,nw_dst=10.0.10.84,tp_src=35648,tp_dst=5001 actions=set_field:10.0.21.229->ip_src,set_field:10.0.1.3->ip_dst,set_field:02:a0:55:15:e5:f0->eth_src,set_field:00:00:00:00:01:01->eth_dst,output:1
 cookie=0xa00000000a000ed6, duration=22.683s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=12,nw_src=10.0.0.11,nw_dst=10.0.21.106,tp_src=38276,tp_dst=5001 actions=set_field:10.0.14.214->ip_src,set_field:10.0.1.9->ip_dst,set_field:02:a0:55:0e:d6:d8->eth_src,set_field:00:00:00:00:01:07->eth_dst,output:1
