=== UDP Jitter + Packet Loss Summary ===
Topology           : Large (~500+ hosts, 48-port switches)
Pairs available    : 252
Pairs tested       : 252
Rate per pair      : 100K
Aggregate offered  : see per-pair rate
Duration           : 120s

Pair                           Jitter(ms)   Loss(lost/total)   Delivery Status         
------------------------------ ----------   ------------------ ------------------------
h1->h253                       4.884        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h2->h254                       5.301        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h3->h255                       5.589        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h4->h256                       5.101        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h5->h257                       5.304        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h6->h258                       5.308        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h7->h259                       6.018        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h8->h260                       5.344        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h9->h261                       5.883        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h10->h262                      5.422        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h11->h263                      6.145        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h12->h264                      4.804        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h13->h265                      5.482        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h14->h266                      5.219        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h15->h267                      5.814        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h16->h268                      5.433        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h17->h269                      6.257        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h18->h270                      4.834        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h19->h271                      5.819        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h20->h272                      5.313        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h21->h273                      5.403        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h22->h274                      5.701        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h23->h275                      5.165        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h24->h276                      5.544        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h25->h277                      67.963       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h26->h278                      67.372       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h27->h279                      67.617       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h28->h280                      67.515       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h29->h281                      69.674       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h30->h282                      67.967       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h31->h283                      67.972       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h32->h284                      66.813       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h33->h285                      67.943       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
