=== OVS Snapshot: mid_tcp @ 2026-04-19T21:53:27,475587705-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=61.969s, table=0, n_packets=80283, n_bytes=3577043406, idle_timeout=15, priority=100,tcp,in_port=6,nw_src=10.0.0.97,nw_dst=10.0.1.95,tp_src=53748,tp_dst=5001 actions=set_field:00:00:00:00:01:5d->eth_dst,output:16
 cookie=0x0, duration=61.969s, table=0, n_packets=35506, n_bytes=2400864, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.95,nw_dst=10.0.0.97,tp_src=5001,tp_dst=53748 actions=set_field:00:00:00:00:00:61->eth_dst,output:6
 cookie=0x0, duration=61.943s, table=0, n_packets=71918, n_bytes=3276050052, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.13,nw_dst=10.0.1.11,tp_src=52246,tp_dst=5001 actions=set_field:00:00:00:00:01:09->eth_dst,output:13
 cookie=0x0, duration=61.943s, table=0, n_packets=24714, n_bytes=1645416, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.11,nw_dst=10.0.0.13,tp_src=5001,tp_dst=52246 actions=set_field:00:00:00:00:00:0d->eth_dst,output:2
 cookie=0x0, duration=61.943s, table=0, n_packets=76913, n_bytes=3556256282, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.59,nw_dst=10.0.1.57,tp_src=54644,tp_dst=5001 actions=set_field:00:00:00:00:01:37->eth_dst,output:14
 cookie=0x0, duration=61.943s, table=0, n_packets=27949, n_bytes=1923406, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.57,nw_dst=10.0.0.59,tp_src=5001,tp_dst=54644 actions=set_field:00:00:00:00:00:3b->eth_dst,output:4
 cookie=0x0, duration=61.943s, table=0, n_packets=83131, n_bytes=3586454342, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.58,nw_dst=10.0.1.56,tp_src=57828,tp_dst=5001 actions=set_field:00:00:00:00:01:36->eth_dst,output:14
 cookie=0x0, duration=61.943s, table=0, n_packets=39959, n_bytes=2669158, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.56,nw_dst=10.0.0.58,tp_src=5001,tp_dst=57828 actions=set_field:00:00:00:00:00:3a->eth_dst,output:4
 cookie=0x0, duration=61.923s, table=0, n_packets=87935, n_bytes=3772293726, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.66,nw_dst=10.0.1.64,tp_src=46674,tp_dst=5001 actions=set_field:00:00:00:00:01:3e->eth_dst,output:15
 cookie=0x0, duration=61.923s, table=0, n_packets=40156, n_bytes=2749528, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.64,nw_dst=10.0.0.66,tp_src=5001,tp_dst=46674 actions=set_field:00:00:00:00:00:42->eth_dst,output:4
 cookie=0x0, duration=61.917s, table=0, n_packets=95896, n_bytes=4339448296, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.55,nw_dst=10.0.1.53,tp_src=57852,tp_dst=5001 actions=set_field:00:00:00:00:01:33->eth_dst,output:14
 cookie=0x0, duration=61.916s, table=0, n_packets=58239, n_bytes=3844142, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.53,nw_dst=10.0.0.55,tp_src=5001,tp_dst=57852 actions=set_field:00:00:00:00:00:37->eth_dst,output:4
 cookie=0x0, duration=61.889s, table=0, n_packets=91354, n_bytes=4009834348, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.47,nw_dst=10.0.1.45,tp_src=59540,tp_dst=5001 actions=set_field:00:00:00:00:01:2b->eth_dst,output:14
 cookie=0x0, duration=61.889s, table=0, n_packets=56499, n_bytes=3739190, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.45,nw_dst=10.0.0.47,tp_src=5001,tp_dst=59540 actions=set_field:00:00:00:00:00:2f->eth_dst,output:3
 cookie=0x0, duration=61.867s, table=0, n_packets=97828, n_bytes=4214101600, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.79,nw_dst=10.0.1.77,tp_src=33194,tp_dst=5001 actions=set_field:00:00:00:00:01:4b->eth_dst,output:15
 cookie=0x0, duration=61.867s, table=0, n_packets=51067, n_bytes=3391874, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.77,nw_dst=10.0.0.79,tp_src=5001,tp_dst=33194 actions=set_field:00:00:00:00:00:4f->eth_dst,output:5
 cookie=0x0, duration=61.832s, table=0, n_packets=94973, n_bytes=4157158986, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.61,nw_dst=10.0.1.59,tp_src=52140,tp_dst=5001 actions=set_field:00:00:00:00:01:39->eth_dst,output:15
 cookie=0x0, duration=61.832s, table=0, n_packets=51290, n_bytes=3393292, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.59,nw_dst=10.0.0.61,tp_src=5001,tp_dst=52140 actions=set_field:00:00:00:00:00:3d->eth_dst,output:4
 cookie=0x0, duration=61.806s, table=0, n_packets=95700, n_bytes=4161690480, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.5,nw_dst=10.0.1.3,tp_src=38936,tp_dst=5001 actions=set_field:00:00:00:00:01:01->eth_dst,output:12
 cookie=0x0, duration=61.806s, table=0, n_packets=58802, n_bytes=3926532, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.3,nw_dst=10.0.0.5,tp_src=5001,tp_dst=38936 actions=set_field:00:00:00:00:00:05->eth_dst,output:2
 cookie=0x0, duration=61.806s, table=0, n_packets=78032, n_bytes=3536380856, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.90,nw_dst=10.0.1.88,tp_src=38728,tp_dst=5001 actions=set_field:00:00:00:00:01:56->eth_dst,output:16
 cookie=0x0, duration=61.797s, table=0, n_packets=33674, n_bytes=2233552, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.88,nw_dst=10.0.0.90,tp_src=5001,tp_dst=38728 actions=set_field:00:00:00:00:00:5a->eth_dst,output:5
 cookie=0x0, duration=61.797s, table=0, n_packets=77649, n_bytes=3631109954, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.16,nw_dst=10.0.1.14,tp_src=34264,tp_dst=5001 actions=set_field:00:00:00:00:01:0c->eth_dst,output:13
 cookie=0x0, duration=61.797s, table=0, n_packets=33543, n_bytes=2217074, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.14,nw_dst=10.0.0.16,tp_src=5001,tp_dst=34264 actions=set_field:00:00:00:00:00:10->eth_dst,output:2
 cookie=0x0, duration=61.782s, table=0, n_packets=94874, n_bytes=4153769780, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.11,nw_dst=10.0.1.9,tp_src=34694,tp_dst=5001 actions=set_field:00:00:00:00:01:07->eth_dst,output:12
 cookie=0x0, duration=61.782s, table=0, n_packets=57098, n_bytes=3796256, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.9,nw_dst=10.0.0.11,tp_src=5001,tp_dst=34694 actions=set_field:00:00:00:00:00:0b->eth_dst,output:2
