=== OVS Snapshot: mid_tcp @ 2026-04-20T00:12:34,316439558-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=62.336s, table=0, n_packets=83193, n_bytes=3749736914, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.22,nw_dst=10.0.1.20,tp_src=57456,tp_dst=5001 actions=set_field:00:00:00:00:01:12->eth_dst,output:13
 cookie=0x0, duration=62.336s, table=0, n_packets=48389, n_bytes=3201706, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.20,nw_dst=10.0.0.22,tp_src=5001,tp_dst=57456 actions=set_field:00:00:00:00:00:16->eth_dst,output:2
 cookie=0x0, duration=62.336s, table=0, n_packets=103898, n_bytes=4555472252, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.57,nw_dst=10.0.1.55,tp_src=55666,tp_dst=5001 actions=set_field:00:00:00:00:01:35->eth_dst,output:14
 cookie=0x0, duration=62.336s, table=0, n_packets=74987, n_bytes=4956918, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.55,nw_dst=10.0.0.57,tp_src=5001,tp_dst=55666 actions=set_field:00:00:00:00:00:39->eth_dst,output:4
 cookie=0x0, duration=62.336s, table=0, n_packets=79680, n_bytes=3633179024, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.38,nw_dst=10.0.1.36,tp_src=40452,tp_dst=5001 actions=set_field:00:00:00:00:01:22->eth_dst,output:14
 cookie=0x0, duration=62.336s, table=0, n_packets=36917, n_bytes=2487258, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.36,nw_dst=10.0.0.38,tp_src=5001,tp_dst=40452 actions=set_field:00:00:00:00:00:26->eth_dst,output:3
 cookie=0x0, duration=62.336s, table=0, n_packets=95424, n_bytes=4290510952, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.37,nw_dst=10.0.1.35,tp_src=42704,tp_dst=5001 actions=set_field:00:00:00:00:01:21->eth_dst,output:14
 cookie=0x0, duration=62.336s, table=0, n_packets=48547, n_bytes=3208594, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.35,nw_dst=10.0.0.37,tp_src=5001,tp_dst=42704 actions=set_field:00:00:00:00:00:25->eth_dst,output:3
 cookie=0x0, duration=62.336s, table=0, n_packets=91167, n_bytes=4135194302, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.55,nw_dst=10.0.1.53,tp_src=52212,tp_dst=5001 actions=set_field:00:00:00:00:01:33->eth_dst,output:14
 cookie=0x0, duration=62.336s, table=0, n_packets=47721, n_bytes=3150026, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.53,nw_dst=10.0.0.55,tp_src=5001,tp_dst=52212 actions=set_field:00:00:00:00:00:37->eth_dst,output:4
 cookie=0x0, duration=62.320s, table=0, n_packets=79157, n_bytes=3478108794, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.82,nw_dst=10.0.1.80,tp_src=51182,tp_dst=5001 actions=set_field:00:00:00:00:01:4e->eth_dst,output:15
 cookie=0x0, duration=62.320s, table=0, n_packets=46822, n_bytes=3118316, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.80,nw_dst=10.0.0.82,tp_src=5001,tp_dst=51182 actions=set_field:00:00:00:00:00:52->eth_dst,output:5
 cookie=0x0, duration=62.320s, table=0, n_packets=88327, n_bytes=4112011806, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.73,nw_dst=10.0.1.71,tp_src=50770,tp_dst=5001 actions=set_field:00:00:00:00:01:45->eth_dst,output:15
 cookie=0x0, duration=62.320s, table=0, n_packets=38300, n_bytes=2528912, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.71,nw_dst=10.0.0.73,tp_src=5001,tp_dst=50770 actions=set_field:00:00:00:00:00:49->eth_dst,output:5
 cookie=0x0, duration=62.307s, table=0, n_packets=86207, n_bytes=3549453086, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.89,nw_dst=10.0.1.87,tp_src=38416,tp_dst=5001 actions=set_field:00:00:00:00:01:55->eth_dst,output:16
 cookie=0x0, duration=62.307s, table=0, n_packets=41634, n_bytes=2775912, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.87,nw_dst=10.0.0.89,tp_src=5001,tp_dst=38416 actions=set_field:00:00:00:00:00:59->eth_dst,output:5
 cookie=0x0, duration=62.307s, table=0, n_packets=88298, n_bytes=3961964508, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.46,nw_dst=10.0.1.44,tp_src=49646,tp_dst=5001 actions=set_field:00:00:00:00:01:2a->eth_dst,output:14
 cookie=0x0, duration=62.307s, table=0, n_packets=44727, n_bytes=2990058, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.44,nw_dst=10.0.0.46,tp_src=5001,tp_dst=49646 actions=set_field:00:00:00:00:00:2e->eth_dst,output:3
 cookie=0x0, duration=62.307s, table=0, n_packets=84280, n_bytes=3662678784, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.45,nw_dst=10.0.1.43,tp_src=41940,tp_dst=5001 actions=set_field:00:00:00:00:01:29->eth_dst,output:14
 cookie=0x0, duration=62.307s, table=0, n_packets=46633, n_bytes=3094322, idle_timeout=15, priority=100,tcp,in_port=14,nw_src=10.0.1.43,nw_dst=10.0.0.45,tp_src=5001,tp_dst=41940 actions=set_field:00:00:00:00:00:2d->eth_dst,output:3
 cookie=0x0, duration=62.293s, table=0, n_packets=89785, n_bytes=4030818242, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.65,nw_dst=10.0.1.63,tp_src=50860,tp_dst=5001 actions=set_field:00:00:00:00:01:3d->eth_dst,output:15
 cookie=0x0, duration=62.293s, table=0, n_packets=46610, n_bytes=3076628, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.63,nw_dst=10.0.0.65,tp_src=5001,tp_dst=50860 actions=set_field:00:00:00:00:00:41->eth_dst,output:4
 cookie=0x0, duration=62.274s, table=0, n_packets=82287, n_bytes=3839157470, idle_timeout=15, priority=100,tcp,in_port=3,nw_src=10.0.0.27,nw_dst=10.0.1.25,tp_src=60376,tp_dst=5001 actions=set_field:00:00:00:00:01:17->eth_dst,output:13
 cookie=0x0, duration=62.274s, table=0, n_packets=37690, n_bytes=2497388, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.25,nw_dst=10.0.0.27,tp_src=5001,tp_dst=60376 actions=set_field:00:00:00:00:00:1b->eth_dst,output:3
 cookie=0x0, duration=62.242s, table=0, n_packets=88729, n_bytes=4114071946, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.2,nw_dst=10.0.0.254,tp_src=58810,tp_dst=5001 actions=set_field:00:00:00:00:00:fe->eth_dst,output:12
 cookie=0x0, duration=62.242s, table=0, n_packets=48506, n_bytes=3201920, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.254,nw_dst=10.0.0.2,tp_src=5001,tp_dst=58810 actions=set_field:00:00:00:00:00:02->eth_dst,output:2
 cookie=0x0, duration=62.223s, table=0, n_packets=86647, n_bytes=3936790654, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.3,nw_dst=10.0.1.1,tp_src=48954,tp_dst=5001 actions=set_field:00:00:00:00:00:ff->eth_dst,output:12
 cookie=0x0, duration=62.223s, table=0, n_packets=46543, n_bytes=3075338, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.1,nw_dst=10.0.0.3,tp_src=5001,tp_dst=48954 actions=set_field:00:00:00:00:00:03->eth_dst,output:2
 cookie=0x0, duration=62.202s, table=0, n_packets=85928, n_bytes=3678860336, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.8,nw_dst=10.0.1.6,tp_src=59780,tp_dst=5001 actions=set_field:00:00:00:00:01:04->eth_dst,output:12
 cookie=0x0, duration=62.202s, table=0, n_packets=42982, n_bytes=2872116, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.6,nw_dst=10.0.0.8,tp_src=5001,tp_dst=59780 actions=set_field:00:00:00:00:00:08->eth_dst,output:2
 cookie=0x0, duration=62.202s, table=0, n_packets=83807, n_bytes=3785607430, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.87,nw_dst=10.0.1.85,tp_src=32842,tp_dst=5001 actions=set_field:00:00:00:00:01:53->eth_dst,output:16
 cookie=0x0, duration=62.202s, table=0, n_packets=52459, n_bytes=3468638, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.85,nw_dst=10.0.0.87,tp_src=5001,tp_dst=32842 actions=set_field:00:00:00:00:00:57->eth_dst,output:5
 cookie=0x0, duration=62.193s, table=0, n_packets=99014, n_bytes=4445753988, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.70,nw_dst=10.0.1.68,tp_src=53258,tp_dst=5001 actions=set_field:00:00:00:00:01:42->eth_dst,output:15
 cookie=0x0, duration=62.193s, table=0, n_packets=53357, n_bytes=3522002, idle_timeout=15, priority=100,tcp,in_port=15,nw_src=10.0.1.68,nw_dst=10.0.0.70,tp_src=5001,tp_dst=53258 actions=set_field:00:00:00:00:00:46->eth_dst,output:4
 cookie=0x0, duration=62.186s, table=0, n_packets=79935, n_bytes=3507629982, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.23,nw_dst=10.0.1.21,tp_src=38946,tp_dst=5001 actions=set_field:00:00:00:00:01:13->eth_dst,output:13
 cookie=0x0, duration=62.186s, table=0, n_packets=39876, n_bytes=2649972, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.21,nw_dst=10.0.0.23,tp_src=5001,tp_dst=38946 actions=set_field:00:00:00:00:00:17->eth_dst,output:2
 cookie=0x0, duration=62.186s, table=0, n_packets=82616, n_bytes=3782144064, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.7,nw_dst=10.0.1.5,tp_src=42700,tp_dst=5001 actions=set_field:00:00:00:00:01:03->eth_dst,output:12
 cookie=0x0, duration=62.186s, table=0, n_packets=43448, n_bytes=2872364, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.5,nw_dst=10.0.0.7,tp_src=5001,tp_dst=42700 actions=set_field:00:00:00:00:00:07->eth_dst,output:2
 cookie=0x0, duration=62.186s, table=0, n_packets=83935, n_bytes=3708143286, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.20,nw_dst=10.0.1.18,tp_src=33284,tp_dst=5001 actions=set_field:00:00:00:00:01:10->eth_dst,output:13
 cookie=0x0, duration=62.186s, table=0, n_packets=37068, n_bytes=2484904, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.18,nw_dst=10.0.0.20,tp_src=5001,tp_dst=33284 actions=set_field:00:00:00:00:00:14->eth_dst,output:2
 cookie=0x0, duration=62.186s, table=0, n_packets=78193, n_bytes=3456558866, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.15,nw_dst=10.0.1.13,tp_src=52814,tp_dst=5001 actions=set_field:00:00:00:00:01:0b->eth_dst,output:13
 cookie=0x0, duration=62.186s, table=0, n_packets=31615, n_bytes=2139250, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.13,nw_dst=10.0.0.15,tp_src=5001,tp_dst=52814 actions=set_field:00:00:00:00:00:0f->eth_dst,output:2
 cookie=0x0, duration=62.185s, table=0, n_packets=87251, n_bytes=3784335646, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.85,nw_dst=10.0.1.83,tp_src=56974,tp_dst=5001 actions=set_field:00:00:00:00:01:51->eth_dst,output:16
 cookie=0x0, duration=62.185s, table=0, n_packets=48361, n_bytes=3207646, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.83,nw_dst=10.0.0.85,tp_src=5001,tp_dst=56974 actions=set_field:00:00:00:00:00:55->eth_dst,output:5
 cookie=0x0, duration=62.185s, table=0, n_packets=101053, n_bytes=4375384850, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.86,nw_dst=10.0.1.84,tp_src=36612,tp_dst=5001 actions=set_field:00:00:00:00:01:52->eth_dst,output:16
 cookie=0x0, duration=62.185s, table=0, n_packets=52477, n_bytes=3497682, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.84,nw_dst=10.0.0.86,tp_src=5001,tp_dst=36612 actions=set_field:00:00:00:00:00:56->eth_dst,output:5
 cookie=0x0, duration=62.170s, table=0, n_packets=84493, n_bytes=3796481034, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.94,nw_dst=10.0.1.92,tp_src=53766,tp_dst=5001 actions=set_field:00:00:00:00:01:5a->eth_dst,output:16
 cookie=0x0, duration=62.169s, table=0, n_packets=41944, n_bytes=2789252, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.92,nw_dst=10.0.0.94,tp_src=5001,tp_dst=53766 actions=set_field:00:00:00:00:00:5e->eth_dst,output:5
 cookie=0x0, duration=62.150s, table=0, n_packets=91190, n_bytes=4107258340, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.9,nw_dst=10.0.1.7,tp_src=54016,tp_dst=5001 actions=set_field:00:00:00:00:01:05->eth_dst,output:12
 cookie=0x0, duration=62.150s, table=0, n_packets=47432, n_bytes=3132572, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.7,nw_dst=10.0.0.9,tp_src=5001,tp_dst=54016 actions=set_field:00:00:00:00:00:09->eth_dst,output:2
 cookie=0x0, duration=62.109s, table=0, n_packets=72786, n_bytes=3271152484, idle_timeout=15, priority=100,tcp,in_port=5,nw_src=10.0.0.92,nw_dst=10.0.1.90,tp_src=53966,tp_dst=5001 actions=set_field:00:00:00:00:01:58->eth_dst,output:16
 cookie=0x0, duration=62.109s, table=0, n_packets=31975, n_bytes=2147558, idle_timeout=15, priority=100,tcp,in_port=16,nw_src=10.0.1.90,nw_dst=10.0.0.92,tp_src=5001,tp_dst=53966 actions=set_field:00:00:00:00:00:5c->eth_dst,output:5
