=== OVS Snapshot: post_tcp @ 2026-04-19T23:53:59,434821758-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=8878.533s, table=0, n_packets=6504, n_bytes=390240, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=133.368s, table=0, n_packets=177997, n_bytes=7962368258, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.5,nw_dst=10.0.1.3,tp_src=47800,tp_dst=5001 actions=set_field:00:00:00:00:01:01->eth_dst,output:12
 cookie=0x0, duration=133.368s, table=0, n_packets=80803, n_bytes=5369462, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.3,nw_dst=10.0.0.5,tp_src=5001,tp_dst=47800 actions=set_field:00:00:00:00:00:05->eth_dst,output:2
 cookie=0x0, duration=133.344s, table=0, n_packets=177997, n_bytes=8026783586, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.3,nw_dst=10.0.1.1,tp_src=59362,tp_dst=5001 actions=set_field:00:00:00:00:00:ff->eth_dst,output:12
 cookie=0x0, duration=133.344s, table=0, n_packets=95216, n_bytes=6304984, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.1.1,nw_dst=10.0.0.3,tp_src=5001,tp_dst=59362 actions=set_field:00:00:00:00:00:03->eth_dst,output:2
 cookie=0x0, duration=133.344s, table=0, n_packets=188354, n_bytes=8349300932, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.21,nw_dst=10.0.1.19,tp_src=52258,tp_dst=5001 actions=set_field:00:00:00:00:01:11->eth_dst,output:13
 cookie=0x0, duration=133.344s, table=0, n_packets=115859, n_bytes=7650434, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.19,nw_dst=10.0.0.21,tp_src=5001,tp_dst=52258 actions=set_field:00:00:00:00:00:15->eth_dst,output:2
 cookie=0x0, duration=133.304s, table=0, n_packets=182566, n_bytes=7977538124, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.2,nw_dst=10.0.0.254,tp_src=46222,tp_dst=5001 actions=set_field:00:00:00:00:00:fe->eth_dst,output:12
 cookie=0x0, duration=133.304s, table=0, n_packets=91022, n_bytes=6053800, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.254,nw_dst=10.0.0.2,tp_src=5001,tp_dst=46222 actions=set_field:00:00:00:00:00:02->eth_dst,output:2
 cookie=0x0, duration=133.285s, table=0, n_packets=182412, n_bytes=8041021328, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.0.253,tp_src=52164,tp_dst=5001 actions=set_field:00:00:00:00:00:fd->eth_dst,output:12
 cookie=0x0, duration=133.285s, table=0, n_packets=97596, n_bytes=6476184, idle_timeout=15, priority=100,tcp,in_port=12,nw_src=10.0.0.253,nw_dst=10.0.0.1,tp_src=5001,tp_dst=52164 actions=set_field:00:00:00:00:00:01->eth_dst,output:2
 cookie=0x0, duration=133.285s, table=0, n_packets=175930, n_bytes=7829492684, idle_timeout=15, priority=100,tcp,in_port=2,nw_src=10.0.0.18,nw_dst=10.0.1.16,tp_src=43428,tp_dst=5001 actions=set_field:00:00:00:00:01:0e->eth_dst,output:13
 cookie=0x0, duration=133.285s, table=0, n_packets=103993, n_bytes=6872030, idle_timeout=15, priority=100,tcp,in_port=13,nw_src=10.0.1.16,nw_dst=10.0.0.18,tp_src=5001,tp_dst=43428 actions=set_field:00:00:00:00:00:12->eth_dst,output:2
 cookie=0x0, duration=133.273s, table=0, n_packets=176235, n_bytes=7561718350, idle_timeout=15, priority=100,tcp,in_port=4,nw_src=10.0.0.60,nw_dst=10.0.1.58,tp_src=55494,tp_dst=5001 actions=set_field:00:00:00:00:01:38->eth_dst,output:14
