=== OVS Snapshot: post_churn @ 2026-04-19T01:05:44,718436696-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=7113.479s, table=0, n_packets=7614262, n_bytes=9972393130, send_flow_rem priority=0 actions=CONTROLLER:65535
agg1 flow_count=1
--- core1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=7113.486s, table=0, n_packets=251550, n_bytes=17903123, send_flow_rem priority=0 actions=CONTROLLER:65535
core1 flow_count=1
--- edge1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0xa00000000a000abd, duration=26.678s, table=0, n_packets=36, n_bytes=82016, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=23,nw_src=10.0.0.22,nw_dst=10.0.21.78,tp_src=59528,tp_dst=5001 actions=set_field:10.0.10.189->ip_src,set_field:10.0.1.20->ip_dst,set_field:02:a0:55:0a:bd:b7->eth_src,set_field:00:00:00:00:01:12->eth_dst,output:1
 cookie=0xa00000000a00156d, duration=26.678s, table=0, n_packets=34, n_bytes=81884, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=21,nw_src=10.0.0.20,nw_dst=10.0.11.215,tp_src=57330,tp_dst=5001 actions=set_field:10.0.21.109->ip_src,set_field:10.0.1.18->ip_dst,set_field:02:a0:55:15:6d:78->eth_src,set_field:00:00:00:00:01:10->eth_dst,output:1
 cookie=0xa00000000a0006ff, duration=26.605s, table=0, n_packets=35, n_bytes=81950, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=9,nw_src=10.0.0.8,nw_dst=10.0.5.244,tp_src=59136,tp_dst=5001 actions=set_field:10.0.6.255->ip_src,set_field:10.0.1.6->ip_dst,set_field:02:a0:55:06:ff:f9->eth_src,set_field:00:00:00:00:01:04->eth_dst,output:1
 cookie=0xa00000000a0015b3, duration=26.591s, table=0, n_packets=36, n_bytes=82016, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=15,nw_src=10.0.0.14,nw_dst=10.0.21.133,tp_src=51680,tp_dst=5001 actions=set_field:10.0.21.179->ip_src,set_field:10.0.1.12->ip_dst,set_field:02:a0:55:15:b3:a6->eth_src,set_field:00:00:00:00:01:0a->eth_dst,output:1
 cookie=0xa00000000a0005f0, duration=22.470s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=4,nw_src=10.0.0.3,nw_dst=10.0.13.32,tp_src=57016,tp_dst=5001 actions=set_field:10.0.5.240->ip_src,set_field:10.0.1.1->ip_dst,set_field:02:a0:55:05:f0:f5->eth_src,set_field:00:00:00:00:00:ff->eth_dst,output:1
 cookie=0xa00000000a001189, duration=22.470s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=12,nw_src=10.0.0.11,nw_dst=10.0.4.48,tp_src=56506,tp_dst=5001 actions=set_field:10.0.17.137->ip_src,set_field:10.0.1.9->ip_dst,set_field:02:a0:55:11:89:98->eth_src,set_field:00:00:00:00:01:07->eth_dst,output:1
 cookie=0xa00000000a000e2c, duration=22.470s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=19,nw_src=10.0.0.18,nw_dst=10.0.6.246,tp_src=51612,tp_dst=5001 actions=set_field:10.0.14.44->ip_src,set_field:10.0.1.16->ip_dst,set_field:02:a0:55:0e:2c:22->eth_src,set_field:00:00:00:00:01:0e->eth_dst,output:1
 cookie=0xa00000000a000c44, duration=22.470s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=14,nw_src=10.0.0.13,nw_dst=10.0.17.140,tp_src=59346,tp_dst=5001 actions=set_field:10.0.12.68->ip_src,set_field:10.0.1.11->ip_dst,set_field:02:a0:55:0c:44:48->eth_src,set_field:00:00:00:00:01:09->eth_dst,output:1
 cookie=0xa00000000a0003d0, duration=22.441s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=22,nw_src=10.0.0.21,nw_dst=10.0.17.138,tp_src=51874,tp_dst=5001 actions=set_field:10.0.3.208->ip_src,set_field:10.0.1.19->ip_dst,set_field:02:a0:55:03:d0:d3->eth_src,set_field:00:00:00:00:01:11->eth_dst,output:1
 cookie=0xa00000000a00038b, duration=22.308s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=7,nw_src=10.0.0.6,nw_dst=10.0.10.87,tp_src=42240,tp_dst=5001 actions=set_field:10.0.3.139->ip_src,set_field:10.0.1.4->ip_dst,set_field:02:a0:55:03:8b:88->eth_src,set_field:00:00:00:00:01:02->eth_dst,output:1
 cookie=0xa00000000a000cbb, duration=22.242s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=25,nw_src=10.0.0.24,nw_dst=10.0.7.137,tp_src=33526,tp_dst=5001 actions=set_field:10.0.12.187->ip_src,set_field:10.0.1.22->ip_dst,set_field:02:a0:55:0c:bb:b7->eth_src,set_field:00:00:00:00:01:14->eth_dst,output:1
 cookie=0xa00000000a0004d0, duration=22.242s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=8,nw_src=10.0.0.7,nw_dst=10.0.21.182,tp_src=55104,tp_dst=5001 actions=set_field:10.0.4.208->ip_src,set_field:10.0.1.5->ip_dst,set_field:02:a0:55:04:d0:d4->eth_src,set_field:00:00:00:00:01:03->eth_dst,output:1
 cookie=0xa00000000a000704, duration=22.203s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=20,nw_src=10.0.0.19,nw_dst=10.0.13.113,tp_src=44666,tp_dst=5001 actions=set_field:10.0.7.4->ip_src,set_field:10.0.1.17->ip_dst,set_field:02:a0:55:07:04:03->eth_src,set_field:00:00:00:00:01:0f->eth_dst,output:1
 cookie=0xa00000000a000e87, duration=22.202s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=13,nw_src=10.0.0.12,nw_dst=10.0.13.33,tp_src=42538,tp_dst=5001 actions=set_field:10.0.14.135->ip_src,set_field:10.0.1.10->ip_dst,set_field:02:a0:55:0e:87:89->eth_src,set_field:00:00:00:00:01:08->eth_dst,output:1
 cookie=0xa00000000a000d4a, duration=22.180s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=16,nw_src=10.0.0.15,nw_dst=10.0.18.34,tp_src=51510,tp_dst=5001 actions=set_field:10.0.13.74->ip_src,set_field:10.0.1.13->ip_dst,set_field:02:a0:55:0d:4a:47->eth_src,set_field:00:00:00:00:01:0b->eth_dst,output:1
 cookie=0xa00000000a000d05, duration=22.180s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=11,nw_src=10.0.0.10,nw_dst=10.0.21.130,tp_src=40610,tp_dst=5001 actions=set_field:10.0.13.5->ip_src,set_field:10.0.1.8->ip_dst,set_field:02:a0:55:0d:05:08->eth_src,set_field:00:00:00:00:01:06->eth_dst,output:1
 cookie=0xa00000000a000c55, duration=22.142s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=10,nw_src=10.0.0.9,nw_dst=10.0.3.176,tp_src=55324,tp_dst=5001 actions=set_field:10.0.12.85->ip_src,set_field:10.0.1.7->ip_dst,set_field:02:a0:55:0c:55:59->eth_src,set_field:00:00:00:00:01:05->eth_dst,output:1
 cookie=0xa00000000a0011ca, duration=22.084s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=3,nw_src=10.0.0.2,nw_dst=10.0.12.151,tp_src=59690,tp_dst=5001 actions=set_field:10.0.17.202->ip_src,set_field:10.0.0.254->ip_dst,set_field:02:a0:55:11:ca:db->eth_src,set_field:00:00:00:00:00:fe->eth_dst,output:1
 cookie=0xa00000000a00124e, duration=22.024s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=24,nw_src=10.0.0.23,nw_dst=10.0.7.105,tp_src=48186,tp_dst=5001 actions=set_field:10.0.18.78->ip_src,set_field:10.0.1.21->ip_dst,set_field:02:a0:55:12:4e:5c->eth_src,set_field:00:00:00:00:01:13->eth_dst,output:1
 cookie=0xa00000000a000cd2, duration=22.024s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=5,nw_src=10.0.0.4,nw_dst=10.0.6.147,tp_src=38078,tp_dst=5001 actions=set_field:10.0.12.210->ip_src,set_field:10.0.1.2->ip_dst,set_field:02:a0:55:0c:d2:de->eth_src,set_field:00:00:00:00:01:00->eth_dst,output:1
 cookie=0xa00000000a000bfc, duration=21.948s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=6,nw_src=10.0.0.5,nw_dst=10.0.9.8,tp_src=46822,tp_dst=5001 actions=set_field:10.0.11.252->ip_src,set_field:10.0.1.3->ip_dst,set_field:02:a0:55:0b:fc:f7->eth_src,set_field:00:00:00:00:01:01->eth_dst,output:1
 cookie=0xa00000000a0005ca, duration=21.787s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=17,nw_src=10.0.0.16,nw_dst=10.0.13.87,tp_src=43448,tp_dst=5001 actions=set_field:10.0.5.202->ip_src,set_field:10.0.1.14->ip_dst,set_field:02:a0:55:05:ca:cf->eth_src,set_field:00:00:00:00:01:0c->eth_dst,output:1
 cookie=0xa00000000a00065c, duration=21.787s, table=0, n_packets=6, n_bytes=344, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=9,nw_src=10.0.0.8,nw_dst=10.0.21.219,tp_src=41710,tp_dst=5001 actions=set_field:10.0.6.92->ip_src,set_field:10.0.1.6->ip_dst,set_field:02:a0:55:06:5c:5a->eth_src,set_field:00:00:00:00:01:04->eth_dst,output:1
 cookie=0xa00000000a0005f0, duration=21.787s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=4,nw_src=10.0.0.3,nw_dst=10.0.13.32,tp_src=54406,tp_dst=5001 actions=set_field:10.0.5.240->ip_src,set_field:10.0.1.1->ip_dst,set_field:02:a0:55:05:f0:f5->eth_src,set_field:00:00:00:00:00:ff->eth_dst,output:1
 cookie=0xa00000000a000d04, duration=21.738s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.12.33,tp_src=53502,tp_dst=5001 actions=set_field:10.0.13.4->ip_src,set_field:10.0.0.253->ip_dst,set_field:02:a0:55:0d:04:09->eth_src,set_field:00:00:00:00:00:fd->eth_dst,output:1
 cookie=0xa00000000a000d94, duration=21.738s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=18,nw_src=10.0.0.17,nw_dst=10.0.8.98,tp_src=59748,tp_dst=5001 actions=set_field:10.0.13.148->ip_src,set_field:10.0.1.15->ip_dst,set_field:02:a0:55:0d:94:99->eth_src,set_field:00:00:00:00:01:0d->eth_dst,output:1
 cookie=0xa00000000a001189, duration=21.623s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=12,nw_src=10.0.0.11,nw_dst=10.0.4.48,tp_src=54882,tp_dst=5001 actions=set_field:10.0.17.137->ip_src,set_field:10.0.1.9->ip_dst,set_field:02:a0:55:11:89:98->eth_src,set_field:00:00:00:00:01:07->eth_dst,output:1
 cookie=0xa00000000a000ced, duration=21.623s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=15,nw_src=10.0.0.14,nw_dst=10.0.14.149,tp_src=53684,tp_dst=5001 actions=set_field:10.0.12.237->ip_src,set_field:10.0.1.12->ip_dst,set_field:02:a0:55:0c:ed:e1->eth_src,set_field:00:00:00:00:01:0a->eth_dst,output:1
 cookie=0xa00000000a0011cb, duration=21.623s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=21,nw_src=10.0.0.20,nw_dst=10.0.21.151,tp_src=52982,tp_dst=5001 actions=set_field:10.0.17.203->ip_src,set_field:10.0.1.18->ip_dst,set_field:02:a0:55:11:cb:da->eth_src,set_field:00:00:00:00:01:10->eth_dst,output:1
 cookie=0xa00000000a000e2c, duration=21.623s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=19,nw_src=10.0.0.18,nw_dst=10.0.6.246,tp_src=55720,tp_dst=5001 actions=set_field:10.0.14.44->ip_src,set_field:10.0.1.16->ip_dst,set_field:02:a0:55:0e:2c:22->eth_src,set_field:00:00:00:00:01:0e->eth_dst,output:1
 cookie=0xa00000000a000c44, duration=21.530s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=14,nw_src=10.0.0.13,nw_dst=10.0.17.140,tp_src=39082,tp_dst=5001 actions=set_field:10.0.12.68->ip_src,set_field:10.0.1.11->ip_dst,set_field:02:a0:55:0c:44:48->eth_src,set_field:00:00:00:00:01:09->eth_dst,output:1
 cookie=0xa00000000a0003d0, duration=21.486s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=22,nw_src=10.0.0.21,nw_dst=10.0.17.138,tp_src=56276,tp_dst=5001 actions=set_field:10.0.3.208->ip_src,set_field:10.0.1.19->ip_dst,set_field:02:a0:55:03:d0:d3->eth_src,set_field:00:00:00:00:01:11->eth_dst,output:1
 cookie=0xa00000000a00038b, duration=21.291s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=7,nw_src=10.0.0.6,nw_dst=10.0.10.87,tp_src=36988,tp_dst=5001 actions=set_field:10.0.3.139->ip_src,set_field:10.0.1.4->ip_dst,set_field:02:a0:55:03:8b:88->eth_src,set_field:00:00:00:00:01:02->eth_dst,output:1
 cookie=0xa00000000a000cbb, duration=21.219s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=25,nw_src=10.0.0.24,nw_dst=10.0.7.137,tp_src=52148,tp_dst=5001 actions=set_field:10.0.12.187->ip_src,set_field:10.0.1.22->ip_dst,set_field:02:a0:55:0c:bb:b7->eth_src,set_field:00:00:00:00:01:14->eth_dst,output:1
 cookie=0xa00000000a000704, duration=21.156s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=20,nw_src=10.0.0.19,nw_dst=10.0.13.113,tp_src=38276,tp_dst=5001 actions=set_field:10.0.7.4->ip_src,set_field:10.0.1.17->ip_dst,set_field:02:a0:55:07:04:03->eth_src,set_field:00:00:00:00:01:0f->eth_dst,output:1
 cookie=0xa00000000a000c55, duration=21.128s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=10,nw_src=10.0.0.9,nw_dst=10.0.3.176,tp_src=51804,tp_dst=5001 actions=set_field:10.0.12.85->ip_src,set_field:10.0.1.7->ip_dst,set_field:02:a0:55:0c:55:59->eth_src,set_field:00:00:00:00:01:05->eth_dst,output:1
 cookie=0xa00000000a000d4a, duration=21.091s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=16,nw_src=10.0.0.15,nw_dst=10.0.18.34,tp_src=46572,tp_dst=5001 actions=set_field:10.0.13.74->ip_src,set_field:10.0.1.13->ip_dst,set_field:02:a0:55:0d:4a:47->eth_src,set_field:00:00:00:00:01:0b->eth_dst,output:1
 cookie=0xa00000000a0004d0, duration=21.076s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=8,nw_src=10.0.0.7,nw_dst=10.0.21.182,tp_src=39504,tp_dst=5001 actions=set_field:10.0.4.208->ip_src,set_field:10.0.1.5->ip_dst,set_field:02:a0:55:04:d0:d4->eth_src,set_field:00:00:00:00:01:03->eth_dst,output:1
 cookie=0xa00000000a000e87, duration=21.010s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=13,nw_src=10.0.0.12,nw_dst=10.0.13.33,tp_src=45944,tp_dst=5001 actions=set_field:10.0.14.135->ip_src,set_field:10.0.1.10->ip_dst,set_field:02:a0:55:0e:87:89->eth_src,set_field:00:00:00:00:01:08->eth_dst,output:1
 cookie=0xa00000000a000cd2, duration=21.010s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=5,nw_src=10.0.0.4,nw_dst=10.0.6.147,tp_src=58700,tp_dst=5001 actions=set_field:10.0.12.210->ip_src,set_field:10.0.1.2->ip_dst,set_field:02:a0:55:0c:d2:de->eth_src,set_field:00:00:00:00:01:00->eth_dst,output:1
 cookie=0xa00000000a00124e, duration=20.981s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=24,nw_src=10.0.0.23,nw_dst=10.0.7.105,tp_src=35176,tp_dst=5001 actions=set_field:10.0.18.78->ip_src,set_field:10.0.1.21->ip_dst,set_field:02:a0:55:12:4e:5c->eth_src,set_field:00:00:00:00:01:13->eth_dst,output:1
 cookie=0xa00000000a0011ca, duration=20.903s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=3,nw_src=10.0.0.2,nw_dst=10.0.12.151,tp_src=38314,tp_dst=5001 actions=set_field:10.0.17.202->ip_src,set_field:10.0.0.254->ip_dst,set_field:02:a0:55:11:ca:db->eth_src,set_field:00:00:00:00:00:fe->eth_dst,output:1
 cookie=0xa00000000a000d05, duration=20.840s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=11,nw_src=10.0.0.10,nw_dst=10.0.21.130,tp_src=48502,tp_dst=5001 actions=set_field:10.0.13.5->ip_src,set_field:10.0.1.8->ip_dst,set_field:02:a0:55:0d:05:08->eth_src,set_field:00:00:00:00:01:06->eth_dst,output:1
 cookie=0xa00000000a000d94, duration=20.761s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=18,nw_src=10.0.0.17,nw_dst=10.0.8.98,tp_src=59764,tp_dst=5001 actions=set_field:10.0.13.148->ip_src,set_field:10.0.1.15->ip_dst,set_field:02:a0:55:0d:94:99->eth_src,set_field:00:00:00:00:01:0d->eth_dst,output:1
 cookie=0xa00000000a000bfc, duration=20.734s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=6,nw_src=10.0.0.5,nw_dst=10.0.9.8,tp_src=58022,tp_dst=5001 actions=set_field:10.0.11.252->ip_src,set_field:10.0.1.3->ip_dst,set_field:02:a0:55:0b:fc:f7->eth_src,set_field:00:00:00:00:01:01->eth_dst,output:1
 cookie=0xa00000000a00065c, duration=20.708s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=9,nw_src=10.0.0.8,nw_dst=10.0.21.219,tp_src=41722,tp_dst=5001 actions=set_field:10.0.6.92->ip_src,set_field:10.0.1.6->ip_dst,set_field:02:a0:55:06:5c:5a->eth_src,set_field:00:00:00:00:01:04->eth_dst,output:1
 cookie=0xa00000000a000d04, duration=20.667s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.12.33,tp_src=53516,tp_dst=5001 actions=set_field:10.0.13.4->ip_src,set_field:10.0.0.253->ip_dst,set_field:02:a0:55:0d:04:09->eth_src,set_field:00:00:00:00:00:fd->eth_dst,output:1
