=== OVS Snapshot: post_churn @ 2026-04-19T00:02:46,930956298-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=3335.700s, table=0, n_packets=3752869, n_bytes=4958453630, send_flow_rem priority=0 actions=CONTROLLER:65535
agg1 flow_count=1
--- core1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=3335.711s, table=0, n_packets=104631, n_bytes=6745012, send_flow_rem priority=0 actions=CONTROLLER:65535
core1 flow_count=1
--- edge1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0xa00000000a000a23, duration=22.855s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=11,nw_src=10.0.0.10,nw_dst=10.0.8.168,tp_src=35268,tp_dst=5001 actions=set_field:10.0.10.35->ip_src,set_field:10.0.1.8->ip_dst,set_field:02:a0:55:0a:23:29->eth_src,set_field:00:00:00:00:01:06->eth_dst,output:1
 cookie=0xa00000000a000af1, duration=22.763s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=24,nw_src=10.0.0.23,nw_dst=10.0.7.155,tp_src=59814,tp_dst=5001 actions=set_field:10.0.10.241->ip_src,set_field:10.0.1.21->ip_dst,set_field:02:a0:55:0a:f1:fb->eth_src,set_field:00:00:00:00:01:13->eth_dst,output:1
 cookie=0xa00000000a000a61, duration=22.763s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=15,nw_src=10.0.0.14,nw_dst=10.0.8.183,tp_src=57348,tp_dst=5001 actions=set_field:10.0.10.97->ip_src,set_field:10.0.1.12->ip_dst,set_field:02:a0:55:0a:61:6b->eth_src,set_field:00:00:00:00:01:0a->eth_dst,output:1
 cookie=0xa00000000a000730, duration=22.655s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=4,nw_src=10.0.0.3,nw_dst=10.0.8.109,tp_src=60938,tp_dst=5001 actions=set_field:10.0.7.48->ip_src,set_field:10.0.1.1->ip_dst,set_field:02:a0:55:07:30:37->eth_src,set_field:00:00:00:00:00:ff->eth_dst,output:1
 cookie=0xa00000000a000843, duration=22.655s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=10,nw_src=10.0.0.9,nw_dst=10.0.7.3,tp_src=42276,tp_dst=5001 actions=set_field:10.0.8.67->ip_src,set_field:10.0.1.7->ip_dst,set_field:02:a0:55:08:43:4b->eth_src,set_field:00:00:00:00:01:05->eth_dst,output:1
 cookie=0xa00000000a000a55, duration=22.623s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=14,nw_src=10.0.0.13,nw_dst=10.0.8.147,tp_src=51422,tp_dst=5001 actions=set_field:10.0.10.85->ip_src,set_field:10.0.1.11->ip_dst,set_field:02:a0:55:0a:55:5f->eth_src,set_field:00:00:00:00:01:09->eth_dst,output:1
 cookie=0xa00000000a000ac9, duration=22.558s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=21,nw_src=10.0.0.20,nw_dst=10.0.7.69,tp_src=46452,tp_dst=5001 actions=set_field:10.0.10.201->ip_src,set_field:10.0.1.18->ip_dst,set_field:02:a0:55:0a:c9:c3->eth_src,set_field:00:00:00:00:01:10->eth_dst,output:1
 cookie=0xa00000000a000ac8, duration=22.558s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=3,nw_src=10.0.0.2,nw_dst=10.0.11.25,tp_src=51776,tp_dst=5001 actions=set_field:10.0.10.200->ip_src,set_field:10.0.0.254->ip_dst,set_field:02:a0:55:0a:c8:c2->eth_src,set_field:00:00:00:00:00:fe->eth_dst,output:1
 cookie=0xa00000000a000a22, duration=22.502s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.11.24,tp_src=58038,tp_dst=5001 actions=set_field:10.0.10.34->ip_src,set_field:10.0.0.253->ip_dst,set_field:02:a0:55:0a:22:28->eth_src,set_field:00:00:00:00:00:fd->eth_dst,output:1
 cookie=0xa00000000a000ada, duration=22.446s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=22,nw_src=10.0.0.21,nw_dst=10.0.8.69,tp_src=52094,tp_dst=5001 actions=set_field:10.0.10.218->ip_src,set_field:10.0.1.19->ip_dst,set_field:02:a0:55:0a:da:d0->eth_src,set_field:00:00:00:00:01:11->eth_dst,output:1
 cookie=0xa00000000a000aa4, duration=22.446s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=19,nw_src=10.0.0.18,nw_dst=10.0.9.152,tp_src=41326,tp_dst=5001 actions=set_field:10.0.10.164->ip_src,set_field:10.0.1.16->ip_dst,set_field:02:a0:55:0a:a4:ae->eth_src,set_field:00:00:00:00:01:0e->eth_dst,output:1
 cookie=0xa00000000a0007cb, duration=22.404s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=7,nw_src=10.0.0.6,nw_dst=10.0.8.59,tp_src=48420,tp_dst=5001 actions=set_field:10.0.7.203->ip_src,set_field:10.0.1.4->ip_dst,set_field:02:a0:55:07:cb:cc->eth_src,set_field:00:00:00:00:01:02->eth_dst,output:1
 cookie=0xa00000000a000a7f, duration=22.379s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=17,nw_src=10.0.0.16,nw_dst=10.0.8.222,tp_src=39890,tp_dst=5001 actions=set_field:10.0.10.127->ip_src,set_field:10.0.1.14->ip_dst,set_field:02:a0:55:0a:7f:75->eth_src,set_field:00:00:00:00:01:0c->eth_dst,output:1
 cookie=0xa00000000a00079e, duration=22.349s, table=0, n_packets=5, n_bytes=290, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=6,nw_src=10.0.0.5,nw_dst=10.0.8.1,tp_src=52808,tp_dst=5001 actions=set_field:10.0.7.158->ip_src,set_field:10.0.1.3->ip_dst,set_field:02:a0:55:07:9e:99->eth_src,set_field:00:00:00:00:01:01->eth_dst,output:1
