=== UDP Jitter + Packet Loss Summary ===
Topology           : Large (~500+ hosts, 48-port switches)
Pairs available    : 252
Pairs tested       : 252
Rate per pair      : 100K
Aggregate offered  : see per-pair rate
Duration           : 120s

Pair                           Jitter(ms)   Loss(lost/total)   Delivery Status         
------------------------------ ----------   ------------------ ------------------------
h1->h253                       1.557        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h2->h254                       1.777        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h3->h255                       2.164        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h4->h256                       1.846        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h5->h257                       1.853        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h6->h258                       1.307        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h7->h259                       1.125        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h8->h260                       1.381        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h9->h261                       0.928        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h10->h262                      1.087        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h11->h263                      2.115        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h12->h264                      2.174        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h13->h265                      2.230        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h14->h266                      1.840        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h15->h267                      1.827        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h16->h268                      1.630        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h17->h269                      1.095        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h18->h270                      1.649        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h19->h271                      1.190        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h20->h272                      1.082        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h21->h273                      2.215        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h22->h274                      2.295        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h23->h275                      1.775        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h24->h276                      1.681        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h25->h277                      1.870        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h26->h278                      1.990        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h27->h279                      1.669        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h28->h280                      1.390        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h29->h281                      1.178        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h30->h282                      2.327        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h31->h283                      1.853        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h32->h284                      1.794        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h33->h285                      1.571        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h34->h286                      1.679        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h35->h287                      1.486        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h36->h288                      1.715        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h37->h289                      1.746        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h38->h290                      1.213        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h39->h291                      1.018        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h40->h292                      64.538       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h41->h293                      64.370       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h42->h294                      64.965       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h43->h295                      63.954       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h44->h296                      64.226       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h45->h297                      64.036       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h46->h298                      64.112       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h47->h299                      64.240       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h48->h300                      63.760       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h49->h301                      63.184       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h50->h302                      2.089        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h51->h303                      1.736        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h52->h304                      1.858        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h53->h305                      1.439        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h54->h306                      1.992        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h55->h307                      1.544        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h56->h308                      1.672        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h57->h309                      1.524        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h58->h310                      1.135        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h59->h311                      1.184        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h60->h312                      1.861        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h61->h313                      1.633        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h62->h314                      1.467        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h63->h315                      1.950        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h64->h316                      2.479        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h65->h317                      2.066        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h66->h318                      1.997        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h67->h319                      1.467        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h68->h320                      1.318        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h69->h321                      1.353        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h70->h322                      1.400        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h71->h323                      2.009        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
