=== OVS Snapshot: mid_churn @ 2026-04-18T23:48:23,620529771-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=2472.393s, table=0, n_packets=2817547, n_bytes=3799322254, send_flow_rem priority=0 actions=CONTROLLER:65535
agg1 flow_count=1
--- core1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=2472.396s, table=0, n_packets=75759, n_bytes=4830248, send_flow_rem priority=0 actions=CONTROLLER:65535
core1 flow_count=1
--- edge1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0xa00000000a000eb3, duration=10.054s, table=0, n_packets=34, n_bytes=84780, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=23,nw_src=10.0.0.22,nw_dst=10.0.15.252,tp_src=51722,tp_dst=5001 actions=set_field:10.0.14.179->ip_src,set_field:10.0.1.20->ip_dst,set_field:02:a0:55:0e:b3:bd->eth_src,set_field:00:00:00:00:01:12->eth_dst,output:1
 cookie=0xa00000000a000d7e, duration=10.018s, table=0, n_packets=33, n_bytes=83266, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=11,nw_src=10.0.0.10,nw_dst=10.0.14.222,tp_src=41838,tp_dst=5001 actions=set_field:10.0.13.126->ip_src,set_field:10.0.1.8->ip_dst,set_field:02:a0:55:0d:7e:73->eth_src,set_field:00:00:00:00:01:06->eth_dst,output:1
 cookie=0xa00000000a000da3, duration=10.017s, table=0, n_packets=19, n_bytes=46142, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=17,nw_src=10.0.0.16,nw_dst=10.0.13.248,tp_src=43872,tp_dst=5001 actions=set_field:10.0.13.163->ip_src,set_field:10.0.1.14->ip_dst,set_field:02:a0:55:0d:a3:ae->eth_src,set_field:00:00:00:00:01:0c->eth_dst,output:1
 cookie=0xa00000000a000de8, duration=9.965s, table=0, n_packets=20, n_bytes=46208, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=12,nw_src=10.0.0.11,nw_dst=10.0.14.233,tp_src=56186,tp_dst=5001 actions=set_field:10.0.13.232->ip_src,set_field:10.0.1.9->ip_dst,set_field:02:a0:55:0d:e8:e5->eth_src,set_field:00:00:00:00:01:07->eth_dst,FLOOD
 cookie=0xa00000000a000ece, duration=9.965s, table=0, n_packets=19, n_bytes=44694, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=24,nw_src=10.0.0.23,nw_dst=10.0.16.6,tp_src=56284,tp_dst=5001 actions=set_field:10.0.14.206->ip_src,set_field:10.0.1.21->ip_dst,set_field:02:a0:55:0e:ce:c0->eth_src,set_field:00:00:00:00:01:13->eth_dst,output:1
 cookie=0xa00000000a000e29, duration=9.940s, table=0, n_packets=19, n_bytes=44694, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=13,nw_src=10.0.0.12,nw_dst=10.0.14.105,tp_src=48638,tp_dst=5001 actions=set_field:10.0.14.41->ip_src,set_field:10.0.1.10->ip_dst,set_field:02:a0:55:0e:29:27->eth_src,set_field:00:00:00:00:01:08->eth_dst,output:1
 cookie=0xa00000000a000eb7, duration=9.829s, table=0, n_packets=4, n_bytes=236, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=14,nw_src=10.0.0.13,nw_dst=10.0.16.225,tp_src=48644,tp_dst=5001 actions=set_field:10.0.14.183->ip_src,set_field:10.0.1.11->ip_dst,set_field:02:a0:55:0e:b7:b9->eth_src,set_field:00:00:00:00:01:09->eth_dst,output:1
 cookie=0xa00000000a0010e0, duration=9.541s, table=0, n_packets=4, n_bytes=236, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=25,nw_src=10.0.0.24,nw_dst=10.0.16.21,tp_src=52550,tp_dst=5001 actions=set_field:10.0.16.224->ip_src,set_field:10.0.1.22->ip_dst,set_field:02:a0:55:10:e0:f0->eth_src,set_field:00:00:00:00:01:14->eth_dst,output:1
 cookie=0xa00000000a000de7, duration=9.493s, table=0, n_packets=4, n_bytes=236, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=9,nw_src=10.0.0.8,nw_dst=10.0.16.94,tp_src=39396,tp_dst=5001 actions=set_field:10.0.13.231->ip_src,set_field:10.0.1.6->ip_dst,set_field:02:a0:55:0d:e7:ea->eth_src,set_field:00:00:00:00:01:04->eth_dst,output:1
 cookie=0xa00000000a000e36, duration=9.461s, table=0, n_packets=4, n_bytes=236, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=10,nw_src=10.0.0.9,nw_dst=10.0.16.106,tp_src=34726,tp_dst=5001 actions=set_field:10.0.14.54->ip_src,set_field:10.0.1.7->ip_dst,set_field:02:a0:55:0e:36:38->eth_src,set_field:00:00:00:00:01:05->eth_dst,output:1
 cookie=0xa00000000a000dba, duration=9.442s, table=0, n_packets=4, n_bytes=236, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=8,nw_src=10.0.0.7,nw_dst=10.0.16.82,tp_src=34724,tp_dst=5001 actions=set_field:10.0.13.186->ip_src,set_field:10.0.1.5->ip_dst,set_field:02:a0:55:0d:ba:b7->eth_src,set_field:00:00:00:00:01:03->eth_dst,output:1
 cookie=0xa00000000a00114f, duration=9.103s, table=0, n_packets=4, n_bytes=236, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=15,nw_src=10.0.0.14,nw_dst=10.0.17.44,tp_src=46776,tp_dst=5001 actions=set_field:10.0.17.79->ip_src,set_field:10.0.1.12->ip_dst,set_field:02:a0:55:11:4f:5e->eth_src,set_field:00:00:00:00:01:0a->eth_dst,output:1
 cookie=0xa00000000a000eb7, duration=8.844s, table=0, n_packets=4, n_bytes=236, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=14,nw_src=10.0.0.13,nw_dst=10.0.16.225,tp_src=48658,tp_dst=5001 actions=set_field:10.0.14.183->ip_src,set_field:10.0.1.11->ip_dst,set_field:02:a0:55:0e:b7:b9->eth_src,set_field:00:00:00:00:01:09->eth_dst,output:1
 cookie=0xa00000000a000e7d, duration=8.844s, table=0, n_packets=4, n_bytes=236, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=3,nw_src=10.0.0.2,nw_dst=10.0.17.16,tp_src=32832,tp_dst=5001 actions=set_field:10.0.14.125->ip_src,set_field:10.0.0.254->ip_dst,set_field:02:a0:55:0e:7d:73->eth_src,set_field:00:00:00:00:00:fe->eth_dst,FLOOD
 cookie=0xa00000000a000e9e, duration=8.804s, table=0, n_packets=3, n_bytes=182, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=22,nw_src=10.0.0.21,nw_dst=10.0.15.243,tp_src=42296,tp_dst=5001 actions=set_field:10.0.14.158->ip_src,set_field:10.0.1.19->ip_dst,set_field:02:a0:55:0e:9e:90->eth_src,set_field:00:00:00:00:01:11->eth_dst,output:1
 cookie=0xa00000000a0010e0, duration=8.707s, table=0, n_packets=3, n_bytes=182, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=25,nw_src=10.0.0.24,nw_dst=10.0.16.21,tp_src=52556,tp_dst=5001 actions=set_field:10.0.16.224->ip_src,set_field:10.0.1.22->ip_dst,set_field:02:a0:55:10:e0:f0->eth_src,set_field:00:00:00:00:01:14->eth_dst,output:1
 cookie=0xa00000000a001139, duration=8.707s, table=0, n_packets=3, n_bytes=182, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=4,nw_src=10.0.0.3,nw_dst=10.0.14.102,tp_src=40828,tp_dst=5001 actions=set_field:10.0.17.57->ip_src,set_field:10.0.1.1->ip_dst,set_field:02:a0:55:11:39:28->eth_src,set_field:00:00:00:00:00:ff->eth_dst,output:1
 cookie=0xa00000000a0010c6, duration=8.707s, table=0, n_packets=3, n_bytes=182, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=6,nw_src=10.0.0.5,nw_dst=10.0.16.68,tp_src=33800,tp_dst=5001 actions=set_field:10.0.16.198->ip_src,set_field:10.0.1.3->ip_dst,set_field:02:a0:55:10:c6:d6->eth_src,set_field:00:00:00:00:01:01->eth_dst,output:1
 cookie=0xa00000000a001165, duration=8.653s, table=0, n_packets=3, n_bytes=182, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=5,nw_src=10.0.0.4,nw_dst=10.0.15.251,tp_src=47236,tp_dst=5001 actions=set_field:10.0.17.101->ip_src,set_field:10.0.1.2->ip_dst,set_field:02:a0:55:11:65:74->eth_src,set_field:00:00:00:00:01:00->eth_dst,FLOOD
 cookie=0xa00000000a000de7, duration=8.627s, table=0, n_packets=3, n_bytes=182, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=9,nw_src=10.0.0.8,nw_dst=10.0.16.94,tp_src=39408,tp_dst=5001 actions=set_field:10.0.13.231->ip_src,set_field:10.0.1.6->ip_dst,set_field:02:a0:55:0d:e7:ea->eth_src,set_field:00:00:00:00:01:04->eth_dst,output:1
 cookie=0xa00000000a000e36, duration=8.605s, table=0, n_packets=3, n_bytes=182, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=10,nw_src=10.0.0.9,nw_dst=10.0.16.106,tp_src=34728,tp_dst=5001 actions=set_field:10.0.14.54->ip_src,set_field:10.0.1.7->ip_dst,set_field:02:a0:55:0e:36:38->eth_src,set_field:00:00:00:00:01:05->eth_dst,output:1
 cookie=0xa00000000a000d9e, duration=8.605s, table=0, n_packets=3, n_bytes=182, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=7,nw_src=10.0.0.6,nw_dst=10.0.16.81,tp_src=52366,tp_dst=5001 actions=set_field:10.0.13.158->ip_src,set_field:10.0.1.4->ip_dst,set_field:02:a0:55:0d:9e:93->eth_src,set_field:00:00:00:00:01:02->eth_dst,output:1
 cookie=0xa00000000a00108c, duration=8.523s, table=0, n_packets=2, n_bytes=128, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=16,nw_src=10.0.0.15,nw_dst=10.0.13.195,tp_src=49952,tp_dst=5001 actions=set_field:10.0.16.140->ip_src,set_field:10.0.1.13->ip_dst,set_field:02:a0:55:10:8c:9c->eth_src,set_field:00:00:00:00:01:0b->eth_dst,output:1
 cookie=0xa00000000a000dba, duration=8.502s, table=0, n_packets=2, n_bytes=128, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=8,nw_src=10.0.0.7,nw_dst=10.0.16.82,tp_src=34728,tp_dst=5001 actions=set_field:10.0.13.186->ip_src,set_field:10.0.1.5->ip_dst,set_field:02:a0:55:0d:ba:b7->eth_src,set_field:00:00:00:00:01:03->eth_dst,output:1
 cookie=0xa00000000a000df5, duration=8.502s, table=0, n_packets=2, n_bytes=128, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=18,nw_src=10.0.0.17,nw_dst=10.0.14.82,tp_src=54278,tp_dst=5001 actions=set_field:10.0.13.245->ip_src,set_field:10.0.1.15->ip_dst,set_field:02:a0:55:0d:f5:f8->eth_src,set_field:00:00:00:00:01:0d->eth_dst,output:1
 cookie=0xa00000000a000e40, duration=8.502s, table=0, n_packets=2, n_bytes=128, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=19,nw_src=10.0.0.18,nw_dst=10.0.16.223,tp_src=51072,tp_dst=5001 actions=set_field:10.0.14.64->ip_src,set_field:10.0.1.16->ip_dst,set_field:02:a0:55:0e:40:4e->eth_src,set_field:00:00:00:00:01:0e->eth_dst,output:1
 cookie=0xa00000000a000e58, duration=8.491s, table=0, n_packets=2, n_bytes=128, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=20,nw_src=10.0.0.19,nw_dst=10.0.17.98,tp_src=57906,tp_dst=5001 actions=set_field:10.0.14.88->ip_src,set_field:10.0.1.17->ip_dst,set_field:02:a0:55:0e:58:56->eth_src,set_field:00:00:00:00:01:0f->eth_dst,output:1
 cookie=0xa00000000a000e81, duration=8.441s, table=0, n_packets=2, n_bytes=128, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=21,nw_src=10.0.0.20,nw_dst=10.0.15.227,tp_src=56048,tp_dst=5001 actions=set_field:10.0.14.129->ip_src,set_field:10.0.1.18->ip_dst,set_field:02:a0:55:0e:81:8f->eth_src,set_field:00:00:00:00:01:10->eth_dst,output:1
 cookie=0xa00000000a000da3, duration=7.560s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=17,nw_src=10.0.0.16,nw_dst=10.0.13.248,tp_src=43882,tp_dst=5001 actions=set_field:10.0.13.163->ip_src,set_field:10.0.1.14->ip_dst,set_field:02:a0:55:0d:a3:ae->eth_src,set_field:00:00:00:00:01:0c->eth_dst,output:1
 cookie=0xa00000000a00114f, duration=7.419s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=15,nw_src=10.0.0.14,nw_dst=10.0.17.44,tp_src=46780,tp_dst=5001 actions=set_field:10.0.17.79->ip_src,set_field:10.0.1.12->ip_dst,set_field:02:a0:55:11:4f:5e->eth_src,set_field:00:00:00:00:01:0a->eth_dst,output:1
 cookie=0xa00000000a0010ce, duration=7.419s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=2,nw_src=10.0.0.1,nw_dst=10.0.17.14,tp_src=39016,tp_dst=5001 actions=set_field:10.0.16.206->ip_src,set_field:10.0.0.253->ip_dst,set_field:02:a0:55:10:ce:de->eth_src,set_field:00:00:00:00:00:fd->eth_dst,output:1
 cookie=0xa00000000a000d7e, duration=7.419s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=11,nw_src=10.0.0.10,nw_dst=10.0.14.222,tp_src=41846,tp_dst=5001 actions=set_field:10.0.13.126->ip_src,set_field:10.0.1.8->ip_dst,set_field:02:a0:55:0d:7e:73->eth_src,set_field:00:00:00:00:01:06->eth_dst,output:1
 cookie=0xa00000000a000eb3, duration=7.270s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=23,nw_src=10.0.0.22,nw_dst=10.0.15.252,tp_src=51738,tp_dst=5001 actions=set_field:10.0.14.179->ip_src,set_field:10.0.1.20->ip_dst,set_field:02:a0:55:0e:b3:bd->eth_src,set_field:00:00:00:00:01:12->eth_dst,output:1
 cookie=0xa00000000a000eb7, duration=7.270s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=14,nw_src=10.0.0.13,nw_dst=10.0.16.225,tp_src=48672,tp_dst=5001 actions=set_field:10.0.14.183->ip_src,set_field:10.0.1.11->ip_dst,set_field:02:a0:55:0e:b7:b9->eth_src,set_field:00:00:00:00:01:09->eth_dst,output:1
 cookie=0xa00000000a000e29, duration=7.140s, table=0, n_packets=1, n_bytes=74, idle_timeout=15, send_flow_rem priority=100,tcp,in_port=13,nw_src=10.0.0.12,nw_dst=10.0.14.105,tp_src=48648,tp_dst=5001 actions=set_field:10.0.14.41->ip_src,set_field:10.0.1.10->ip_dst,set_field:02:a0:55:0e:29:27->eth_src,set_field:00:00:00:00:01:08->eth_dst,output:1
