=== ICMP Latency Summary (RFC 8456 §5.1.2) ===
Topology : Large (~500+ hosts, 48-port switches)   Pairs: 252

Pair                           Min(ms)    Avg(ms)    Max(ms)    Loss(%)   
h186->h438                      0.013     0.958      371.731    0%        
h187->h439                      0.013     0.864      283.803    0%        
h188->h440                      0.013     1.082      439.781    0%        
h189->h441                      0.013     0.624      342.009    0%        
h190->h442                      0.012     0.901      352.960    0%        
h191->h443                      0.012     1.064      439.550    0%        
h192->h444                      0.013     0.871      293.617    0%        
h193->h445                      0.013     0.673      228.220    0%        
h194->h446                      0.011     0.346      173.722    0%        
h195->h447                      0.012     0.359      173.454    0%        
h196->h448                      0.013     0.359      171.525    0%        
h197->h449                      0.013     0.735      243.549    0%        
h198->h450                      0.012     0.355      181.797    0%        
h199->h451                      0.012     0.353      177.474    0%        
h200->h452                      0.014     0.650      209.593    0%        
h201->h453                      0.013     0.768      256.100    0%        
h202->h454                      0.013     0.805      274.798    0%        
h203->h455                      0.015     1.165      432.113    0%        
h204->h456                      0.012     0.667      215.992    0%        
h205->h457                      0.012     0.626      343.572    0%        
h206->h458                      0.012     0.832      275.546    0%        
h207->h459                      0.013     1.006      388.453    0%        
h208->h460                      0.013     0.925      372.947    0%        
h209->h461                      0.013     0.880      349.060    0%        
h210->h462                      0.013     1.005      388.736    0%        
h211->h463                      0.015     0.788      262.364    0%        
h212->h464                      0.014     0.791      263.793    0%        
h213->h465                      0.013     0.960      378.527    0%        
h214->h466                      0.013     0.937      366.693    0%        
h215->h467                      0.011     1.010      398.224    0%        
h216->h468                      0.012     0.977      382.135    0%        
h217->h469                      0.014     0.764      258.771    0%        
h218->h470                      0.013     0.774      258.230    0%        
h219->h471                      0.014     0.597      327.266    0%        
h220->h472                      0.012     0.665      210.112    0%        
h221->h473                      0.012     0.688      236.280    0%        
h222->h474                      0.013     0.768      242.732    0%        
h223->h475                      0.014     0.717      237.042    0%        
h224->h476                      0.011     0.581      317.435    0%        
h225->h477                      0.013     0.749      251.218    0%        
h226->h478                      0.015     0.796      265.282    0%        
h227->h479                      0.014     0.811      271.247    0%        
h228->h480                      0.016     0.326      158.026    0%        
h229->h481                      0.012     0.380      193.606    0%        
h230->h482                      0.015     0.624      335.502    0%        
h231->h483                      0.013     0.597      326.784    0%        
h232->h484                      0.013     0.881      347.081    0%        
h233->h485                      0.014     0.628      200.259    0%        
h234->h486                      0.013     0.925      366.531    0%        
h235->h487                      0.013     0.947      374.158    0%        
h236->h488                      0.013     1.016      392.386    0%        
h237->h489                      0.014     0.831      276.329    0%        
h238->h490                      0.014     1.023      390.607    0%        
h239->h491                      0.012     0.975      386.285    0%        
h240->h492                      0.014     0.661      219.924    0%        
h241->h493                      0.012     0.877      359.943    0%        
h242->h494                      0.013     0.642      210.104    0%        
h243->h495                      0.016     0.326      157.515    0%        
h244->h496                      0.013     0.348      172.732    0%        
h245->h497                      0.012     0.885      357.188    0%        
h246->h498                      0.015     0.578      314.632    0%        
h247->h499                      0.014     1.072      406.488    0%        
h248->h500                      0.012     0.616      202.154    0%        
h249->h501                      0.012     0.332      163.293    0%        
h250->h502                      0.012     0.891      351.105    0%        
h251->h503                      0.012     0.370      182.733    0%        
h252->h504                      0.012     0.373      189.864    0%        

Topology mean RTT : .593 ms  (across 252 pairs)
