=== ICMP Latency Summary (RFC 8456 §5.1.2) ===
Topology : Large (~500+ hosts, 48-port switches)   Pairs: 252

Pair                           Min(ms)    Avg(ms)    Max(ms)    Loss(%)   
------------------------------ --------   --------   --------   --------  
h1->h253                        0.015     0.194      82.421     0%        
h2->h254                        0.013     0.223      99.512     0%        
h3->h255                        0.015     0.104      23.322     0%        
h4->h256                        0.014     0.195      82.491     0%        
h5->h257                        0.013     0.209      82.442     0%        
h6->h258                        0.016     0.099      23.258     0%        
h7->h259                        0.012     0.086      23.274     0%        
h8->h260                        0.015     0.290      139.783    0%        
h9->h261                        0.013     0.350      177.642    0%        
h10->h262                       0.015     0.169      60.267     0%        
h11->h263                       0.014     0.124      36.209     0%        
h12->h264                       0.015     0.096      22.465     0%        
h13->h265                       0.013     0.355      175.847    0%        
h14->h266                       0.012     0.342      175.804    0%        
h15->h267                       0.014     0.352      175.837    0%        
h16->h268                       0.013     0.251      119.211    0%        
h17->h269                       0.014     0.338      168.849    0%        
h18->h270                       0.014     0.157      52.858     0%        
h19->h271                       0.013     0.347      175.860    0%        
h20->h272                       0.013     0.344      171.766    0%        
h21->h273                       0.013     0.342      171.538    0%        
h22->h274                       0.015     0.426      221.094    0%        
h23->h275                       0.014     0.355      174.536    0%        
h24->h276                       0.011     0.413      215.718    0%        
h25->h277                       0.014     0.808      443.790    0%        
h26->h278                       0.015     0.502      267.456    0%        
h27->h279                       0.012     0.355      175.360    0%        
h28->h280                       0.012     0.698      391.944    0%        
h29->h281                       0.013     0.180      71.988     0%        
h30->h282                       0.012     0.357      175.506    0%        
h31->h283                       0.012     0.342      171.621    0%        
h32->h284                       0.012     0.185      72.766     0%        
h33->h285                       0.015     0.793      441.129    0%        
h34->h286                       0.012     0.301      142.355    0%        
h35->h287                       0.013     0.196      89.183     0%        
h36->h288                       0.013     0.286      143.815    0%        
h37->h289                       0.012     0.519      276.765    0%        
h38->h290                       0.013     0.503      256.803    0%        
h39->h291                       0.013     0.511      265.986    0%        
h40->h292                       0.012     0.205      91.919     0%        
h41->h293                       0.013     0.508      267.982    0%        
h42->h294                       0.012     0.483      252.736    0%        
h43->h295                       0.014     0.507      275.498    0%        
h44->h296                       0.013     0.531      283.521    0%        
h45->h297                       0.012     0.562      300.203    0%        
h46->h298                       0.013     0.545      292.301    0%        
h47->h299                       0.014     0.490      254.441    0%        
h48->h300                       0.012     0.512      269.507    0%        
h49->h301                       0.014     0.195      82.557     0%        
h50->h302                       0.012     0.234      106.040    0%        
h51->h303                       0.012     0.575      313.288    0%        
h52->h304                       0.015     0.245      105.324    0%        
h53->h305                       0.012     0.213      95.538     0%        
h54->h306                       0.013     0.240      109.035    0%        
h55->h307                       0.012     0.601      322.126    0%        
h56->h308                       0.012     0.640      348.659    0%        
h57->h309                       0.013     0.639      349.796    0%        
h58->h310                       0.014     0.199      82.553     0%        
h59->h311                       0.013     0.679      365.679    0%        
h60->h312                       0.012     0.236      109.244    0%        
h61->h313                       0.012     0.239      113.629    0%        
h62->h314                       0.012     0.660      356.372    0%        
h63->h315                       0.013     0.618      340.637    0%        
h64->h316                       0.012     0.593      323.069    0%        
h65->h317                       0.014     0.223      97.011     0%        
h66->h318                       0.013     0.224      96.591     0%        
h67->h319                       0.015     0.245      104.686    0%        
h68->h320                       0.012     0.285      133.492    0%        
h69->h321                       0.013     0.643      356.916    0%        
h70->h322                       0.012     0.603      332.861    0%        
h71->h323                       0.014     0.289      140.626    0%        
h72->h324                       0.012     0.284      135.656    0%        
h73->h325                       0.012     0.705      384.663    0%        
h74->h326                       0.012     0.274      128.874    0%        
h75->h327                       0.012     0.291      141.837    0%        
h76->h328                       0.012     0.290      141.042    0%        
h77->h329                       0.013     0.700      378.533    0%        
h78->h330                       0.014     0.704      383.467    0%        
h79->h331                       0.013     0.292      141.815    0%        
h80->h332                       0.012     0.320      156.785    0%        
h81->h333                       0.013     0.329      160.582    0%        
h82->h334                       0.015     0.301      147.167    0%        
h83->h335                       0.014     0.291      139.546    0%        
h84->h336                       0.013     0.287      142.577    0%        
h85->h337                       0.013     0.551      286.763    0%        
h86->h338                       0.013     0.589      309.632    0%        
h87->h339                       0.012     0.707      388.353    0%        
h88->h340                       0.014     0.619      332.524    0%        
h89->h341                       0.012     0.590      317.720    0%        
h90->h342                       0.014     0.296      141.676    0%        
h91->h343                       0.015     0.615      326.724    0%        
h92->h344                       0.012     0.602      325.770    0%        
h93->h345                       0.013     0.613      330.356    0%        
h94->h346                       0.014     0.586      317.968    0%        
h95->h347                       0.013     0.701      382.475    0%        
h96->h348                       0.015     0.333      161.834    0%        
h97->h349                       0.012     0.682      376.925    0%        
h98->h350                       0.012     0.706      381.701    0%        
h99->h351                       0.014     0.690      381.101    0%        
h100->h352                      0.011     0.266      128.481    0%        
h101->h353                      0.013     0.690      370.146    0%        
h102->h354                      0.013     0.705      381.410    0%        
h103->h355                      0.013     0.693      381.072    0%        
h104->h356                      0.012     0.693      382.502    0%        
h105->h357                      0.013     0.310      148.729    0%        
h106->h358                      0.013     0.690      380.711    0%        
h107->h359                      0.013     0.692      376.101    0%        
h108->h360                      0.012     0.303      145.980    0%        
h109->h361                      0.013     0.704      382.726    0%        
h110->h362                      0.014     0.715      392.664    0%        
h111->h363                      0.012     0.686      378.058    0%        
h112->h364                      0.014     0.693      383.064    0%        
h113->h365                      0.013     0.694      384.803    0%        
h114->h366                      0.017     0.811      445.123    0%        
h115->h367                      0.013     0.711      379.395    0%        
h116->h368                      0.012     0.722      393.039    0%        
h117->h369                      0.013     0.700      385.785    0%        
h118->h370                      0.012     0.697      385.758    0%        
h119->h371                      0.012     0.326      162.582    0%        
h120->h372                      0.012     0.712      389.609    0%        
h121->h373                      0.014     0.689      381.033    0%        
h122->h374                      0.015     0.743      411.630    0%        
h123->h375                      0.016     0.755      418.066    0%        
h124->h376                      0.014     0.811      446.191    0%        
h125->h377                      0.014     0.584      314.262    0%        
h126->h378                      0.013     0.334      168.784    0%        
h127->h379                      0.012     0.720      399.937    0%        
h128->h380                      0.012     0.595      321.728    0%        
h129->h381                      0.015     0.613      328.199    0%        
h130->h382                      0.012     0.675      369.940    0%        
h131->h383                      0.012     0.731      401.122    0%        
h132->h384                      0.014     0.635      336.471    0%        
h133->h385                      0.014     0.709      387.873    0%        
h134->h386                      0.015     0.614      328.912    0%        
h135->h387                      0.014     0.599      322.792    0%        
h136->h388                      0.011     0.302      149.010    0%        
h137->h389                      0.013     0.716      392.788    0%        
h138->h390                      0.013     0.729      404.951    0%        
h139->h391                      0.014     0.752      419.908    0%        
h140->h392                      0.014     0.311      147.668    0%        
h141->h393                      0.016     0.313      151.197    0%        
h142->h394                      0.014     0.306      146.508    0%        
h143->h395                      0.013     0.766      427.595    0%        
h144->h396                      0.014     0.307      148.229    0%        
h145->h397                      0.014     0.811      450.941    0%        
h146->h398                      0.014     0.780      432.205    0%        
h147->h399                      0.013     0.950      371.040    0%        
h148->h400                      0.013     0.353      174.051    0%        
h149->h401                      0.013     0.347      173.910    0%        
h150->h402                      0.013     0.770      427.323    0%        
h151->h403                      0.014     0.357      177.658    0%        
h152->h404                      0.015     0.359      173.760    0%        
h153->h405                      0.012     0.647      220.198    0%        
h154->h406                      0.013     0.353      176.873    0%        
h155->h407                      0.012     0.794      440.693    0%        
h156->h408                      0.014     0.636      343.690    0%        
h157->h409                      0.014     0.646      344.139    0%        
h158->h410                      0.014     0.770      431.195    0%        
h159->h411                      0.013     0.777      429.354    0%        
h160->h412                      0.016     0.601      322.065    0%        
h161->h413                      0.015     1.037      444.459    0%        
h162->h414                      0.012     0.785      435.137    0%        
h163->h415                      0.012     0.909      357.575    0%        
h164->h416                      0.014     0.353      172.524    0%        
h165->h417                      0.014     0.889      351.527    0%        
h166->h418                      0.013     0.666      216.579    0%        
h167->h419                      0.013     1.037      438.060    0%        
h168->h420                      0.012     1.037      442.428    0%        
h169->h421                      0.013     1.061      438.484    0%        
h170->h422                      0.014     1.102      426.163    0%        
h171->h423                      0.012     1.090      439.931    0%        
h172->h424                      0.014     0.823      269.317    0%        
h173->h425                      0.014     0.809      270.412    0%        
h174->h426                      0.013     0.786      442.083    0%        
h175->h427                      0.015     0.800      444.498    0%        
h176->h428                      0.013     1.062      439.978    0%        
h177->h429                      0.011     0.774      434.201    0%        
h178->h430                      0.011     1.028      438.030    0%        
h179->h431                      0.014     1.060      439.319    0%        
h180->h432                      0.012     0.791      439.834    0%        
h181->h433                      0.016     1.023      388.107    0%        
h182->h434                      0.013     0.855      277.356    0%        
h183->h435                      0.012     0.834      283.845    0%        
h184->h436                      0.013     1.024      404.494    0%        
h185->h437                      0.014     0.820      276.986    0%        
