PING 10.0.0.253 (10.0.0.253) 56(84) bytes of data.
64 bytes from 10.0.0.253: icmp_seq=1 ttl=64 time=3.59 ms
64 bytes from 10.0.0.253: icmp_seq=2 ttl=64 time=0.384 ms
64 bytes from 10.0.0.253: icmp_seq=3 ttl=64 time=0.104 ms
64 bytes from 10.0.0.253: icmp_seq=4 ttl=64 time=0.106 ms
64 bytes from 10.0.0.253: icmp_seq=5 ttl=64 time=0.227 ms
64 bytes from 10.0.0.253: icmp_seq=6 ttl=64 time=0.346 ms
64 bytes from 10.0.0.253: icmp_seq=7 ttl=64 time=0.130 ms
64 bytes from 10.0.0.253: icmp_seq=8 ttl=64 time=0.121 ms
64 bytes from 10.0.0.253: icmp_seq=9 ttl=64 time=0.078 ms
64 bytes from 10.0.0.253: icmp_seq=10 ttl=64 time=0.116 ms
64 bytes from 10.0.0.253: icmp_seq=11 ttl=64 time=0.047 ms
64 bytes from 10.0.0.253: icmp_seq=12 ttl=64 time=0.071 ms
64 bytes from 10.0.0.253: icmp_seq=13 ttl=64 time=0.071 ms
64 bytes from 10.0.0.253: icmp_seq=14 ttl=64 time=0.116 ms
64 bytes from 10.0.0.253: icmp_seq=15 ttl=64 time=0.084 ms
64 bytes from 10.0.0.253: icmp_seq=16 ttl=64 time=0.191 ms
64 bytes from 10.0.0.253: icmp_seq=17 ttl=64 time=0.117 ms
64 bytes from 10.0.0.253: icmp_seq=18 ttl=64 time=0.115 ms
64 bytes from 10.0.0.253: icmp_seq=19 ttl=64 time=0.155 ms
64 bytes from 10.0.0.253: icmp_seq=20 ttl=64 time=0.107 ms
64 bytes from 10.0.0.253: icmp_seq=21 ttl=64 time=0.039 ms
64 bytes from 10.0.0.253: icmp_seq=22 ttl=64 time=0.117 ms
64 bytes from 10.0.0.253: icmp_seq=23 ttl=64 time=0.150 ms
64 bytes from 10.0.0.253: icmp_seq=24 ttl=64 time=0.124 ms
64 bytes from 10.0.0.253: icmp_seq=25 ttl=64 time=0.113 ms
64 bytes from 10.0.0.253: icmp_seq=26 ttl=64 time=0.041 ms
64 bytes from 10.0.0.253: icmp_seq=27 ttl=64 time=0.081 ms
64 bytes from 10.0.0.253: icmp_seq=28 ttl=64 time=0.159 ms
64 bytes from 10.0.0.253: icmp_seq=29 ttl=64 time=0.116 ms
64 bytes from 10.0.0.253: icmp_seq=30 ttl=64 time=0.116 ms
64 bytes from 10.0.0.253: icmp_seq=31 ttl=64 time=0.091 ms
64 bytes from 10.0.0.253: icmp_seq=32 ttl=64 time=0.212 ms
64 bytes from 10.0.0.253: icmp_seq=33 ttl=64 time=0.098 ms
64 bytes from 10.0.0.253: icmp_seq=34 ttl=64 time=0.086 ms
64 bytes from 10.0.0.253: icmp_seq=35 ttl=64 time=0.111 ms
64 bytes from 10.0.0.253: icmp_seq=36 ttl=64 time=0.029 ms
64 bytes from 10.0.0.253: icmp_seq=37 ttl=64 time=0.031 ms
64 bytes from 10.0.0.253: icmp_seq=38 ttl=64 time=0.032 ms
64 bytes from 10.0.0.253: icmp_seq=39 ttl=64 time=0.033 ms
64 bytes from 10.0.0.253: icmp_seq=40 ttl=64 time=0.031 ms

--- 10.0.0.253 ping statistics ---
40 packets transmitted, 40 received, 0% packet loss, time 8022ms
rtt min/avg/max/mdev = 0.029/0.202/3.585/0.546 ms
